,Pattern_1,Pattern_2,Pattern_3,Pattern_4,Pattern_5,Pattern_6,Pattern_7,Pattern_8,Pattern_9
U2SURP,0.000877342,0.000339846,0.212051108,0.0002381,0.000308796,0.000177334,0.001762788,0.00035226,0.000361571
AC026304.1,0.134611368,0.06235186,0.47927016,0.06595017,0.000239309,7.94E-05,0.26150319,0.123430528,0.092254765
CHST2,0.004412156,0.000461939,0.002722933,0.00019593,0.000370923,0.000256074,0.002309213,0.007881656,0.000375431
SLC9A9,0.005711178,0.009844797,0.003283614,0.000537121,0.001638365,0.000340739,0.004227735,0.029862253,0.000576141
DIPK2A,0.000714042,0.002963032,0.002108342,0.000295576,0.046140384,0.000278276,0.24594897,0.050745819,0.000598524
AC107021.2,0.043585401,0.010533914,0.321977645,9.99E-05,0.038713891,0.048991419,0.126988128,0.029247994,0.04400187
PLOD2,0.000885337,0.000429404,0.00247167,0.000263781,0.000280284,0.000272951,0.002845185,0.003188375,0.000579844
PLSCR4,0.061318122,0.000163693,0.001887001,0.001687209,0.054615527,0.04291838,0.313358575,0.016469156,0.000880331
PLSCR1,0.041292451,0.043728024,0.424705923,0.000118448,0.000475104,0.030492231,0.002284722,0.083617561,0.001388806
ZIC4,0.075313948,0.019473843,0.833133817,0.070088372,0.039853878,0.061730973,0.597542226,0.178390428,0.087583132
ZIC1,0.000382323,0.000177497,0.001878589,0.000159793,0.000179423,0.00011232,0.001529854,0.000759144,0.000257423
AGTR1,0.000526684,0.000145439,0.002186021,0.000192221,0.000243596,0.000161247,0.001640412,0.000493004,0.000353404
CPB1,0.022435205,0.087656647,0.280273944,0.001452626,0.049343169,0.035979252,0.195751816,0.047960654,0.00030063
CPA3,0.001344199,0.000365137,0.00284364,0.000243983,0.000244409,0.000188686,0.002035107,0.000476159,0.000403712
GYG1,0.015005413,0.002685813,0.01088968,0.000595844,0.000257504,0.000182992,0.002492821,0.032574289,0.000739102
HLTF,0.126512378,0.024352718,0.015351639,0.00616271,0.048513737,0.093769491,0.270950556,0.152366668,0.048651431
HPS3,0.027822431,0.02200019,0.213585794,0.000379928,0.039650999,0.000630135,0.002375244,0.025703864,0.000237911
CP,0.094127499,0.022315508,0.003827523,0.000224803,0.051934298,9.70E-05,0.001960233,0.048166852,0.000963939
AC093001.2,0.743084371,1.388580203,2.422616959,0.520673215,0.455436677,0.293964356,3.37486434,0.213981211,0.361361712
TM4SF18,0.027729878,0.013637566,0.010129837,0.061597023,0.041827418,0.080438651,0.004419882,0.002368746,0.001739014
TM4SF1,0.001464035,0.000856997,0.003511847,0.000267262,0.000410003,0.000339275,0.130445346,0.052201733,0.03798895
TM4SF1-AS1,0.635506451,0.243347794,2.018856764,0.108247802,0.214438617,0.128599629,2.425668955,0.274947315,0.415457904
AC108751.4,0.000615823,0.000136958,0.001977233,0.000166666,0.000161487,0.000126217,0.12649636,0.000365242,0.00035319
TM4SF4,0.000443062,0.000187402,0.002034775,0.000189121,0.000164561,0.030156311,0.001813577,0.000453754,0.000214181
WWTR1,0.417884618,0.345803022,5.975214481,0.153728753,0.165987208,0.05455257,1.072699428,0.040599272,0.266342223
WWTR1-AS1,0.031269442,0.015184789,0.031562176,0.001015777,0.000368757,7.52E-05,0.394516647,0.149109676,0.052600142
COMMD2,0.000502394,0.000222119,0.00225611,0.000202936,0.000320526,0.000165441,0.001897081,0.000534557,0.000299351
RNF13,0.132610425,0.007074654,0.001849758,0.047736231,0.00030991,0.035600126,0.204269707,0.066528596,0.000152617
PFN2,0.216059685,0.123434626,0.470959604,0.041787706,0.038217042,0.002201655,0.26933369,0.116515107,6.99E-05
LINC01214,0.000627338,0,0.223313421,0.000212803,0.001845403,0.000262367,0.388875932,0.041475751,0.000408716
TSC22D2,0.000516851,0.000175099,0.002131772,0.000195649,0.000238487,0.000162306,0.001848031,0.000395778,0.000366139
SERP1,0.043336608,0.025899725,0.451765805,0.000208414,0.000374045,0.035247888,0.600591838,0.021560127,0.052446362
EIF2A,0.313125789,0.274123102,0.985231876,0.213595584,0.0783244,0.122016534,2.200546265,0.362783819,0.281764656
SELENOT,0.160824493,0.003159928,0.002621301,0.059602696,0.147370741,0.091992401,0.487895131,0.057671007,0.046299394
ERICH6,0.204263225,0.028358068,1.004415393,0.09253753,0.09340243,0.066872485,0.759742022,0.116175041,0.115985788
ERICH6-AS1,0.000502961,0.000157051,0.002503454,0.000216394,0.000210427,0.000150997,0.001883125,0.000914463,0.000309965
AC011317.1,0.004590402,0.001205074,0.003112748,0.000469864,0.000328166,0.000491657,0.003300522,0.015261891,0.000740504
SIAH2,0.017933857,0.000380206,0.002325507,0.000638736,0.046757281,0.037998047,0.130142406,0.001658937,0.000394272
SIAH2-AS1,0.121921495,0.076907352,0.230314702,0.042338412,0.044875655,0.075518452,0.327810436,0.109939836,0.071694933
MED12L,0.000717012,0.000239767,0.002568707,0.000226633,0.000196555,0.0002447,0.002150883,0.000712485,0.000455029
GPR171,0.000925575,0.000183873,0.002020312,0.000256616,0.000364035,0.000228743,0.001998744,0.000362093,0.000415633
P2RY14,0.000899409,0.00066554,0.002408969,0.00021178,0.000238795,0.000136934,0.002370468,0.013649082,0.000374106
P2RY13,0.000975889,0.0006292,0.002902272,0.000441935,0.000266873,0.000228568,0.003363165,0.012986936,0.00032128
IGSF10,0.00453891,0.014020225,0.002081699,0.046396554,0.000589687,0.000787107,0.002918142,0.004594904,0.000444146
AADAC,0.002827552,0.009437827,0.002231166,0.000379434,0.000263971,0.000288942,0.003178784,0.002553647,0.000539454
SUCNR1,0.539389193,0.19146353,0.439514935,0.231827244,0.264177352,0.116943166,1.533614993,0,0.343313634
MBNL1,0.005107684,0.000531491,0.002249962,0.000267813,0.041854259,0.000113876,0.001934226,0.001126874,0.000227148
MBNL1-AS1,0.203414232,0.090770878,0.235824183,0.0688482,0.109674081,0.062407129,0.496805787,0.250655025,0.14999564
AC092924.2,0.001047118,0.000215815,0.002533232,0.000345458,0.000321331,0.000168132,0.001962397,0.001524923,0.082899027
P2RY1,0.000499511,0.000535326,0.002267138,0.000258465,0.00015743,0.0001244,0.002126684,0.000374091,0.038246144
RAP2B,0.00169645,0.003775117,0.004116267,0.000301723,0.000348457,0.000398431,0.002280104,0.017890202,0.000466571
ARHGEF26-AS1,0.060719829,0.023363192,0.252535015,0.000210527,0.046938442,0.000275694,0.191704884,0.062487632,0.000198821
ARHGEF26,0.000537587,0.000435061,0.002538684,0.000214472,0.042410489,0.000198332,0.002422885,0.000865476,0.0002319
DHX36,0.015756311,0.042575542,0.001483465,0.03994891,0.000855144,0.000587571,0.353451431,0.024813598,0.040166397
MME,0.035103634,0.019824445,0.004215507,0.000116897,0.122466311,0.04979099,0.165022507,0.068714812,0.049120869
STRIT1,0.192321882,0.023404295,0.523852944,0.082173444,0.000173062,0.029867643,0.236698061,0.000604273,0.041119106
C3orf33,0.00049596,0.000166197,0.002163116,0.00021693,0.000202562,0.000152648,0.002010474,0.000398237,0.000291055
SLC33A1,0.002243452,0.000183942,0.002452133,0.044846367,0.000133809,0.000154333,0.002668747,0.001297865,0.000283482
AC104472.4,0.055977728,0.005602262,0.231513783,0.000374753,0.054963734,0.000138131,0.303757787,0.065438621,0.041440815
GMPS,0.000383932,0.000248919,0.002039709,0.00019347,0.000167555,0.000119075,0.001895658,0.000386908,0.000255208
KCNAB1,0.059962764,0.015702795,0.03310686,0.002044817,0.000367296,0.000137604,0.385592461,0.036221195,0.039307106
AC091607.2,0.002049725,0.000218277,0.002423858,0.000210053,0.000253921,0.000219587,0.002105529,0.000750693,0.000295061
AC084036.1,0.019060908,0.000269369,0.226661325,0.000371135,0.000278619,0.000199471,0.004025063,0.005643169,0.000433102
SSR3,0.007526506,0.005243965,0.002164688,0.000192226,0.000295463,0.000225299,0.001758559,0.000515615,0.000912342
TIPARP-AS1,0.717591465,0.116629422,1.206261992,0.130023971,0.350278825,0.165268794,2.021000862,0.419696122,0.31103757
TIPARP,0.023000969,0.000837696,0.183117047,0.000200969,0.000212355,0.000144642,0.003273724,0.007082803,0.000951788
LINC00886,0.037779309,0.007742384,0.003590454,0.000226212,0.000765699,0.035706066,0.001954291,0.03656536,0.002802349
LEKR1,0.016488576,0.001880933,0.00314939,0.000229577,0.000311592,0.000270319,0.263585299,0.001620606,0.000864696
LINC00880,0.000512165,0.000145652,0.00204778,0.000179551,0.000199552,0.000145132,0.001884872,0.009891794,0.00027594
LINC00881,0.00057285,0.000204254,0.002106122,0.000197242,0.000233416,0.000165787,0.001805124,0.000390685,0.000280015
CCNL1,0.000953587,0.00029569,0.002906897,0.000284643,0.000378111,0.000215052,0.002072115,0.000555966,0.000335389
AC092944.1,0.09250509,0.057194091,0.209728688,0.075959988,0.000339277,0.06454353,0.725222588,0.172773123,0.089534514
VEPH1,0.009776062,0.025320293,0.002036742,0.000240658,0.000180112,0.000126756,0.002165209,0.000313217,0.00042256
PTX3,0.002535615,0.000658655,0.003328718,0.000308476,0.000317382,0.000485515,0.003196821,0.002529144,0.000924085
SLC66A1L,0.000899558,0.000192342,0.001837028,0.000195989,0.000228031,0.000272623,0.00218652,0.029868791,0.000262934
SHOX2,0.000492848,0.000151621,0.002266892,0.000197785,0.000189293,0.000140445,0.001759719,0.000474584,0.000296147
RSRC1,0.000601629,0.000229927,0.002107033,0.00020701,0.000263344,0.000169452,0.001994357,0.000695569,0.000308985
AC106707.1,0.116873592,0.010910274,0.270278126,0.000503782,0.043882724,9.36E-05,0.265723914,0.038486756,0.052957285
MLF1,0.000877708,0.000164477,0.002139057,0.000210128,0.000199317,0.031480856,0.001732406,0.000752361,0.000322786
GFM1,0.001065269,0.000272935,0.002637837,0.000215886,0.000232234,0.000189394,0.001934057,0.025304345,0.000439134
LXN,0.114729837,0.015230967,0.232093051,0.086906619,0.046471439,0.070067205,0.585334122,0.005730615,0.114962131
AC080013.4,0.003634554,0.018744033,0.556804955,0.000353501,0.000368598,0.000143711,0.241679281,0.198244303,0.000282763
AC080013.6,0.000958309,0.000216719,0.003167165,0.00022792,0.000226584,0.000223768,0.002554995,0.002466114,0.000314933
RARRES1,0.00242784,0.000533931,0.002667964,0.000440733,0.043400511,0.000162099,0.002387369,0.000509168,0.000229525
MFSD1,0.111104503,0.015975829,0.221878499,0.000556542,9.01E-05,0.028944965,0.248710155,0.278218836,0.000169905
AC080013.1,0.184923589,0.074281558,0.413970381,0.000980143,0.168410718,0.00011761,0.545518696,0.225854516,0.089548096
AC080013.3,0.000474518,0.000158116,0.002273765,0.000184791,0.000217508,0.000155364,0.001908055,0.010353166,0.000299308
AC080013.5,0.000983452,0.000208553,0.002756808,0.000299253,0.000301005,0.000191469,0.002536115,0.004540129,0.000458712
IQCJ-SCHIP1,0.000502498,0.000176755,0.002151616,0.000206445,0.000207443,0.000169528,0.001817787,0.000607647,0.000283514
IL12A,0.066308923,0.000152573,0.002169926,0.000156696,0.00017668,0.000104313,0.001613118,0.000407444,0.000385326
C3orf80,0.000545839,0.000210965,0.002226603,0.000217958,0.000208147,0.000162344,0.001840203,0.000495572,0.000301449
IFT80,0.001002133,0.000520831,0.002209875,0.000300922,0.000352873,0.000153297,0.003519614,0.000995595,0.000215693
SMC4,0.011029762,0.006646169,0.002755799,0.000514627,0.000282084,0.000444547,0.142670229,0.020577153,0.044413585
TRIM59,0.040322546,0.034584675,0.003858726,0.000134726,0.001634166,0.034425434,0.003156635,0.056949701,0.072313376
KPNA4,0.002298113,0.003623447,0.002939219,0.000408461,0.041778907,0.000292213,0.003233591,0.00461578,0.000259054
ARL14,0.148622975,0.05153295,0.457570463,0.005729361,0.052332368,0.000153149,0.157570273,0.11528451,0.100186124
AC069224.1,0.001770025,0.000133781,0.940105677,0.000201587,0.000422202,0.000331533,0.001585425,0.000730743,0.000322848
PPM1L,0.000534277,0.000170731,0.002175785,0.000192746,0.000206792,0.000159712,0.001789951,0.000400156,0.000300499
B3GALNT1,0.012516209,0.002140139,0.002055694,0.000148467,0.047944237,0.000289506,0.122307152,0.013796668,0.000883153
NMD3,0.022153469,0.015684363,0.225666896,0.002697502,0.000395956,0.002046182,0.002689644,0.032219533,0.00022646
SPTSSB,0.174942583,0.086267255,0.446772307,0.061030552,0.000147485,0.098054104,0.430272102,0.103604317,0.000255677
SLITRK3,0.001184673,0.000165709,0.00245979,0.000296561,0.000229263,0.000158303,0.002343946,0.001685487,0.00029289
LINC01322,0.000520947,0.000238255,0.002139059,0.000213698,0.00020856,0.000149966,0.001971517,0.000638231,0.000282788
BCHE,0.000398425,0,0.00191319,0.0001478,0.000163671,0.00011264,0.00151958,0.000336456,0.040103588
SERPINI2,0.040872164,0.047742892,0.246772483,0.046995226,0.000350519,0.034061681,0.002930889,0.053583682,0.000546956
PDCD10,0.00084272,0.0001776,0.002224306,0.000225887,0.000242721,0.000136612,0.002278903,0.000406069,0.000369649
SERPINI1,0.069379278,0.012169239,0.403800428,0.00085662,0.000125547,0.027041869,0.243498072,0.037593096,0.119617976
GOLIM4,0.000638067,0.001109498,0.002311124,0.000265151,0.000255227,0.000128989,0.128586531,0.014952295,0.000438695
MECOM,0.314062655,0.03112049,0.514606535,0.001611126,0.101438068,0.071567632,0.635718226,0.069919646,0.202658594
TERC,0.00315218,0.001643538,0.002601006,0.000456348,0.000230931,0.000337519,0.003134446,0.00844877,0.000638908
ACTRT3,0.000801736,0.000216942,0.008543752,0.000233545,0.000329092,0.000188838,0.002513095,0.001054108,0.000352625
MYNN,0.005907338,0.000263829,0.23311539,0.000351368,0.000256503,0.00017072,0.001933683,0.000575966,0.000328802
LRRC34,0.10892567,0.007742806,0.002701249,0.125409856,0.000158329,0.000288605,0.144283965,0.015470074,0.000299853
AC078795.2,0.00067601,0.000181102,0.00238106,0.000270514,0.000236884,0.000163422,0.120125808,0.000655547,0.000388233
LRRC31,0.000616494,0.000223333,0.002242391,0.000222792,0.000319262,0.000149548,0.002002879,0.000451827,0.000329613
AC008040.1,0.000581647,0.000292952,0.002270147,0.000192296,0.000191661,0.000185298,0.001916953,0.00046484,0.000361062
SEC62,0.000512166,0.000143602,0.002134662,0.000200859,0.000201535,0.0001486,0.001821641,0.000395375,0.000266555
GPR160,0.14128308,0.172234878,0.4281753,0.070080884,0.081390359,0.029953822,0.356198907,0.213059008,0.153270647
PHC3,0.001417757,0.000283727,0.639925122,0.000487895,0.000214268,0.031840179,0.002189803,0.0013038,0.000228489
PRKCI,0.012624932,0.079511151,0.228862584,0.042867202,0.00900293,0.051079266,0.007868373,0.060046654,0.038868122
SKIL,0.007145332,0.00015057,0.00175988,0.000123167,0.042560223,0.035001408,0.283306241,0.052759409,0.000313313
CLDN11,0.040890802,0.033776905,0.01999069,0.053426959,0.005220586,0.001555968,0.12476749,0.166074261,0.000184031
SLC7A14-AS1,0.022627231,0.008732923,0.003268492,0.000762893,0.000328575,0.000291982,0.262430847,0.03960273,0.001500027
RPL22L1,0.000485528,0.000163271,0.002093215,0.00018475,0.000233726,0.000160506,0.001768415,0.000415005,0.000287991
EIF5A2,0.850581348,0.026797405,1.29836607,0.193131998,0.255428404,0.083191231,1.634050965,0.233566582,0.238401413
SLC2A2,0.020459762,0.003552251,0.00222189,0.000162256,0.046168808,0.031668104,0.012846671,0.021241326,0.000321909
TNIK,0.299907207,0.337705672,0.844949782,0.095265388,0.109092444,0.021198647,0.956729293,0.048172798,0.185930923
PLD1,0.013826794,0.010385114,0.338026792,0.00018426,0.001875113,0.00092281,0.003234108,0.02292167,0.000306135
FNDC3B,0.031097757,0.011154192,1.091470122,0.000657255,0.000341621,0.000565521,0.005656697,0.084985666,0.000430039
TNFSF10,0.13920024,0.087440595,0.710741878,0.041169222,0.067595363,0.039767977,0.030510826,0.146776021,0.208460033
NCEH1,0.031580817,0.047907393,0.827504158,0.000281771,0.000614398,0.002827447,0.139999747,0.09924195,0.000965446
ECT2,0.02445705,0.009300996,0.007338554,0.000316038,0.041527305,0.000163197,0.139582142,0.032623898,0.00140438
NLGN1,0.08329948,0.004194416,0.213863626,0.000215956,0.000945482,0.035146497,0.200478032,0.037293829,0.111202843
NAALADL2,0.000503199,0.00015086,0.002238796,0.000198834,0.000196474,0.000152945,0.001870708,0.000442062,0.00028466
TBL1XR1,0.001554513,0.000337212,0.015154043,0.000291812,0.00020534,0.000219643,0.1353122,0.008179679,0.000376357
LINC02015,0.043174285,0.008957274,0.37150535,0.062415846,0.048840545,0.043061972,0.477684885,0.128121123,0.051568393
KCNMB2,0.000454155,0,0.20862177,0.040982958,0.000155887,0.061213441,0.246736154,0.000106736,0.039506085
KCNMB2-AS1,0.001096447,0.000151694,0.002072968,0.000333737,0.000218315,0.000163557,0.001861562,0.000428852,0.000287564
ZMAT3,0.065832943,0,0.001914397,0.000177975,0.000135297,8.63E-05,0.001360588,0.000450141,0.039342605
PIK3CA,0.068522371,0.042974018,0.001819992,0.096774466,0.054098856,0.03757184,0.414030612,0.111732669,0.042324629
KCNMB3,0.030575225,0.001964733,0.206610799,0.000174068,0.000428208,0.071625628,0.120792158,0.077713229,0.003130063
ZNF639,0.00077625,0.000943666,0.002725586,0.000243527,0.000287558,0.000281813,0.002338918,0.009526834,0.00045239
AC007823.1,0.034417529,0.015213217,0.225662246,0.000274446,0.044206727,0.000255386,0.132967263,0.039847687,0.000771037
MFN1,0.000544624,0.000180108,0.002201542,0.000201156,0.000221217,0.000156888,0.001977179,0.000657158,0.000292049
GNB4,0.030285964,0.024182832,0.301048756,0.046806999,0.051615529,0.000537039,0.428749025,0.077577002,0.000443243
AC007620.2,0.187799335,0.055971425,0.000824175,0.045996994,0.065946512,0.02998689,0.112958759,0.090480402,0.089916803
ACTL6A,0.000516028,0.000152167,0.00228788,0.000197274,0.000202009,0.000152123,0.001827071,0.000414288,0.000382339
AC090425.2,0.030855095,0.000617978,0.20865269,0.000265408,0.050692931,0.062733874,0.001587617,0.043595396,0.0009469
MRPL47,0.00051333,0.000208673,0.002123491,0.000215937,0.000199318,0.000146563,0.001963194,0.004400261,0.000289341
NDUFB5,0.09292987,0.023560718,0.801337004,0.041325606,0.09581928,0.040654644,0.377165824,0.014673601,0.123916551
USP13,0.172489583,0.01599458,1.025897741,0.041762233,0.148336381,0.061959751,0.565230012,0.144501135,0.181615919
AC007687.1,0.004063014,0.01867277,0.006588199,0.090066671,0.000335682,0.000135375,0.266945422,0.021641802,0.001055025
TTC14,0.000601787,0.000169431,0.00214784,0.000373291,0.000227487,0.000173255,0.00181875,0.000500062,0.000292489
CCDC39,0.012850262,0.018378213,0.003698278,0.001062007,0.000137662,0.031112276,0.228556305,0.035562836,0.038942933
AC108734.4,0.000507645,0.000179052,0.004675407,0.000228737,0.000208253,0.000147664,0.001852274,0.002494276,0.000299969
FXR1,0.000879496,0.000207392,0.002050574,0.000191169,0.000257468,0.000176642,0.001963876,0.000424306,0.000283109
DNAJC19,0.132672533,0.032723516,0.909478068,0.114570573,0.132722214,0.090789728,0.617963135,0.059236471,0.0422103
SOX2-OT,0.292164475,0.036516495,0.472381592,0.051722169,0.06067466,0.033150468,1.023039103,0.066433884,0.157266513
SOX2,0.002274406,0.000420404,0.002320766,0.000222726,0.000221714,0.000199946,0.002261159,0.000646197,0.000411779
ATP11B,0.001040768,0.000141967,0.002085576,0.000290704,0.000226645,0.000160234,0.001804264,0.000309886,0.000340739
AC092953.2,0.02293371,0.0003792,0.417796791,0.042241391,0.047576092,0.030885724,0.003114663,0.001668941,0.000311864
DCUN1D1,0.000523381,0.000164929,0.214653164,0.000209243,0.000235048,0.000131479,0.001852174,0.001104521,0.000283999
MCCC1,0.080391534,0.00227568,0.45164758,0.044186104,0.001341615,0.034653824,0.234728679,0.09870293,0.043809474
LAMP3,0.130225688,0.051109947,0.004150851,0.048690196,0.062424917,0.083642736,0.151105329,0.038813379,0.059796363
MCF2L2,0.004540657,0.00165671,0.003465191,0.000236924,0.000264625,0.000253567,0.003026752,0.059049435,0.000602293
B3GNT5,0.000963569,0.000293293,0.002317917,0.000236561,0.000200029,0.000150056,0.002174546,0.000433207,0.000291067
KLHL6,0.011514548,0.000157834,0.216910273,0.000409304,0.000267381,0.031590339,0.001751698,0.012597226,0.000319466
KLHL6-AS1,0.000451437,0.025614509,0.002900088,0.000257018,0.049766921,0.000220013,0.003106907,0.033878427,0.000465599
KLHL24,0.000487373,0.00014751,0.002233912,0.000205788,0.000207946,0.000148183,0.001772194,0.000547937,0.000297404
YEATS2,0.040203292,0.026662448,0.733293772,0.000523125,0.000426118,0.034842104,0.388188034,0.02664349,0.047904987
MAP6D1,0.016479844,0.025196722,0.193635345,0.000249303,0.000337211,0.000118557,0.312317252,0.014153529,0.000428524
PARL,0.01425306,0.002181551,0.002670079,0.04119223,0.000511725,0.000261885,0.002414967,0.002248676,0.000592765
ABCC5,0.171741381,0.047932655,0.743264139,0.053731758,0.000228723,0.061403226,0.281337351,0.126173511,0.00039163
HTR3C,0.044926181,0.000327799,0.001638648,0.000531341,0.000107513,0.065838054,0.157693923,0.078905679,0.084775388
AC131235.3,0.001043586,0.000215264,0.00221915,0.00022022,0.000236266,0.000159448,0.001902887,0.000806383,0.000335352
AC131235.2,0.000510575,0.000155845,0.002164125,0.000216251,0.000196784,0.000155681,0.001796332,0.000557652,0.00030109
EIF2B5,0.000728592,0.000170978,0.001978256,0.000210772,0.000258167,0.000171117,0.00169232,0.00037456,0.000559523
DVL3,0.177021503,0.07991907,0.530677021,0.054720379,0.075304747,0.03153754,0.549128354,0.116913289,0.083302312
AP2M1,0.049001578,0.055576183,0.225775138,0.085994475,0.114417888,0.030703347,0.287519991,0.113093808,0.084490977
ABCF3,0.573803723,0.374458909,1.807649016,0.200684056,0.182658911,0.086261854,1.180592537,0.662415326,0.163939744
VWA5B2,0.120099425,0.047296807,0.51257205,0.03973636,0.113904342,0.011497339,0.422015518,0.126805678,0.118428886
ALG3,0.000499403,0.000137383,0.005169869,0.000236918,0.000209553,0.000163216,0.001757327,0.002441871,0.000286663
EEF1AKMT4,0.357003868,0.229993224,0.99238342,0.045572713,0.077597663,0.115123533,0.985524058,0.133105785,0.232891187
CAMK2N2,0.149693578,0.005692164,0.198575899,0.04699523,0.000180588,0.069492005,0.341802806,0.010132024,0.134973839
PSMD2,0.010090456,0.000705428,0.003230304,0.000538729,0.000408505,0.000252277,0.003307368,0.001141809,0.000377602
EIF4G1,0.282709062,0.123132274,1.099089503,0.216413394,0.030263232,0.157525644,0.824398577,0.245255679,0.145690337
FAM131A,0.280704349,0.274418294,0.656315327,0.082655206,0.166297778,0.129184544,1.525324821,0.266270846,0.256686509
CLCN2,0.006753536,0.000611238,0.223967656,0.000277418,0.000545321,0.000492566,0.414176255,0.021794487,0.000514849
POLR2H,0.002863382,0.004744519,0.221976086,0.000188922,0.000191527,0.000192068,0.002180727,0.001934579,0.00039901
THPO,0.345687658,0.04205076,0.669587135,0.097064979,0.038031563,0.105483338,0.580390811,0.088348947,0.17158711
CHRD,0.153960094,0.00502283,0.231263399,0.046384834,0.076332562,0.034359377,0.003264515,0.037370406,0.001816257
EPHB3,0.028421607,0.137760788,0.435675114,0.000805821,0.121940829,0.037891723,0.496592939,0.053421989,0.171653464
MAGEF1,0.003002221,0.024883667,0.759587586,0.041803792,0.041080922,5.65E-05,0.132802114,0.019519415,0.000230395
AC107294.2,0.058425192,0.045807358,0.232011467,0.029899014,0.000257758,0.000409688,0.375165075,0.01878712,0.040031131
AC107294.3,0.000826361,0.000241101,0.002527065,0.000256168,0.000237837,0.000158779,0.001884992,0.010735434,0.000353451
VPS8,0.000727722,0.000235853,0.00222967,0.000270269,0.000265755,0.000153605,0.001978471,0.000773144,0.000324904
C3orf70,0.013811161,0.045765031,0.001760779,0.000329437,0.002551785,0.000222439,0.003281714,0.04888165,0.000229269
EHHADH,0.000913607,0.00031646,0.002810407,0.000220144,0.00022926,0.000185193,0.00213084,0.002752416,0.000386248
MAP3K13,0.283544332,0.204527229,0.454580039,0.115173347,0.126208067,0.029574206,0.848362207,0.013226128,0.109779045
TMEM41A,0.197011366,0.051538564,0.438183606,0.005100857,0.0009414,0.00078917,0.27409485,0.062651999,0.044694379
AC099661.1,0.121496759,0.030681813,0.211847439,0.051449351,0.073705196,0.000378238,0.129166797,0.030660493,0.00027026
LIPH,0.000646811,0.000246173,0.002781215,0.000208819,0.00025922,0.000140346,0.002256947,0.000765321,0.000325001
SENP2,0.000507906,0.00025881,0.436881602,0.000195728,0.000226933,0.00012925,0.001683553,0.001086588,0.000298939
IGF2BP2,0.039641246,0.007214173,0.462772578,0.002979707,0.049031842,0.046776425,0.144889027,0.066828735,0.000519127
TRA2B,0.02968695,0.000417681,0.876902044,0.000600706,0.000541253,0.000526222,0.002524773,0.024180092,0.044170283
ETV5,0.273093969,0.094783574,0.521471083,0.09864451,0.048050363,0.097004533,0.488585889,0.148153529,0.039360724
DGKG,0.028243877,0.018943546,0.23112385,0.044590712,0.086240433,0.00014501,0.477942079,0.050876025,0.097091697
CRYGS,0.004910463,0.000244267,0.002388937,0.000300415,0.000175376,0.000142739,0.129910693,0.000424583,0.039099347
TBCCD1,0.006662888,0.001476729,0.003249855,0.042524498,0.047766142,0.000356896,0.136407539,0.01240385,0.000403041
DNAJB11,0.069703944,0.000218137,0.525426626,0.000474126,0.039581943,0.000187681,0.132395431,0.033169851,0.000245301
AC068631.1,0.199504435,0.114275753,0.523396373,0.177101687,0.051197082,0.127914369,0.882879913,0.108259641,0.13513869
AHSG,0.000469693,0,0.001665909,0.04051961,0.000112917,9.08E-05,0.001387195,0.000340687,0.039095145
FETUB,1.714575768,3.021187544,2.620697021,0.299931258,0.266387194,0.347246885,1.914879322,1.254853249,0.50849247
HRG,0.10723988,0.159008652,0.423172504,6.48E-05,0.044686142,0.055147178,0.594640136,0.037567679,0.10778328
KNG1,0.356703252,1.290555835,1.832537293,0.275232643,0.244678676,0.176637501,1.635498285,0.133151382,0.481108785
AC112907.3,1.009728193,1.935753703,2.605568409,0.423495114,0.384036094,0.284992099,2.654415369,0.315605938,0.491168469
EIF4A2,0.000367552,0.000117518,0.001915826,0.000195709,0.000153275,0.000117208,0.00173725,0.000335621,0.039101738
RFC4,0.179502428,0.283644319,1.129825115,0.092264861,0.194477305,0.076767035,1.008217692,0.355256289,0.271283567
LINC02043,0.023224294,0.020248979,0.323242605,0.047982059,0.00026056,0.036291521,0.138854057,0.020302933,0.042257763
ST6GAL1,0.000506826,0.000147043,0.002172963,0.00018767,0.000221043,0.000166371,0.001797497,0.000475998,0.000270506
RPL39L,0.755281031,0.540168881,1.301789403,0.29020077,0.130923793,0.157636285,2.466073751,0.220053673,0.465660751
MASP1,0.073422767,0.008052447,0.219791383,0.043454047,0.000264155,0.000120365,0.281487435,0.065314241,0.000604848
AC007920.2,0.053962544,0.271289259,0.216782838,0.000458823,0.0909383,0.027257251,0.496954292,0.068528786,0.000189666
RTP4,0.069769226,0.000182191,0.002032054,0.000257121,0.000220603,0.000173442,0.001893642,0.000405603,0.000251664
BCL6,0.008078376,0.008251689,0.451472878,0.000205363,0.000146883,0.031120542,0.00292372,0.005823709,0.042346805
LINC01991,0.165350258,0.123535872,0.65291512,0.046534874,0.000247727,0.055207022,0.591750085,0.101066679,0.00022292
LPP-AS2,0.000510221,0.000152428,0.002076313,0.000200315,0.000223282,0.000185572,0.001765258,0.000521047,0.00029945
LPP,0.004601855,0.001168865,0.002636628,0.000232988,0.000291207,0.000266347,0.003266771,0.000405291,0.000368677
TPRG1-AS1,0.152117595,0.058667865,0.001369642,0.000239207,6.55E-05,5.33E-05,0.246810436,0.0664251,0.098320462
TPRG1,0.068241067,0.000336655,0.001994333,0.000217857,0.000170984,0.000124654,0.001917455,0.00040193,0.000203727
TP63,0.019202199,0.004232237,0.285928279,0.000254898,0.000271699,0.000174537,0.002190275,0.001133721,0.000401092
