time,agentCount.CD8.effector,agentCount.CD8.cytotoxic,agentCount.CD8.suppressed,agentCount.Th.default,agentCount.Treg.default,agentCount.MDSC.default,agentCount.cancerCell.Stem,agentCount.cancerCell.Progenitor,agentCount.cancerCell.Senescent,agentCount.mac.M1,agentCount.mac.M2,agentCount.vas.default,agentCount.fib.default,agentCount.APC.native,agentCount.APC.native,recruit.CD8.effector,recruit.CD8.cytotoxic,recruit.CD8.suppressed,recruit.Th.default,recruit.Treg.default,recruit.MDSC.default,recruit.cancerCell.Stem,recruit.cancerCell.Progenitor,recruit.cancerCell.Senescent,recruit.mac.M1,recruit.mac.M2,recruit.vas.default,recruit.fib.default,recruit.APC.native,recruit.APC.native,prolif.CD8.effector,prolif.CD8.cytotoxic,prolif.CD8.suppressed,prolif.Th.default,prolif.Treg.default,prolif.MDSC.default,prolif.cancerCell.Stem,prolif.cancerCell.Progenitor,prolif.cancerCell.Senescent,prolif.mac.M1,prolif.mac.M2,prolif.vas.default,prolif.fib.default,prolif.APC.native,prolif.APC.native,death.CD8.effector,death.CD8.cytotoxic,death.CD8.suppressed,death.Th.default,death.Treg.default,death.MDSC.default,death.cancerCell.Stem,death.cancerCell.Progenitor,death.cancerCell.Senescent,death.mac.M1,death.mac.M2,death.vas.default,death.fib.default,death.APC.native,death.APC.native,move.CD8.effector,move.CD8.cytotoxic,move.CD8.suppressed,move.Th.default,move.Treg.default,move.MDSC.default,move.cancerCell.Stem,move.cancerCell.Progenitor,move.cancerCell.Senescent,move.mac.M1,move.mac.M2,move.vas.default,move.fib.default,move.APC.native,move.APC.native,drop_in.CD8.effector,drop_in.CD8.cytotoxic,drop_in.CD8.suppressed,drop_in.Th.default,drop_in.Treg.default,drop_in.MDSC.default,drop_in.cancerCell.Stem,drop_in.cancerCell.Progenitor,drop_in.cancerCell.Senescent,drop_in.mac.M1,drop_in.mac.M2,drop_in.vas.default,drop_in.fib.default,drop_in.APC.native,drop_in.APC.native,drop_out.CD8.effector,drop_out.CD8.cytotoxic,drop_out.CD8.suppressed,drop_out.Th.default,drop_out.Treg.default,drop_out.MDSC.default,drop_out.cancerCell.Stem,drop_out.cancerCell.Progenitor,drop_out.cancerCell.Senescent,drop_out.mac.M1,drop_out.mac.M2,drop_out.vas.default,drop_out.fib.default,drop_out.APC.native,drop_out.APC.native,PDL1_frac
10,128,1719,32,450,2027,492,2753,510377,118999,3532,1753,6301,0,0,0,320,0,0,161,0,569,0,0,0,6331,0,0,0,0,0,83,2582,0,424,1892,0,525,2647611,0,0,0,0,0,0,0,58,1002,46,0,0,77,185,36192,2594800,717,329,0,0,0,0,5401,74195,1443,14830,68081,2028,44154,13592221,4133916,73423,35422,0,0,0,0,0,0,0,0,0,0,2413,412196,200561,0,0,544981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538680,0,0,0,153521
11,129,1743,32,456,2047,496,2757,511047,119130,3555,1773,6292,0,0,0,326,0,0,161,0,576,0,0,0,6399,0,0,0,0,0,83,2640,0,430,1913,0,534,2678367,0,0,0,0,0,0,0,59,1039,47,0,1,80,190,36986,2623961,736,335,0,0,0,0,5535,75914,1475,15280,70108,2079,44653,13760549,4178364,75182,36305,0,0,0,0,0,0,0,0,0,0,2413,412196,200561,0,0,551273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544981,0,0,0,154549
12,130,1765,33,468,2060,499,2759,513282,117667,3582,1790,6348,0,0,0,331,0,0,164,0,581,0,0,0,6468,0,0,0,0,0,88,2697,0,442,1924,0,542,2709399,0,0,0,0,0,0,0,61,1080,47,0,2,82,196,37789,2653418,751,345,0,0,0,0,5669,77657,1507,15736,72158,2115,45172,13926631,4222455,76974,37258,0,0,0,0,0,0,0,0,0,0,2413,412196,200561,0,0,557621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551273,0,0,0,156101
13,130,1776,33,476,2068,499,2758,513814,118392,3619,1794,6276,0,0,0,337,0,0,165,0,586,0,0,0,6537,0,0,0,0,0,88,2743,0,450,1932,0,544,2740211,0,0,0,0,0,0,0,63,1119,47,0,3,87,199,38559,2682203,770,354,0,0,0,0,5805,79422,1540,16204,74219,2176,45684,14092909,4266084,78741,38178,0,0,0,0,0,0,0,0,0,0,2413,412196,200561,0,0,563897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557621,0,0,0,157806
14,134,1752,33,476,2086,504,2760,512564,118451,3647,1815,6132,0,0,0,343,0,0,169,0,595,0,0,0,6609,0,0,0,0,0,89,2757,0,450,1949,0,552,2769096,0,0,0,0,0,0,0,65,1158,47,0,6,91,205,39348,2711490,790,357,0,0,0,0,5941,81198,1573,16680,76291,2235,46179,14257877,4310123,80570,39117,0,0,0,0,0,0,0,0,0,0,2413,412196,200561,0,0,570029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563897,0,0,0,157945
15,135,1751,32,480,2103,511,2763,515985,114638,3663,1828,6290,0,0,0,348,0,0,173,0,604,0,0,0,6669,0,0,0,0,0,89,2794,0,450,1968,0,557,2798599,0,0,0,0,0,0,0,68,1197,48,0,8,93,207,40150,2740583,806,372,0,0,0,0,6080,82950,1606,17160,78377,2289,46696,14421576,4354091,82414,40049,0,0,0,0,0,0,0,0,0,0,2413,412196,200561,0,0,576319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570029,0,0,0,157692
16,144,1810,31,479,2123,517,2764,517485,112740,3687,1844,6039,0,0,0,350,0,0,178,0,613,0,0,0,6736,0,0,0,0,0,99,2892,0,450,1992,0,562,2826969,0,0,0,0,0,0,0,71,1236,49,2,16,96,211,40924,2768577,823,382,0,0,0,0,6217,84701,1638,17641,80484,2330,47195,14584851,4396356,84277,40944,0,0,0,0,0,0,0,0,0,0,2413,412196,200561,0,0,582358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576319,0,0,0,157696
17,146,1850,27,474,2137,516,2767,519990,111169,3708,1855,6140,0,0,0,359,0,0,182,0,618,0,0,0,6806,0,0,0,0,0,99,2962,0,450,2013,0,568,2856331,0,0,0,0,0,0,0,72,1272,53,7,27,102,214,41737,2796192,848,395,0,0,0,0,6370,86511,1669,18120,82611,2377,47733,14747118,4437466,86171,41827,0,0,0,0,0,0,0,0,0,0,2413,412196,200561,0,0,588498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582358,0,0,0,160141
18,147,1841,27,476,2158,521,2770,521100,110592,3727,1869,5938,0,0,0,366,0,0,187,0,624,0,0,0,6867,0,0,0,0,0,101,2995,0,450,2041,0,574,2885031,0,0,0,0,0,0,0,75,1319,53,7,37,103,217,42581,2823515,869,402,0,0,0,0,6523,88361,1696,18596,84751,2422,48213,14908781,4478326,88039,42721,0,0,0,0,0,0,0,0,0,0,2413,412196,200561,0,0,594436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588498,0,0,0,161667
19,151,1868,24,476,2191,528,2766,521261,110319,3759,1879,6202,0,0,0,378,0,0,192,0,633,0,0,0,6943,0,0,0,0,0,101,3044,0,454,2082,0,577,2912923,0,0,0,0,0,0,0,76,1348,56,11,50,105,224,43406,2850694,889,416,0,0,0,0,6682,90202,1723,19072,86914,2467,48688,15069594,4518445,89949,43683,0,0,0,0,0,0,0,0,0,0,2413,412196,200561,0,0,600638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594436,0,0,0,162011
