"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12","Pattern_13","Pattern_14","Pattern_15","Pattern_16","Pattern_17","Pattern_18","Pattern_19","Pattern_20","Pattern_21","Pattern_22"
"HMOX1","OXR1","EGLN3",NA,"NRXN3","PEX14",NA,"WDR92","GET4",NA,"SAAL1",NA,NA,NA,NA,"GATA6",NA,NA,NA,"CBS",NA,NA
"PPP2R3C","FBXL18","SDCBP2",NA,"AC022079.1","HDAC8",NA,"RNF216","ZNF92",NA,"PSMB10",NA,NA,NA,NA,"CPQ",NA,NA,NA,"COG4",NA,NA
"ZNF354B","UPRT","C19orf47",NA,"MYZAP","CRADD",NA,"SLC22A31","RAPGEF3",NA,"SIKE1",NA,NA,NA,NA,"ME2",NA,NA,NA,"NOVA2",NA,NA
"LINC02197","AC006230.1","EPOP",NA,"HBEGF","KBTBD11",NA,"MAP4K3-DT","GRK4",NA,"CHRNA4",NA,NA,NA,NA,"HDAC2",NA,NA,NA,"TMEM51",NA,NA
"COQ7","CBX5","SIX5",NA,"ISOC1","CHCHD4",NA,"ZNF362","FREM1",NA,"DTWD2",NA,NA,NA,NA,"ELP5",NA,NA,NA,"ZYG11B",NA,NA
"TMEM163","C6orf62","SLC13A5",NA,"ARHGAP39","CTXN1",NA,"WDSUB1","FAM241A",NA,"AC078846.1",NA,NA,NA,NA,"TMEM126B",NA,NA,NA,"HIBADH",NA,NA
"PDK1","FP565260.1","CCL15",NA,"ESD","HAUS5",NA,"LCMT1","PLA1A",NA,"RBM22",NA,NA,NA,NA,"HVCN1",NA,NA,NA,"LCAT",NA,NA
"INO80E","PLEKHG5","MPDZ",NA,"LPIN1","TRAPPC6B",NA,"PER3","CC2D2A",NA,"TGFBI",NA,NA,NA,NA,"TYMSOS",NA,NA,NA,"TRIM31",NA,NA
"PDLIM2","HS6ST3","PRTG",NA,"THOC6","BCOR",NA,"MACROD1","NUP160",NA,"ZNRF1",NA,NA,NA,NA,"CCDC6",NA,NA,NA,"AC012640.4",NA,NA
"ACOX2","ARRB2","SAA4",NA,"AC016596.1","GNE",NA,"C8B","DYNLT3",NA,"WIPI1",NA,NA,NA,NA,"RTRAF",NA,NA,NA,"ZNF239",NA,NA
"IFI27L2","CCDC51","ZNF414",NA,"TSHZ2","ZBTB2",NA,"DLL1","IFT88",NA,"LINC01694",NA,NA,NA,NA,"ZNF607",NA,NA,NA,"CCDC102B",NA,NA
"AC107375.1","DUSP8","AL021707.2",NA,"ZIC2","TAF6L",NA,"MICAL1","CKS2",NA,"MGLL",NA,NA,NA,NA,"OXA1L",NA,NA,NA,"AC004771.2",NA,NA
"C1orf21","ST5","AC108673.3",NA,"AC073263.1","CALHM2",NA,"MYCL","SLC25A18",NA,"SPIRE1",NA,NA,NA,NA,"BCKDHA",NA,NA,NA,"NWD2",NA,NA
"DLX5","FEN1","C1QL4",NA,"HIST2H2AA4","AC097382.3",NA,"AP000696.1","CCDC93",NA,"ITGB2",NA,NA,NA,NA,"TMEM189",NA,NA,NA,"SHE",NA,NA
"KCNC4","PDE10A","DCAF13",NA,"NKIRAS2","AC068620.1",NA,"AC142472.1","CTCF",NA,"FUT1",NA,NA,NA,NA,"LIMD2",NA,NA,NA,"SPTBN4",NA,NA
"ARL17B","KANK2","NRF1",NA,"MED29","SNHG20",NA,"BANP","ATXN3",NA,"AL138826.1",NA,NA,NA,NA,"DPP7",NA,NA,NA,"DPY19L3",NA,NA
"NDUFA6-DT","AMN1","ZC3H8",NA,"CHAC1","CFAP36",NA,"SEMA4C","AC007114.1",NA,"CSTF2T",NA,NA,NA,NA,"AARSD1",NA,NA,NA,"AL442663.3",NA,NA
"HCLS1","SAMD4A","COMMD2",NA,"REG1B","CXCL2",NA,"FOSL2","LTN1",NA,"AMBRA1",NA,NA,NA,NA,"MGST3",NA,NA,NA,"CDK3",NA,NA
"BTBD1","RNASEH2B","PAQR9",NA,"LGR5","SVBP",NA,"HOXA9","SEC61A2",NA,"GHR",NA,NA,NA,NA,"CD164",NA,NA,NA,"C1QA",NA,NA
"FAM234B","PTER","SATB1",NA,"TBX1","LATS2",NA,"ZNF599","GPATCH2L",NA,"EMD",NA,NA,NA,NA,"ATG10",NA,NA,NA,"NRTN",NA,NA
"C3orf38","KDM4B","CNTNAP3B",NA,"UBE3B","PRKAG2",NA,"ARHGAP39","MSX1",NA,"EMP2",NA,NA,NA,NA,"CLSTN1",NA,NA,NA,"STRIP1",NA,NA
"TMEM74","DHRS4","AC010618.3",NA,"EPS15","ATAD2B",NA,"RBM15","ZNF844",NA,"PLA2G4B",NA,NA,NA,NA,"PDGFA",NA,NA,NA,"OPN3",NA,NA
"CRYBB1","AMIGO2","DKK1",NA,"TTYH1","RABL3",NA,"TMCO6","ANP32E",NA,"FIP1L1",NA,NA,NA,NA,"SRD5A1",NA,NA,NA,"AL096803.2",NA,NA
"KIAA0586","FGD6","SRBD1",NA,"TNFAIP3","SLC16A14",NA,"FRK","ENHO",NA,"TBXAS1",NA,NA,NA,NA,"TCEAL4",NA,NA,NA,"GPR65",NA,NA
"NEMF","EIF2AK3","GPATCH3",NA,"MSX1","RYK",NA,"ZNF514","HYAL1",NA,"ZNF506",NA,NA,NA,NA,"TMEM167A",NA,NA,NA,"DYNC1I1",NA,NA
"CPNE7","TK1","FNDC10",NA,"AATK","ARL2BP",NA,"FAM160A1","TBX2-AS1",NA,"LMO2",NA,NA,NA,NA,"GOLGA4",NA,NA,NA,"RELA-DT",NA,NA
"AC139493.2","SLC16A2","DAPK2",NA,"OTULIN","CEP89",NA,"RBM5","MTRES1",NA,"AC016027.1",NA,NA,NA,NA,"DDAH2",NA,NA,NA,"PET117",NA,NA
"ZNF727","AC156455.1","AC025181.2",NA,"ARNT2","AC024230.1",NA,"PIM2","PLEKHF2",NA,"NTSR2",NA,NA,NA,NA,"HOXB2",NA,NA,NA,"C1orf52",NA,NA
"ZNF195","C6","KLHL3",NA,"HNF1A","AP3M2",NA,"MTERF4","SLC16A7",NA,"RANBP10",NA,NA,NA,NA,"MMGT1",NA,NA,NA,"EEPD1",NA,NA
"MYO5A","PLXNC1","FAM229B",NA,"ZBED4","LINC01521",NA,"ASH2L","KATNA1",NA,"CDK5RAP1",NA,NA,NA,NA,"RNF149",NA,NA,NA,"CDKN2AIPNL",NA,NA
"CDON","GAS2L1","MYD88",NA,"CFAP97","HDAC5",NA,"PPWD1","WRNIP1",NA,"SLC43A1",NA,NA,NA,NA,"DUSP16",NA,NA,NA,"RELN",NA,NA
"LTK","STX18","RPS6KA4",NA,"ACAD9","TSEN54",NA,"POGLUT1","IKBKG",NA,"LRRC42",NA,NA,NA,NA,"TNPO1",NA,NA,NA,"ZNF134",NA,NA
"XYLT1","RRM1","IFI35",NA,"PYCR3","MAMSTR",NA,"HIVEP1","SETX",NA,"LXN",NA,NA,NA,NA,"TCEA1",NA,NA,NA,"ZNF354C",NA,NA
"FGL2","ZNF16","MAML1",NA,"PNPLA8","BIRC3",NA,"AL023284.4","TRIM14",NA,"SNRK",NA,NA,NA,NA,"PSMD4",NA,NA,NA,"BAHCC1",NA,NA
"AC068790.3","CYTOR","KNTC1",NA,"ZNF326","CECR2",NA,"PPFIBP1","KRIT1",NA,"ACSL3",NA,NA,NA,NA,"RFC2",NA,NA,NA,"TIMM21",NA,NA
"CDK14","SPRY1","PSKH1",NA,"NEK1","LRRN1",NA,"ZNF223","AP003392.4",NA,"SH2D4A",NA,NA,NA,NA,"FAM210B",NA,NA,NA,"SUMO4",NA,NA
"PPTC7","VCAN","CCNI2",NA,"AL512274.1","GUCY1B1",NA,"ZNF7","ARVCF",NA,"AC132938.3",NA,NA,NA,NA,"GRB2",NA,NA,NA,"UQCC1",NA,NA
"DGKD","SH2B1","SEC14L1",NA,"PDZD4","AC005520.5",NA,"MROH1","FEZ2",NA,"RBM41",NA,NA,NA,NA,"DUOXA2",NA,NA,NA,"GOSR1",NA,NA
"SLC15A3","DNAJC9-AS1","SPIRE2",NA,"ANKRD26","DOCK2",NA,"CCL2","ARHGAP17",NA,"TAF3",NA,NA,NA,NA,"CTBP1",NA,NA,NA,"DLAT",NA,NA
"LINC02482","TMEM42","MYOF",NA,"HTRA2","ZNF669",NA,"JADE3","AP002748.4",NA,"AP1S3",NA,NA,NA,NA,"ELOVL5",NA,NA,NA,"PSMG3",NA,NA
"TRPC6","C5orf51","SREK1",NA,"SLC25A22","RRP12",NA,"TOX2","AC007996.1",NA,"AL353151.2",NA,NA,NA,NA,"CTC1",NA,NA,NA,"UTP6",NA,NA
"DRAM1","ZFC3H1","NIT2",NA,"INTS9","SCLT1",NA,"ACACB","SMC2",NA,"CDK5RAP3",NA,NA,NA,NA,"SSH2",NA,NA,NA,"FAM133B",NA,NA
"ZNF251","ZBTB26","POFUT1",NA,"SNHG5","SKA2",NA,"ARHGAP33","ZNF264",NA,"FKBP1A",NA,NA,NA,NA,"SNRPD3",NA,NA,NA,"ZNF689",NA,NA
"C12orf81","SLC52A2","NPIPA1",NA,"SNHG32","KIAA0040",NA,"ZNF621","LINC02487",NA,"ZNF79",NA,NA,NA,NA,"RAD23A",NA,NA,NA,"CYP46A1",NA,NA
"AC024060.2","AC107021.2","PDGFC",NA,"TMEM229B","HOGA1",NA,"EXOSC6","IQCK",NA,"HSPB9",NA,NA,NA,NA,"PTRHD1",NA,NA,NA,"FAM78B",NA,NA
"ZNF682","ARID4A","TAF9B",NA,"MECR","POC1B",NA,"NPSR1-AS1","CEP192",NA,"MAP7D2",NA,NA,NA,NA,"ZDHHC15",NA,NA,NA,"NOP14-AS1",NA,NA
"PAAF1","DUSP22","ZNF610",NA,"CASP8AP2","APOBEC2",NA,"ZMAT2","FAM71E1",NA,"SPCS3",NA,NA,NA,NA,"TMEM230",NA,NA,NA,"FBXO38",NA,NA
"CALR3","RAP1GAP","NCAPD3",NA,"IQCE","LINGO1",NA,"PNRC2","CETN3",NA,"DTX4",NA,NA,NA,NA,"NET1",NA,NA,NA,"AC026471.1",NA,NA
"METTL18","C15orf41","BRAF",NA,"LGALS2","TENT5A",NA,"HLF","SRD5A3",NA,"GAPDHS",NA,NA,NA,NA,"MALSU1",NA,NA,NA,"DYRK3",NA,NA
"HIBCH","AC005696.4","ITGA2",NA,"AC020915.2","EIF2B2",NA,"LRRC8B","METAP1",NA,"Z95331.1",NA,NA,NA,NA,"RPL7L1",NA,NA,NA,"URB1-AS1",NA,NA
"GBE1","RSPH3","PLEKHA3",NA,"CDK17","ASAP3",NA,"INSM1","KIFAP3",NA,"FZD5",NA,NA,NA,NA,"B4GALT7",NA,NA,NA,"KIF22",NA,NA
"TET2","FAM126A","KLHL28",NA,"AC021504.1","NXN",NA,"LAMA2","PLEKHO1",NA,"DIPK2B",NA,NA,NA,NA,"ERGIC3",NA,NA,NA,"MPP7",NA,NA
"NBR1","AL358472.2","ZNF43",NA,"KIRREL1","AL121944.1",NA,"NUB1","KDM6B",NA,"Z82243.1",NA,NA,NA,NA,"UCHL5",NA,NA,NA,"IFT88",NA,NA
"KLC4","PLXNA2","ANKRD40",NA,"AP002449.1","POLR1A",NA,"PTF1A","LINC01678",NA,"XPNPEP3",NA,NA,NA,NA,"MINDY1",NA,NA,NA,"AC010201.1",NA,NA
"NOS2","C12orf29","RSPO3",NA,"DHRS1","MKRN1",NA,"ZNF26","PRPF4B",NA,"BNIP2",NA,NA,NA,NA,"SELENOH",NA,NA,NA,"AC027807.2",NA,NA
"ACSF2","GATA6-AS1","KIF12",NA,"MRPL53","RNF214",NA,"PDE6D","MTRNR2L1",NA,"UBE3D",NA,NA,NA,NA,"SELENOK",NA,NA,NA,"ANKRD13C",NA,NA
"DPF3","ERBB2","SLC22A31",NA,"ZXDB","USP20",NA,"EHMT1","ISG20",NA,"ABCB7",NA,NA,NA,NA,"CHST10",NA,NA,NA,"KCNT2",NA,NA
"TNFRSF10D","ZNF480","PIGA",NA,"SEC61G","RABGEF1",NA,"SRRM1","TRIM47",NA,"C16orf87",NA,NA,NA,NA,"PA2G4",NA,NA,NA,"AGPAT4",NA,NA
"AC083799.1","DCUN1D5","FCF1",NA,"CROCC2","TSPYL1",NA,"TMEM200A","AGAP4",NA,"FASTK",NA,NA,NA,NA,"LIN7C",NA,NA,NA,"MPHOSPH6",NA,NA
"ABHD3","AC068724.3","ALDH4A1",NA,"ARRDC4","PDE9A",NA,"ATXN7L2","DNAJC11",NA,"FAM172A",NA,NA,NA,NA,"DUSP14",NA,NA,NA,"BORCS5",NA,NA
"IGSF23","POP7","TTC7A",NA,"CCDC126","RNF144B",NA,"ATP1B2","GID4",NA,"DKK3",NA,NA,NA,NA,"MISP",NA,NA,NA,"AMMECR1L",NA,NA
"TEP1","RASSF5","PAQR7",NA,"DUSP11","HUNK",NA,"APBA3","MARVELD1",NA,"AC138969.1",NA,NA,NA,NA,"CLDN6",NA,NA,NA,"SHROOM2",NA,NA
"AC026304.1","AP000704.1","MPV17L2",NA,"LIFR","RWDD2A",NA,"AFAP1L2","LARP6",NA,"TBC1D8",NA,NA,NA,NA,"NDUFB3",NA,NA,NA,"TMEFF1",NA,NA
"MEGF9","NID2","UGT2A3",NA,"RAD1","C16orf70",NA,"HAGH","TMEM267",NA,"NCKAP5L",NA,NA,NA,NA,"DUS1L",NA,NA,NA,"EXOC6B",NA,NA
"GPR4","RHOT1","FCHSD2",NA,"MRPL21","SUDS3",NA,"PCDHB14","AC009686.2",NA,"ZNF276",NA,NA,NA,NA,"MID1IP1",NA,NA,NA,"UTP3",NA,NA
"RPS6KA2","LINC00882","AC011043.1",NA,"ZNF853","HIST1H2BE",NA,"B3GALNT1","EEFSEC",NA,"EGFR-AS1",NA,NA,NA,NA,"HSD17B10",NA,NA,NA,"ENTPD7",NA,NA
"NIPAL1","ARMH3","FBXO2",NA,"RNF152","RGS17",NA,"CCT2","SPOCK1",NA,"PHF21A",NA,NA,NA,NA,"SET",NA,NA,NA,"AC114316.1",NA,NA
"HTR1E","FLYWCH2","KIF20B",NA,"AL360013.3","SCO1",NA,"GTPBP1","PHKB",NA,"PIK3R1",NA,NA,NA,NA,"RALGDS",NA,NA,NA,"TIFA",NA,NA
"AP000894.4","PDRG1","KIF1A",NA,"ATG16L1","MCTS1",NA,"YARS","TUBGCP4",NA,"ZBTB49",NA,NA,NA,NA,"MAD2L1",NA,NA,NA,"ZNF174",NA,NA
"AP000704.1","ST3GAL6","SIDT2",NA,"OSTC","ADAMTS2",NA,"INPP5K","ARHGAP39",NA,"PGC",NA,NA,NA,NA,"SH3BP4",NA,NA,NA,"MCPH1",NA,NA
"MRAP","CFAP65","ZNF692",NA,"POLE2","MAP3K9",NA,"RHOBTB2","AFF1",NA,"VWA5B2",NA,NA,NA,NA,"HSPA1A",NA,NA,NA,"CLPX",NA,NA
"TXNL4B","CASK","DHX8",NA,"PIK3C3","LSM2",NA,"C19orf44","SNX22",NA,"STK11",NA,NA,NA,NA,"FAM133B",NA,NA,NA,"JOSD1",NA,NA
"C6orf120","RGS10","PPIH",NA,"ROBO1","USP2-AS1",NA,"KCNH2","ADCY6-DT",NA,"CENPA",NA,NA,NA,NA,"RTN3",NA,NA,NA,"BLOC1S4",NA,NA
"POLR3B","ERI2","USP20",NA,"ISCA2","MIER3",NA,"POP1","AC106793.1",NA,"RNPEPL1",NA,NA,NA,NA,"PSMD7",NA,NA,NA,"ELL",NA,NA
"ABCC3","MACC1","NEK4",NA,"TMEM14B","AGGF1",NA,"CBX6","TTC23",NA,"VPS54",NA,NA,NA,NA,"BANF1",NA,NA,NA,"ZNF346",NA,NA
"ME1","YIF1B","AC107464.3",NA,"INO80","HDDC3",NA,"RPARP-AS1","TGFA",NA,"AC010969.2",NA,NA,NA,NA,"IGHG4",NA,NA,NA,"KIF4A",NA,NA
"TMEM35B","SWSAP1","TAF1",NA,"BBX","ERCC5",NA,"AC015871.1","MPHOSPH9",NA,"ANKS3",NA,NA,NA,NA,"PNRC1",NA,NA,NA,"FAM120AOS",NA,NA
"TBX2-AS1","NDUFAF7","CSGALNACT2",NA,"SCML1","NRN1L",NA,"C11orf95","TENT5A",NA,"FAM214B",NA,NA,NA,NA,"DUSP10",NA,NA,NA,"MAATS1",NA,NA
"DARS-AS1","FBXL19","FKBP1B",NA,"CD274","MED6",NA,"C1orf174","SFXN2",NA,"VWA8",NA,NA,NA,NA,"AQP8",NA,NA,NA,"PARP11",NA,NA
"PIFO","PPARG","MYT1",NA,"TMEM8B","XPR1",NA,"SLC25A43","DDAH1",NA,"GCLM",NA,NA,NA,NA,"TXNL4A",NA,NA,NA,"YPEL1",NA,NA
"DPP10-AS1","SYCN","KDM7A",NA,"YBEY","CBWD2",NA,"FAH","HPSE",NA,"LTK",NA,NA,NA,NA,"NCOA3",NA,NA,NA,"MICALL1",NA,NA
"AL096870.8","SCFD1","SEPTIN11",NA,"LINC01547","NCAPH2",NA,"CCDC174","ITGAE",NA,"LINC-PINT",NA,NA,NA,NA,"MRPS33",NA,NA,NA,"WNT3",NA,NA
"CSRNP1","MORC3","VCPKMT",NA,"PCDHB12","IGIP",NA,"MTRR","HERC1",NA,"ITPR2",NA,NA,NA,NA,"AEBP2",NA,NA,NA,"FAM111B",NA,NA
"VPS37A","MYNN","PLA2G7",NA,"C9orf24","ENPP5",NA,"MAP3K3","CCDC169",NA,"KLRK1",NA,NA,NA,NA,"LIMS1",NA,NA,NA,"AL589765.5",NA,NA
"AJUBA","INTS9","SUGCT",NA,"MYCT1","HSPA1A",NA,"PTGR1","LMBR1",NA,"STEAP2",NA,NA,NA,NA,"SEC62",NA,NA,NA,"PJA1",NA,NA
"MLXIPL","KIF4A","C1orf226",NA,"AMPH","PTPN14",NA,"HOXB4","NSMAF",NA,"NUP42",NA,NA,NA,NA,"UBR2",NA,NA,NA,"ANXA6",NA,NA
"HAO1","CYFIP2","SPSB1",NA,"CMC2","DHX16",NA,"CEACAM1","RAB11FIP1",NA,"AC005696.2",NA,NA,NA,NA,"POLQ",NA,NA,NA,"TARSL2",NA,NA
"MAPT","AC105935.1","TYK2",NA,"FRMD3","HPSE",NA,"PDGFD","BCL2A1",NA,"CYP4V2",NA,NA,NA,NA,"HEBP2",NA,NA,NA,"SAPCD1",NA,NA
"ETAA1","PBRM1","GTSE1",NA,"IL2RG","NUMBL",NA,"PCDHB16","TGDS",NA,"NUDT13",NA,NA,NA,NA,"UFM1",NA,NA,NA,"AC010883.3",NA,NA
"LMO4","MAP3K9","SHISA4",NA,"NEFL","GPR155",NA,"SLC12A9-AS1","SCN8A",NA,"CYP4F22",NA,NA,NA,NA,"AMHR2",NA,NA,NA,"PLEKHB1",NA,NA
"PITPNM1","BTBD6","MROH6",NA,"SMIM20","SHISA8",NA,"GAREM2","STEAP1",NA,"CASP3",NA,NA,NA,NA,"RAB1B",NA,NA,NA,"ADAM10",NA,NA
"AC067852.2","ANKRD29","ITSN2",NA,"RABGEF1","RBM12B",NA,"GGA3","TFG",NA,"MAP3K9",NA,NA,NA,NA,"TMEM123",NA,NA,NA,"EXOC3",NA,NA
"CBWD2","BOD1L1","UBALD1",NA,"CCL4L2","ZSCAN2",NA,"PLOD2","EIF2B3",NA,"DNPEP",NA,NA,NA,NA,"SIK1",NA,NA,NA,"STT3A",NA,NA
NA,"RAD9A","TMEM198",NA,"DOP1B","FBXO4",NA,"CDK5RAP2","GTF3C1",NA,"GTF2F1",NA,NA,NA,NA,"CNIH2",NA,NA,NA,"OGFOD1",NA,NA
NA,"ZBTB22","AC023282.1",NA,"POMGNT1","HOMER2",NA,"XPA","NAGS",NA,"AP002387.2",NA,NA,NA,NA,"FKBP3",NA,NA,NA,"ERG",NA,NA
NA,"IFT88","AC064807.1",NA,"FAM83D","MARF1",NA,"DRC3","PCNT",NA,"SIRT7",NA,NA,NA,NA,"CFAP36",NA,NA,NA,"AC245407.2",NA,NA
NA,"ETV4","ARHGDIA",NA,"MRPS9","KBTBD7",NA,"GNE","SMG1",NA,"AC092428.1",NA,NA,NA,NA,"SPX",NA,NA,NA,"GMEB1",NA,NA
NA,"AGA","KIF2A",NA,"TTC34","RPAP1",NA,"SLC35F3","HIST2H2AA4",NA,"ACTA1",NA,NA,NA,NA,"IL22RA1",NA,NA,NA,"ZBED5",NA,NA
NA,"ZBTB43","EDNRB",NA,"TMEM41A","ALDH16A1",NA,"ELF4","VCPKMT",NA,"UNKL",NA,NA,NA,NA,"HBP1",NA,NA,NA,"EXOSC10",NA,NA
NA,"RDX","RRAGB",NA,"CNTD1","N4BP2L1",NA,"CS","AL353622.1",NA,"BRD3",NA,NA,NA,NA,"SPINT1-AS1",NA,NA,NA,"CXorf38",NA,NA
NA,"L3HYPDH","SEC22B",NA,"HDX","SCARF1",NA,"CSTF1","ZNF205",NA,"TREM2",NA,NA,NA,NA,"CRKL",NA,NA,NA,"ZBTB46",NA,NA
NA,"ZNF639","FYCO1",NA,"GOLGA8O","SPATS2",NA,"ZNF181","ZCWPW2",NA,"BEGAIN",NA,NA,NA,NA,"ZNF189",NA,NA,NA,"VRK2",NA,NA
NA,"AL354811.1","ERVMER61-1",NA,"TONSL","EMC6",NA,"CSGALNACT1","SUCLA2",NA,"ADCY9",NA,NA,NA,NA,"PSIP1",NA,NA,NA,"DDX1",NA,NA
NA,"ARHGAP42","RABIF",NA,"AC104850.2","DDX39A",NA,"VASN","ROCK1",NA,"ZNF672",NA,NA,NA,NA,"DSG2",NA,NA,NA,"WDR70",NA,NA
NA,"ANKRD10","ITCH",NA,"FAM53A","SH3BP2",NA,"INTS11","FOXC2",NA,"MLYCD",NA,NA,NA,NA,"CA8",NA,NA,NA,"STRN",NA,NA
NA,"ELF2","ZNF587B",NA,"STAC3","SH2D2A",NA,"ZNF354A","MASP1",NA,"LYL1",NA,NA,NA,NA,"ZNF420",NA,NA,NA,"STK17B",NA,NA
NA,"EEF1AKMT2","SPECC1L",NA,"CHST14","GREB1L",NA,"SECISBP2L","CABYR",NA,"GARS-DT",NA,NA,NA,NA,"NOP10",NA,NA,NA,"USP25",NA,NA
NA,"AL023803.1","MMD",NA,"ANKRD54","AK2",NA,"DDAH2","DPYD",NA,"RABEPK",NA,NA,NA,NA,"YWHAZ",NA,NA,NA,"AC108488.1",NA,NA
NA,"ZNF736","KCTD2",NA,"RAB3GAP1","ALG14",NA,"R3HCC1","TTC37",NA,"TM6SF1",NA,NA,NA,NA,"CMTR1",NA,NA,NA,"SCAF11",NA,NA
NA,"GEMIN2","ESPL1",NA,"NRGN","HMCES",NA,"SOCS3","PMEPA1",NA,"FAM50A",NA,NA,NA,NA,"OGG1",NA,NA,NA,"GATA2-AS1",NA,NA
NA,"PLA2G7","KMT2B",NA,"HSD17B7","FOCAD",NA,"TMEM128","TSPYL4",NA,"AC007613.1",NA,NA,NA,NA,"CD46",NA,NA,NA,"TRAF1",NA,NA
NA,"TUBA4A","DIAPH1",NA,"COL23A1","RAI1",NA,"EBF4","INKA1",NA,"RAPGEF3",NA,NA,NA,NA,"ZNF503",NA,NA,NA,"ZKSCAN3",NA,NA
NA,"AP004609.3","TCAIM",NA,"NSRP1","DSCC1",NA,"RAB21","PXN",NA,"ACOX2",NA,NA,NA,NA,"MUC13",NA,NA,NA,"ZNF212",NA,NA
NA,"SPATA5L1","CXorf38",NA,"AKNA","AMOTL1",NA,"RBBP4","PLN",NA,"VAX2",NA,NA,NA,NA,"EIF3J",NA,NA,NA,"AC104794.3",NA,NA
NA,"BCL9","FBXO38",NA,"C12orf65","SEPSECS",NA,"LINC00623","ART3",NA,"AC061961.1",NA,NA,NA,NA,"ATG3",NA,NA,NA,"CPOX",NA,NA
NA,"MYPOP","TBC1D17",NA,"CENPO","CRTC3",NA,"MTRNR2L12","VSNL1",NA,"FASTKD5",NA,NA,NA,NA,"MRPL2",NA,NA,NA,"TTC27",NA,NA
NA,"AC080013.3","TM4SF19",NA,"MEX3A","AC009570.1",NA,"FRAT1","AL022311.1",NA,"ERVK13-1",NA,NA,NA,NA,"COA6",NA,NA,NA,"TTC7A",NA,NA
NA,"AGER","OTULINL",NA,"MYLK-AS1","AC087393.2",NA,"ADGRL2","TASOR2",NA,"CDC42BPG",NA,NA,NA,NA,"CAPZA2",NA,NA,NA,"ICAM1",NA,NA
NA,"EBLN3P","ALG6",NA,"AL020996.1","SNX15",NA,"C1orf112","RTL6",NA,"AC039056.2",NA,NA,NA,NA,"CHD2",NA,NA,NA,"PINX1",NA,NA
NA,"FAM221A","STAB1",NA,"LINC02397","RELCH",NA,"ICA1L","ASF1A",NA,"IL32",NA,NA,NA,NA,"TCAF1",NA,NA,NA,"STEAP1",NA,NA
NA,"LINC00598","DUT",NA,"LINC00847","AC093817.2",NA,"TBC1D2","FOLH1",NA,"DDX19A",NA,NA,NA,NA,"ADCY1",NA,NA,NA,"ZNF626",NA,NA
NA,"HOXC8","BEGAIN",NA,"AC092944.1","SIPA1L3",NA,"PCDH1","COG2",NA,"SCRN2",NA,NA,NA,NA,"ITPRID2",NA,NA,NA,"MBTPS2",NA,NA
NA,"ZNF568","RGMB-AS1",NA,"PELI2","ST3GAL5",NA,"INPP5E","THAP9-AS1",NA,"NEDD4",NA,NA,NA,NA,"ZEB1-AS1",NA,NA,NA,"ZNF251",NA,NA
NA,"TP53BP1","MTMR6",NA,"ARHGAP6","RGCC",NA,"AC015871.4","CYP2C9",NA,"LRRC20",NA,NA,NA,NA,"PARM1",NA,NA,NA,"G6PD",NA,NA
NA,"SWAP70","HDAC10",NA,"STX6","C18orf54",NA,"CHMP1B","AC067930.1",NA,"ENTPD4",NA,NA,NA,NA,"TMEM70",NA,NA,NA,"FRZB",NA,NA
NA,"LETMD1","IMPA1",NA,"SPRTN","TRAM2",NA,"AC104134.1","ATP6V1B2",NA,"ADPRM",NA,NA,NA,NA,"HIF1A",NA,NA,NA,"S1PR2",NA,NA
NA,"RPGR","ZFYVE21",NA,"METTL1","CIP2A",NA,"YES1","IL17RE",NA,"FAM89A",NA,NA,NA,NA,"SEC24C",NA,NA,NA,"ARL3",NA,NA
NA,"SREK1","CAMK2B",NA,"KIAA1549L","IFT81",NA,"AQP10","EVA1C",NA,"RIC1",NA,NA,NA,NA,"FOSL2",NA,NA,NA,"APOL1",NA,NA
NA,"RNF111","CDCA8",NA,"NCBP2AS2","FXYD5",NA,"CYB5B","ROR1",NA,"TAB1",NA,NA,NA,NA,"SMIM20",NA,NA,NA,"NAALADL2",NA,NA
NA,"TMEM140","FGD3",NA,"FP565260.3","MSANTD4",NA,"CASTOR3","RAD52",NA,"DDX11",NA,NA,NA,NA,"AL135905.2",NA,NA,NA,"RCC1",NA,NA
NA,"RUFY3","FAM162B",NA,"MED31","AC084756.1",NA,"CMTR2","TMLHE",NA,"PHF2",NA,NA,NA,NA,"DNAJC15",NA,NA,NA,"FPR3",NA,NA
NA,"CDC45","GIPR",NA,"MBTD1","PPP1R21",NA,"CPT1B","UNC119B",NA,"P3H4",NA,NA,NA,NA,"ZFP36",NA,NA,NA,"MAGEA9B",NA,NA
NA,"KCTD18","NACC2",NA,"GAL","IRAK4",NA,"AC096772.1","SLC35E2B",NA,"CDC25B",NA,NA,NA,NA,"TM9SF3",NA,NA,NA,"LINC00476",NA,NA
NA,"MAGEH1","NUDT8",NA,"CU638689.5","HLX",NA,"NR2C2","HEG1",NA,"RAP2B",NA,NA,NA,NA,"PROC",NA,NA,NA,"GLIS2-AS1",NA,NA
NA,"CYREN","DHRS13",NA,"AC007032.1","HIGD2A",NA,"TUBGCP6","SPAST",NA,"SKA3",NA,NA,NA,NA,"TCEAL1",NA,NA,NA,"COPG2",NA,NA
