"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12","Pattern_13","Pattern_14","Pattern_15","Pattern_16","Pattern_17","Pattern_18","Pattern_19","Pattern_20","Pattern_21","Pattern_22"
"C1orf105","C8B","MANEAL","RGS4","LINC01357","THEMIS2","TACR1","ATG4C","SH3D21","AC093159.1","AL139289.2","CEACAM4","AC073655.2","AC103769.1","AC003101.2","AGT","IL2RA","AL022328.3","LHX5-AS1","EPHX4","AL110115.2","AC025175.1"
"AL512306.2","ZRANB2","PPIE","CD247","ATP1A1-AS1","GMEB1","THSD7B","DNAJC6","AL591845.1","FIGLA","CCDC24","ZNF610","AC012555.1","PARP15","SLFN13","IRF2BP2","AL353751.1","AC092611.1","U91324.1","PSRC1","LINC01303","SPATA9"
"AL161640.2","ST6GALNAC3","RLF","ANGPTL1","SRGAP2B","AL049795.2","AC010680.4","GBP4","INPP5B","EMX1","ZSWIM5","AF127936.2","SLC24A5","IL31RA","TBC1D3B","RPS7","LINC00332","SP2-AS1","RHBDL3","GSTM4","AL136304.1","FOXQ1"
"LINC01132","TTLL7","ZNF684","KIAA1614-AS1","GJA5","TMEM54","CDK5R2","HENMT1","AL357079.2","ALMS1-IT1","HHLA3","PHF21B","AC092287.1","IQCA1","ITGB3","APOB","NPAS3","AC019257.1","MACROD2","LRIF1","AC107294.2","SLC17A4"
"RN7SL832P","RBMXL1","TIE1","PTGS2","HIST2H3D","TRIM62","SGPP2","ADORA3","PLK3","AC079447.1","SPATA1","PABPC5","PITPNM3","AC016526.2","AC022966.2","CALM2","AL049828.1","FCER2","FAM225B","AL355816.2","AC110597.1","C4B"
"HS1BP3-IT1","AL596214.1","ARTN","FMOD","BNIPL","ZMYM4","OXTR","SLC16A1-AS1","PIK3R3","RGPD8","BTBD8","BX649601.1","RNF112","SLIT1","C2CD4C","EPCAM","GOLGA8M","LINC00906","GRM4","LINC01762","TXLNB","HCG25"
"LINC01833","AL109613.1","ERI3","PRELP","ZNF687-AS1","ZC3H12A","GALNT15","MAGI3","FAAH","AC097532.2","PALMD","CLEC18B","S1PR4","SPOCD1","TMEM59L","RPS27A","AC108134.4","APOL4","TENM4","AL359915.1","AC009951.6","ENPP3"
"AC092650.1","AL049796.1","KIF2C","LRRN2","TMCC2","FHL3","TMPPE","SRGAP2C","CDKN2C","DOCK10","CSF1","AP000550.1","LYPD5","UNC5A","DNAAF3","TMSB10","AL136172.1","ADAMTS8","AC093582.1","AC239800.2","AC007326.2","IYD"
"AC073263.2","AC118469.2","PLK3","GJC2","KLHDC8A","AL139260.1","LIMD1-AS1","AC242426.2","ZFYVE9","LINC02610","CD53","AL592295.5","SIRPG","AC009248.2","BPI","COX5B","B3GALT5-AS1","HMCN2","ABI3BP","FCGR1A","MGAT3","AGMO"
"DNAH6","GPSM2","HECTD3","KCNS3","SPATA17","AL356055.1","CCR5","NBPF14","SHISAL2A","SRGAP3-AS2","LRIG2","GPC5-AS1","AC007250.1","AP005136.3","BACH1-IT1","RPL31","AL606760.1","Z73420.1","ADAMTS3","HIST2H2BF","PLCXD3","HOXA5"
"EIF2AK3-DT","AL160006.1","HPDL","CYP1B1","PCNX2","ZFP69","AC012557.2","AC245297.2","YIPF1","ZNF501","DCLRE1B","CD300LB","ABCA4","FARP1-AS1","ACR","ZC3H6","SOD2-OT1","EDA2R","ACAN","MTMR11","ICAM5","AASS"
"AC233263.6","AL355488.1","MUTYH","EFEMP1","AL732292.2","RIMKLA","CD96","MLLT11","CYB5RL","AC141002.1","TBX15","AC023593.1","AIRE","FCHO1","CLTRN","CCNT2-AS1","AC111149.2","RBP2","AC002401.3","AL589765.7","AC020922.4","CYP7A1"
"ANKRD23","PIFO","RAD54L","ANTXR1","FMN2","SLC2A1","BTLA","GABPB2","PARS2","AC137630.1","AL356356.1","TEX29","AC097641.2","ADCYAP1R1","LINC02544","LINC01876","BNC2","AP000350.5","AC129507.1","KCNN3","GAPLINC","AC083841.1"
"RABL2A","LINC00622","CDKN2C","LRRTM4","RGS7","AL604028.1","PARP15","SPRR2E","C8A","AC097358.2","RORC","SLC12A3","LINC01664","HIST1H2AH","AC090515.2","AC016737.1","AC048382.5","RTP3","WFIKKN2","TSACC","AC109347.1","C10orf143"
"CCDC74A","REG4","ORC1","ATOH8","C1orf229","MOB3C","AC137695.3","S100A3","FGGY","C3orf67","C2CD4D-AS1","HDAC2-AS2","SP110","AC017104.6","KLHL29","ATP5MC3","AL136531.1","AL135910.1","TMEM26","CD5L","MIS18A-AS1","FAT3"
"CERS6-AS1","NBPF15","MROH7","ST6GAL2","ATP6V1C2","CYP4A11","AC104472.4","ASH1L-AS1","PDE4B","LINC00870","AC234582.2","KCNN1","C11orf65","PYGM","ITGB1-DT","STAT1","AC090948.1","AC147067.1","AC109479.1","CD1D","AC011505.1","TREH"
"CCDC173","LIX1L-AS1","OMA1","SCTR","RBKS","STIL","AC107294.3","AL590666.3","WLS","TIGIT","RUSC1-AS1","AC069503.1","CYP3A43","BHLHE41","AC007952.3","HSPD1","AC025175.1","TACR2","KCNN2","CD1C","OR51E1","RASL11A"
"ANKAR","AL592424.1","LRRC7","AC073869.3","CLIP4","PODN","AC007920.2","MNDA","LRRC40","POPDC2","PAQR6","OLFM1","LRRC34","ATP2A1-AS1","LINC00906","HSPE1","UMOD","AC004012.1","WDR31","NECTIN4","AL359541.1","TAT"
"OSGEPL1-AS1","C2CD4D","AL354872.2","LINC02631","SOS1-IT1","DHCR24-DT","AC005674.2","SLAMF7","FPGT","EFCC1","C1orf61","PRPH","AC126283.1","FAR2","AP000866.5","AC005037.1","GLIS2-AS1","CR381653.1","CD79A","FMO3","DKK2","MYH4"
