"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12"
"MTFR1",NA,"CREB3L2",NA,"TNRC6A","LINC00562",NA,NA,NA,NA,"STX8","MBTD1"
"TBL1XR1",NA,"DNMT1",NA,"GABPB1-AS1","SYTL1",NA,NA,NA,NA,"EPB41L1","GPSM2"
"TNFRSF10D",NA,"TEAD2",NA,"SH3KBP1","BTBD6",NA,NA,NA,NA,"PCYOX1L","KCNE3"
"CCDC18-AS1",NA,"ZNF623",NA,"ADORA3","CHADL",NA,NA,NA,NA,"HIST1H1C","ANKFY1"
"FBXO44",NA,"SCAP",NA,"MAP7D3","NAT14",NA,NA,NA,NA,"RBM4B","GALNS"
"MBIP",NA,"NIT2",NA,"TENT5A","ZBTB33",NA,NA,NA,NA,"ARMCX6","NPHP1"
"SCAMP2",NA,"FOXO1",NA,"CAMKK1","TSPOAP1",NA,NA,NA,NA,"C1QL1","RIC1"
"AP000424.1",NA,"PRADC1",NA,"CASTOR3","CREM",NA,NA,NA,NA,"PAIP2B","MAD2L1BP"
"CRYBB1",NA,"AC097448.1",NA,"STAB1","UBA3",NA,NA,NA,NA,"KYAT1","LZTFL1"
"DCBLD2",NA,"USP22",NA,"FUT8","PLPPR2",NA,NA,NA,NA,"ALKBH8","ANAPC11"
"AC008906.2",NA,"ANP32B",NA,"AC007952.4","PURB",NA,NA,NA,NA,"P4HA2","ALOX12-AS1"
"PIPOX",NA,"TWF2",NA,"ESAM","CRK",NA,NA,NA,NA,"ZNF346","EXOSC5"
"DPY19L1",NA,"SMO",NA,"A4GALT","KCTD14",NA,NA,NA,NA,"CEP112","ACSS1"
"CZIB",NA,"SHD",NA,"NCOR1","POLRMT",NA,NA,NA,NA,"ZNF765","RAD51AP1"
"CX3CL1",NA,"DLAT",NA,"FAM241A","RAB3B",NA,NA,NA,NA,"CFAP36","MAML3"
"SOX12",NA,"GPAT4",NA,"APOB","APPL1",NA,NA,NA,NA,"SAP30","AC068338.3"
"IPO4",NA,"MAPRE1",NA,"DDX58","PIH1D1",NA,NA,NA,NA,"CYP2C18","NFKBIL1"
"SNTA1",NA,"AC116407.2",NA,"PRPF38B","NIPBL",NA,NA,NA,NA,"ATP9B","SLC2A11"
"DPP7",NA,"NGEF",NA,"PRDM1","AGTR1",NA,NA,NA,NA,"SACM1L","NUP37"
"ACIN1",NA,"FAM102A",NA,"TFEB","SLC9A3R2",NA,NA,NA,NA,"EGFR-AS1","TRIM69"
"ZNF780B",NA,"CNTLN",NA,"CCND3","IGFBPL1",NA,NA,NA,NA,"MB","BOLA3"
"TGFBR1",NA,"MIR4453HG",NA,"MYO1F","GVQW2",NA,NA,NA,NA,"NDUFAF7","GEMIN7-AS1"
"GCH1",NA,"ACAP2",NA,"TCIM","MUTYH",NA,NA,NA,NA,"RRP36","ZNF69"
"UHRF1BP1L",NA,"AL080317.1",NA,"DTX2","FRA10AC1",NA,NA,NA,NA,"C11orf1","DOK2"
"GINM1",NA,"KPNA2",NA,"KIF27","AC110790.1",NA,NA,NA,NA,"ELN","LINC02062"
"RBMX",NA,"TKFC",NA,"AC132872.1","IP6K2",NA,NA,NA,NA,"COX7B","RNF144A"
"CANT1",NA,"AC115619.1",NA,"APOL1","ZNF250",NA,NA,NA,NA,"GAK","MASTL"
"ACOX1",NA,"SAMD4A",NA,"ADAMTS3","GPN1",NA,NA,NA,NA,"NDUFA1","REEP4"
"PLD1",NA,"PGAP1",NA,"AKR7A3","POLE4",NA,NA,NA,NA,"NSRP1","KLHL22"
"AMPD2",NA,"VPS33B",NA,"LINC00884","EMC8",NA,NA,NA,NA,"BSCL2","WDR89"
"FAM89B",NA,"RABGAP1L",NA,"RAB42","C1orf43",NA,NA,NA,NA,"CARD10","AC244100.3"
"RETREG2",NA,"INTS9",NA,"RPL37A","GZMH",NA,NA,NA,NA,"RAB5IF","GATB"
"TJP3",NA,"HIST3H2A",NA,"AHSG","NOTCH3",NA,NA,NA,NA,"HEY2","AC100810.1"
"SMIM14",NA,"SARNP",NA,"FBLN2","PSMD13",NA,NA,NA,NA,"GSDMB","MIR222HG"
"CPVL",NA,"KMT5B",NA,"AC254562.2","PRODH2",NA,NA,NA,NA,"TMEM249","BRIP1"
"M6PR",NA,"HNRNPUL1",NA,"CRISPLD2","TET2",NA,NA,NA,NA,"UTP14A","FAM13B"
"VAMP7",NA,"SLC30A5",NA,"FSBP","MRPL55",NA,NA,NA,NA,"KBTBD7","TMEM273"
"C11orf24",NA,"PGLS",NA,"NOSTRIN","ACTL6A",NA,NA,NA,NA,"SLC10A7","PDE6D"
"LAGE3",NA,"JADE2",NA,"PLCB3","PRKAA1",NA,NA,NA,NA,"AC002553.2","GATA6-AS1"
"CCT5",NA,"GMPS",NA,"ARHGEF26-AS1","WASHC2C",NA,NA,NA,NA,"RGCC","C12orf49"
"ERAL1",NA,"SYNE4",NA,"FADD","FBRS",NA,NA,NA,NA,"MOSPD3","ANKS1B"
"PUS3",NA,"DIPK1A",NA,"SALL4","GFM1",NA,NA,NA,NA,"ZNF408","IRF2BPL"
"EPS8",NA,"SNX33",NA,"COL21A1","SLC16A1",NA,NA,NA,NA,"EIF5A2","SPAG9"
"HAAO",NA,"GATAD2B",NA,"TPM4","MEST",NA,NA,NA,NA,"RRAS2","MAP2K1"
"TRMT112",NA,"ZNF556",NA,"EZR","MED14",NA,NA,NA,NA,"GNLY","AL354740.1"
"COG4",NA,"GYS1",NA,"NBPF3","RTCA",NA,NA,NA,NA,"SLC25A11","WRN"
"KAT6A",NA,"FBXW5",NA,"MARS2","NUDT5",NA,NA,NA,NA,"SNX22","ZNF701"
"GAS6",NA,"ZNHIT3",NA,"ZBED5-AS1","LINC00997",NA,NA,NA,NA,"FAM228B","LINC01807"
"RTL8A",NA,"GSE1",NA,"PRF1","TUBGCP2",NA,NA,NA,NA,"LINC00574","KIAA1755"
"AC016590.3",NA,"HMGN2",NA,"RAPGEF3","TMEM237",NA,NA,NA,NA,"BRD9","FMO1"
"STOX1",NA,"KHK",NA,"SNAI1","TRIM37",NA,NA,NA,NA,"PDP1","MYO19"
"SH3RF2",NA,"LCA5L",NA,"TNF","FGFR1OP2",NA,NA,NA,NA,"IL2RB","MCM6"
"TP53TG1",NA,"CARMIL3",NA,"RING1","CACNB4",NA,NA,NA,NA,"SLC36A1","RIPK4"
"AC023510.2",NA,"ACOX2",NA,"ASAP2","UTP4",NA,NA,NA,NA,"SHPK","ACTRT3"
"UBALD2",NA,"RAB3B",NA,"DDX60","AC002059.1",NA,NA,NA,NA,"PYCR2","LINC01963"
"TIPARP",NA,"FBXO33",NA,"STARD4-AS1","ABCC3",NA,NA,NA,NA,"HCN3","LINC00467"
"GCLC",NA,"NUDT22",NA,"ZNF574","DNAJB14",NA,NA,NA,NA,"FGF2","AC084824.4"
"USP14",NA,"NUTM2A-AS1",NA,"MYMX","STAU1",NA,NA,NA,NA,"KIN","FANCC"
"DNAJC9-AS1",NA,"EXOC4",NA,"ZNF561-AS1","CHKA",NA,NA,NA,NA,"RWDD4","AC026471.4"
"AC007611.1",NA,"AL122035.2",NA,"SIN3A","YY1AP1",NA,NA,NA,NA,"BLNK","RPL15"
"PATJ",NA,"UBXN1",NA,"AC107952.2","AF213884.3",NA,NA,NA,NA,"AVP","PDCD4"
"GATD3B",NA,"ZNF232",NA,"STK17B","ALKBH8",NA,NA,NA,NA,"C1S","PEX3"
"ZNF445",NA,"MEN1",NA,"ITGB4","COL5A2",NA,NA,NA,NA,"LINC01138","AC009961.1"
"CAPN12",NA,"MAP4K3",NA,"ZBTB21","GOLPH3L",NA,NA,NA,NA,"ROR1","RPS19"
"DHX33",NA,"TBC1D8-AS1",NA,"KLHL42","AL031666.1",NA,NA,NA,NA,"AC102953.2","ELMO3"
"TRIM44",NA,"AHCTF1",NA,"EDNRB","GFPT1",NA,NA,NA,NA,"ASRGL1","CHFR"
"PRNP",NA,"NIPSNAP3B",NA,"RGS9","SEPTIN9",NA,NA,NA,NA,"KBTBD4","NELFA"
"STEAP3",NA,"AC130650.2",NA,"AC239800.2","ZMIZ1",NA,NA,NA,NA,"AC009779.2","AC132217.1"
"MAPKAPK5-AS1",NA,"RGSL1",NA,"TRMT1","DAZAP2",NA,NA,NA,NA,"C15orf39","PREX1"
"RNF10",NA,"AC092620.1",NA,"UBXN7","SDSL",NA,NA,NA,NA,"LBP","P2RX4"
"TULP4",NA,"SERTAD1",NA,"ZNF337","MTHFS",NA,NA,NA,NA,"SNX9","ZNF865"
"OGFR",NA,"ARID1B",NA,"CTSD","DDX56",NA,NA,NA,NA,"RNF20","RIOX2"
"IGF2BP2",NA,"CCDC25",NA,"CDK8","STYX",NA,NA,NA,NA,"CTPS2","ERG"
"PAQR7",NA,"PPP3CB",NA,"LINC00685","TMED4",NA,NA,NA,NA,"SULT2A1","MLIP"
"ANKDD1A",NA,"MYOF",NA,"TBC1D12","ATP6V1C1",NA,NA,NA,NA,"ART4","RIOK1"
"PANK3",NA,"CRYL1",NA,"ACTR3B","KBTBD2",NA,NA,NA,NA,"NOP16","C1orf216"
"AC008760.2",NA,"RAD51",NA,"PRX","KLRG1",NA,NA,NA,NA,"GPR183","AP005262.2"
"LYPD3",NA,"IPO4",NA,"SORBS1","ZNF780A",NA,NA,NA,NA,"FAAH","B3GALT6"
"SRPK1",NA,"SMARCD1",NA,"TSPAN32","FDXR",NA,NA,NA,NA,"TMEM42","RPL23A"
"DENND10",NA,"ACRBP",NA,"ADGRE5","TMEM70",NA,NA,NA,NA,"CBR1","ZNF443"
"MCCC2",NA,"OARD1",NA,"TOLLIP-AS1","MAPK15",NA,NA,NA,NA,"REG4","TRAF1"
"HACD1",NA,"EXOSC8",NA,"PAOX","ARNT",NA,NA,NA,NA,"HMBS","DAPK3"
"NDUFA8",NA,"POLR1E",NA,"P2RY8","TSC2",NA,NA,NA,NA,"ATP2C1","NPAS2"
"S100A16",NA,"PLEKHG2",NA,"ABHD5","TMEM160",NA,NA,NA,NA,"MSS51","PCDH20"
"ANGPTL6",NA,"ZNF280D",NA,"CHD7","HIST2H2BE",NA,NA,NA,NA,"DTX2","BPHL"
"CD59",NA,"BFAR",NA,"DTWD1","AHR",NA,NA,NA,NA,"SIRT7","EEF1B2"
"DRG2",NA,"CTNNBIP1",NA,"OTOA","CNOT4",NA,NA,NA,NA,"CDK2AP2","KCNK15"
"CREG1",NA,"NSD1",NA,"PPIG","STAT5B",NA,NA,NA,NA,"AC007292.1","CAPZA2"
"HNF1A",NA,"CSNK1G1",NA,"MTRF1L","CALCOCO2",NA,NA,NA,NA,"ZNF644","NSUN5"
"CDIPT",NA,"ASB8",NA,"ZNF674","CXADR",NA,NA,NA,NA,"FGGY","CDC123"
"RNF40",NA,"CERS5",NA,"RPS19","LCOR",NA,NA,NA,NA,"AC090360.1","RPS3A"
"PDE12",NA,"PHC3",NA,"RNF2","TATDN1",NA,NA,NA,NA,"EML1","RPS4X"
"FBXO9",NA,"MYT1",NA,"FLT1","TFF3",NA,NA,NA,NA,"BTD","FAM98B"
"PDK2",NA,"CSNK2A1",NA,"ZSCAN12","ERCC2",NA,NA,NA,NA,"TLCD1","GAS2"
"KMT2E-AS1",NA,"LY6G5B",NA,"TRBC1","HDHD3",NA,NA,NA,NA,"KIF21B","ERCC8"
"NUGGC",NA,"B3GNT2",NA,"PLXDC2","PMF1",NA,NA,NA,NA,"IGHMBP2","SMN1"
"KIAA1143",NA,"CDHR2",NA,"THAP12","AC000068.3",NA,NA,NA,NA,"AC021028.1","TMPO-AS1"
"ZFHX4-AS1",NA,"TMEM150A",NA,"GNPDA1","UBE2Z",NA,NA,NA,NA,"PTPRG-AS1","MRPL52"
"SPTLC1",NA,"AC008897.3",NA,"STON1","CYB561D2",NA,NA,NA,NA,"ARL6","SH2B2"
"NCOA5",NA,"RNASEK",NA,"TEX10","CYB561D2",NA,NA,NA,NA,"PTGR1","LINC00205"
"STT3B",NA,"HUWE1",NA,"PPP2R3B","MAP4",NA,NA,NA,NA,"ANO4","NPEPPS"
"MIDN",NA,"DDX41",NA,"WWC3","DDX24",NA,NA,NA,NA,"C2orf92","ZSWIM1"
"AC016575.1",NA,"CCDC177",NA,"SUZ12","ARHGAP19",NA,NA,NA,NA,"KRAS","RPLP0"
"IMP4",NA,"AL391152.1",NA,"TRIM73","ROM1",NA,NA,NA,NA,"CSRP2","ARMC8"
"SP1",NA,"EMG1",NA,"KIAA0895","ANKRD17",NA,NA,NA,NA,"IER5","UPF1"
"YPEL3",NA,"TSR2",NA,"CASP4","UBE2F",NA,NA,NA,NA,"AL118516.1","MMP11"
"RGN",NA,"AL021707.2",NA,"TWISTNB","ATF7IP",NA,NA,NA,NA,"AC105411.1","MYO18A"
"SUCLG2",NA,"ARFIP2",NA,"ITGA8","ADH5",NA,NA,NA,NA,"IMMP2L","BLOC1S1"
"PARD3",NA,"RNF146",NA,"LINC01588","AC037198.1",NA,NA,NA,NA,"MOSMO","DNAJC12"
"SLC7A11",NA,"MON1B",NA,"CTSS","ANKS4B",NA,NA,NA,NA,"RBFADN","ATP10D"
"SLC38A6",NA,"CDH15",NA,"PGM2L1","AIF1",NA,NA,NA,NA,"BET1L","ARL3"
"DNAJC2",NA,"FAM104B",NA,"IL32","PIAS2",NA,NA,NA,NA,"UBE3A","G2E3"
"DYNLT3",NA,"NCMAP",NA,"FNDC1","AKAP1",NA,NA,NA,NA,"ATP2B1-AS1","CYP3A7"
"NSF",NA,"FDCSP",NA,"KISS1","MTR",NA,NA,NA,NA,"NOMO1","TRIM31"
"SF3A2",NA,"AC084125.4",NA,"PABPC4L","NELFE",NA,NA,NA,NA,"GPLD1","LIN9"
"LDLR",NA,"SEPTIN10",NA,"KDM5A","LINC02055",NA,NA,NA,NA,"FAH","LINC01137"
"IGHG3",NA,"NDUFB10",NA,"ZSWIM6","NDUFC2",NA,NA,NA,NA,"EIF2B3","RPL6"
"ABLIM3",NA,"MTIF2",NA,"CENPJ","PIK3R4",NA,NA,NA,NA,"ABCB11","COX16"
"TSC22D1",NA,"FXR1",NA,"TMEM67","WSB1",NA,NA,NA,NA,"AL359504.2","RPS10"
"TMEM65",NA,"ACBD3",NA,"TRIM15","FNIP2",NA,NA,NA,NA,"DDX20","BX322562.1"
"SLC30A9",NA,"SIL1",NA,"CHRNE","RPRD2",NA,NA,NA,NA,"CARD9","C11orf1"
"LY6E",NA,"GJB6",NA,"RGCC","TSTD2",NA,NA,NA,NA,"RRAGD","SLC25A40"
"ATP6V1F",NA,"LRIG1",NA,"MKS1","WASHC2A",NA,NA,NA,NA,"SIRPG","RAP2A"
"CTSZ",NA,"PTCD3",NA,"YWHAH","DPAGT1",NA,NA,NA,NA,"ARHGEF28","YTHDC2"
"ZNF593",NA,"LIME1",NA,"AL355102.4","ASAH2",NA,NA,NA,NA,"ID3","AC026304.1"
"AL080317.2",NA,"BMF",NA,"GORASP1","FOXRED1",NA,NA,NA,NA,"KIF3C","NFRKB"
"CDK5RAP3",NA,"BAZ1B",NA,"NPB","AL157388.1",NA,NA,NA,NA,"CDK5RAP1","HMGXB3"
"FZD5",NA,"CELSR2",NA,"EIF2AK3","BCS1L",NA,NA,NA,NA,"KIF16B","NEK11"
"HARS",NA,"PROZ",NA,"CDK13","CPLANE2",NA,NA,NA,NA,"KISS1","PRKCZ"
"TOP2B",NA,"SECISBP2L",NA,"ALG11","RIPK1",NA,NA,NA,NA,"SLPI","DNAJC27"
"HSDL2",NA,"PAK4",NA,"TIFA","AC243964.3",NA,NA,NA,NA,"PON3","BBS9"
"RBMX2",NA,"TMEM65",NA,"RIMS3","MLST8",NA,NA,NA,NA,"ATP6V1H","OAS1"
"FCF1",NA,"RPUSD3",NA,"ATP8B2","NAGPA",NA,NA,NA,NA,"CFHR5","C14orf132"
"GPX2",NA,"SDR39U1",NA,"CHN1","AC113139.1",NA,NA,NA,NA,"FAM83D","RPL36A"
"PDHB",NA,"KIAA1109",NA,"FBXL8","PLEKHA6",NA,NA,NA,NA,"ZNFX1","FOXN4"
"GATAD2A",NA,"ALDH1A2",NA,"GPD1L","PTPA",NA,NA,NA,NA,"AC021483.2","WNK2"
"SKP2",NA,"LINC02015",NA,"LINC01128","IVD",NA,NA,NA,NA,"CD47","CYTH3"
"PTPRK",NA,"H19",NA,"IRF2BPL","TJAP1",NA,NA,NA,NA,"IDH3A","CHCHD7"
"MYCL",NA,"CNIH4",NA,"SAMD12","SPC25",NA,NA,NA,NA,"GLS2","RPL9"
"GHR",NA,"TMEM245",NA,"PDE2A","RAB14",NA,NA,NA,NA,"IL22RA1","GPC3"
"LYRM2",NA,"ITPKA",NA,"DENND3","CCDC117",NA,NA,NA,NA,"ZFYVE28","ADGRG7"
"XPOT",NA,"VAMP7",NA,"COL2A1","PBX3",NA,NA,NA,NA,"ADI1","PRTFDC1"
"LDHD",NA,"HOXD4",NA,"TOP1","FOXF1",NA,NA,NA,NA,"ETV1","GRASP"
"PLPPR2",NA,"ARRB2",NA,"ANXA2","DNAJC1",NA,NA,NA,NA,"ZBTB22","AC139530.1"
"ZMAT5",NA,"GNAQ",NA,"UACA","QKI",NA,NA,NA,NA,"PXDC1","RNF181"
"MBD1",NA,"ZNF652",NA,"CP","SPRYD3",NA,NA,NA,NA,"PLA2G5","AC083843.3"
"ARCN1",NA,"CCDC85C",NA,"TRIP4","SMCHD1",NA,NA,NA,NA,"SIGIRR","AL645933.2"
"RTP3",NA,"C11orf95",NA,"BNIP2","MAD2L2",NA,NA,NA,NA,"AP003465.1","FP565260.6"
"CTNNB1",NA,"MRPS5",NA,"GALNT5","RNASEH2A",NA,NA,NA,NA,"SLC9B2","MRPS36"
"TOR1A",NA,"SRGN",NA,"IFIT3","LACTB2",NA,NA,NA,NA,"FOXN3-AS1","C1orf112"
"SATB2",NA,"ITGB2",NA,"GEN1","SULT1A2",NA,NA,NA,NA,"A4GALT","FABP1"
"DPCD",NA,"GNE",NA,"TNFRSF18","PDGFRB",NA,NA,NA,NA,"ZNF121","ORC2"
"OAZ2",NA,"LINC01829",NA,"TSEN54","CCAR1",NA,NA,NA,NA,"NEIL1","TMA16"
"GGCT",NA,"SF1",NA,"IGFBP2","NDUFB2",NA,NA,NA,NA,"KCNN1","FBXO38"
"HSCB",NA,"PUS1",NA,"IGHA1","TFAM",NA,NA,NA,NA,"SLC22A25","RIC8A"
"TTC28-AS1",NA,"AC007364.1",NA,"SPRED1","PLAG1",NA,NA,NA,NA,"CYC1","GET3"
"SNRNP70",NA,"TSPO",NA,"MSRB3","RNF44",NA,NA,NA,NA,"BARD1","INTS9"
"DUOX1",NA,"MSRA",NA,"LINC01268","ZNF148",NA,NA,NA,NA,"SMARCAL1","PPM1H"
"PACS2",NA,"SLC22A4",NA,"HOXC5","ZDHHC8",NA,NA,NA,NA,"MTHFD1","GARS"
"TRAM2",NA,"PXN",NA,"Z69706.1","EIF2B3",NA,NA,NA,NA,"EPS8L3","BUD31"
"ATP6V1D",NA,"ZNF747",NA,"TUFT1","TMEM265",NA,NA,NA,NA,"ZDHHC11","AL691432.2"
"LINC01594",NA,"SH3D19",NA,"NDOR1","CTXND1",NA,NA,NA,NA,"VMO1","DLGAP5"
"TFRC",NA,"ANKRD11",NA,"RIPK2","AC007950.2",NA,NA,NA,NA,"AL021368.3","USP2"
"AC080013.3",NA,"BRF2",NA,"CTPS2","RNF14",NA,NA,NA,NA,"ZNF229","B3GNTL1"
"UPP2",NA,"SLC25A42",NA,"HLA-DPB1","CD99L2",NA,NA,NA,NA,"NPHP1","MAP3K21"
"DEDD2",NA,"AMMECR1",NA,"JCHAIN","DNAJB12",NA,NA,NA,NA,"ACTR1A","LAT"
"SLC16A6",NA,"KXD1",NA,"PWWP2A","PFKFB3",NA,NA,NA,NA,"LRBA","EVA1A"
"RASA4",NA,"AC005332.6",NA,"UAP1L1","PACSIN1",NA,NA,NA,NA,"XRN2","PLA2G6"
"RHBDD2",NA,"ANKRD50",NA,"ENGASE","CDK9",NA,NA,NA,NA,"RCAN2","ERCC1"
"TATDN1",NA,"RABGGTB",NA,"TASOR","AC027682.6",NA,NA,NA,NA,"VPS33A","SPINK5"
"INTS6",NA,"C19orf48",NA,"TMEM139","ROCK1",NA,NA,NA,NA,"UGT2B4","RPL39"
"CRKL",NA,"MYL4",NA,"AC016027.1","AC007611.1",NA,NA,NA,NA,"VAMP4","ZNF517"
"ARL2BP",NA,"SLC6A11",NA,"AC011632.1","PSKH1",NA,NA,NA,NA,"THEMIS","AMOTL2"
"LETMD1",NA,"CAPS",NA,"POPDC2","VAPA",NA,NA,NA,NA,"AC092142.1","AL604028.1"
"SLC22A7",NA,"LIPJ",NA,"IL18BP","ZNF189",NA,NA,NA,NA,"MAGEA1","MLH3"
"PIGN",NA,"SHANK3",NA,"ING3","GLUL",NA,NA,NA,NA,"DEPTOR","RELA-DT"
"TTLL5",NA,"CMTM6",NA,"NRG4","LINC02068",NA,NA,NA,NA,"P2RY13","PDE4A"
"FAM171B",NA,"SUPT6H",NA,"SLC35A1","NMI",NA,NA,NA,NA,"SFMBT2","UTP23"
"FOXRED2",NA,"AC107223.1",NA,"TAF1A","PIBF1",NA,NA,NA,NA,"ZDHHC12","MFSD14A"
"NPR3",NA,"WDR73",NA,"IFI44","FOXRED2",NA,NA,NA,NA,"ASCC1","GSTCD"
"ARHGAP26",NA,"ECD",NA,"HLA-E","NXF1",NA,NA,NA,NA,"RAB34","GPRC5D-AS1"
"TBC1D20",NA,"HNF1A",NA,"TUBA1A","ZFYVE19",NA,NA,NA,NA,"FGF17","CBL"
"BCAM",NA,"SP2",NA,"PARD6G-AS1","C9orf16",NA,NA,NA,NA,"DCP1A","THAP5"
"XYLB",NA,"CCNG2",NA,"CCL25","ETNK1",NA,NA,NA,NA,"DTNBP1","ENTPD1"
"ALKBH5",NA,"AC100847.1",NA,"UBE3A","CNOT6",NA,NA,NA,NA,"DOCK10","GATA2"
"HELLS",NA,"AC009955.3",NA,"STRN4","COA8",NA,NA,NA,NA,"EZH2","GLB1L2"
"DNAJC16",NA,"GGNBP2",NA,"MAP3K3","HLA-F",NA,NA,NA,NA,"EVA1A","COPG1"
"ZDHHC3",NA,"CDK10",NA,"ZNF576","DCP1A",NA,NA,NA,NA,"LINC00886","SERPINE2"
"SRSF7",NA,"C5orf51",NA,"GPC3","ELAVL1",NA,NA,NA,NA,"NDUFAB1","RNF138"
"MACF1",NA,"SAFB2",NA,"S100A6","PPP4C",NA,NA,NA,NA,"HDHD2","CACNA1H"
"MCHR1",NA,"FABP5",NA,"SULF1","TLR7",NA,NA,NA,NA,"DHX57","RPS9"
"URI1",NA,"SUPT7L",NA,"AL133243.3","PYHIN1",NA,NA,NA,NA,"CLTCL1","RHEX"
"NFYA",NA,"ARID5A",NA,"ZC3H7B","NYNRIN",NA,NA,NA,NA,"SZT2-AS1","RPL41"
"MINDY1",NA,"DYNC2H1",NA,"RESF1","CMAS",NA,NA,NA,NA,"TRPM6","NUDT17"
"KLF13",NA,"ACAD9",NA,"NOL10","TMEM272",NA,NA,NA,NA,"CTNS","CHERP"
"GATAD1",NA,"TARS2",NA,"SYPL2","KCNIP3",NA,NA,NA,NA,"PARL","USP51"
"DIDO1",NA,"RAB11FIP3",NA,"ZDHHC23","ATAD1",NA,NA,NA,NA,"TIPIN","ANKLE2"
"VRK3",NA,"KANK1",NA,"CCDC120","RPP30",NA,NA,NA,NA,"C11orf49","LY9"
"CAMKK2",NA,"METTL7A",NA,"WASF2","AC090617.3",NA,NA,NA,NA,"KRT6C","SSBP2"
"RETREG3",NA,"WASHC2A",NA,"HLA-DPA1","BCL7B",NA,NA,NA,NA,"CENPM","SPDEF"
"SPIRE2",NA,"TEX264",NA,"CHRM3","LDLRAD4",NA,NA,NA,NA,"BTBD19","INPP5B"
"CCL3",NA,"TSPAN9",NA,"IGSF9B","CCDC150",NA,NA,NA,NA,"AC132872.1","RPS11"
"DOCK9-DT",NA,"SPOPL",NA,"P4HA1","TRAPPC8",NA,NA,NA,NA,"AC005021.1","ATRAID"
"KDM3A",NA,"ELL2",NA,"SOSTDC1","GLT8D1",NA,NA,NA,NA,"SKAP1","ELF1"
"TMEM8B",NA,"LUZP1",NA,"OLFM2","SCARA3",NA,NA,NA,NA,"HIP1","LARS"
"BTBD10",NA,"NECAP2",NA,"TLDC2","AC114980.1",NA,NA,NA,NA,"VPS36","RPS14"
"PPP6R2",NA,"DNAJC15",NA,"LSM10","PTPN4",NA,NA,NA,NA,"PTRH1","HMMR"
"CCDC50",NA,"SHMT2",NA,"DCAF5","IGHG3",NA,NA,NA,NA,"DNAJC6","C19orf53"
"UBASH3B",NA,"CHMP5",NA,"CD86","UNC119",NA,NA,NA,NA,"TVP23C","RPS28"
"SZRD1",NA,"CLIC4",NA,"IGHMBP2","XRN1",NA,NA,NA,NA,"OLFM2","ALG2"
"HIF1A",NA,"PCSK9",NA,"STX4","SF3A3",NA,NA,NA,NA,"OLFML2A","TPD52L1"
"CYB5R1",NA,"PSMD7",NA,"USP54","HEXIM1",NA,NA,NA,NA,"USPL1","ZNF625"
"DIO2",NA,"POLR2B",NA,"AL355353.1","DPYS",NA,NA,NA,NA,"PRR14L","IRF2BP1"
"UBFD1",NA,"ADCY6-DT",NA,"FANCG","MT1E",NA,NA,NA,NA,"CCDC153","SUV39H1"
"GGT7",NA,"MRPL22",NA,"INPP5B","SRSF9",NA,NA,NA,NA,"SYT7","RAB11FIP2"
"SNRPN",NA,"NORAD",NA,"CYB5R2","ATF5",NA,NA,NA,NA,"CUL5","PYURF"
"NUDT3",NA,"RBMX2",NA,"AL035458.2","CNN2",NA,NA,NA,NA,"INPP5K","ATG7"
"SLC25A21",NA,"ZHX2",NA,"SH2D3C","AL159169.2",NA,NA,NA,NA,"IFT81","AC005537.1"
"NR1H3",NA,"GPBP1L1",NA,"TTC9C","CNOT8",NA,NA,NA,NA,"SLC10A1","LRBA"
"FLII",NA,"C12orf81",NA,"AGER","SH3GL1",NA,NA,NA,NA,"SLC25A48","COL9A2"
"SNX4",NA,"SLC29A4",NA,"CMTR2","C2orf68",NA,NA,NA,NA,"AZGP1","UGT1A8"
"DANT2",NA,"ASH1L",NA,"AC027271.1","ZC3H14",NA,NA,NA,NA,"DONSON","STIM2-AS1"
"FBLIM1",NA,"HS1BP3",NA,"ZBTB18","SNX27",NA,NA,NA,NA,"KLHL8","AC009061.2"
"SNX1",NA,"UBE2G2",NA,"MSTN","NCOA5",NA,NA,NA,NA,"ARHGAP21","SHLD3"
"NEU3",NA,"KLHL18",NA,"NUDT6","ILF3-DT",NA,NA,NA,NA,"PJA1","NCK2"
"ZNF426",NA,"RNF13",NA,"ZIC5","ECHDC3",NA,NA,NA,NA,"BAD","UBE2S"
"UBAP1",NA,"AIP",NA,"TANGO6","TGFBRAP1",NA,NA,NA,NA,"FKBP5","LPIN1"
"RCL1",NA,"FAF2",NA,"GSDMA","AL121987.1",NA,NA,NA,NA,"SRXN1","LAMA3"
"AKAP13",NA,"UBL3",NA,"BRPF1","AIFM2",NA,NA,NA,NA,"BTN3A1","ZDHHC12"
"FAXDC2",NA,"TMF1",NA,"SHFL","GNL2",NA,NA,NA,NA,"AC012615.2","OSBPL1A"
"OBSL1",NA,"NAGLU",NA,"KLC2","PATJ",NA,NA,NA,NA,"N6AMT1","MCRS1"
"FBXO34",NA,"TERF1",NA,"LINC00880","CEBPZOS",NA,NA,NA,NA,"ATP5MF","LGALS3BP"
"ENO3",NA,"TDRD7",NA,"TAB3","COX19",NA,NA,NA,NA,"CASS4","GRK4"
"TOR2A",NA,"MFSD13A",NA,"TYMP","FIGN",NA,NA,NA,NA,"MREG","LINC02591"
