"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12"
"GJA5","PRDM6","GPR137B","AL158071.5","FCER1G","LINC00342","SINHCAF","AC022364.1","LINC02482","ZNF85","ODAM","ZBED3-AS1"
"ECM1","PITX1","CEP170","AL133477.2","APOA2","CHST10","AC025423.4","DRC7","B3GALT4","AC003102.1","RASSF6","PPP2R2B"
"GABPB2","PCDHGA2","AKT3","GBGT1","FCGR3A","AC093894.2","AC024941.2","AL513190.1","ZNF816","AC092368.3","AREG","TIGD6"
"DCST2","ARL10","CMPK2","ANO9","FCGR2B","CCDC138","MYBPC1","AL034374.1","MIR600HG","MZF1-AS1","ANTXR2","AL121944.1"
"EFNA3","PRR7","E2F6","KRTAP5-10","OLFML2B","ZC3H8","CCDC154","ZNF426-DT","CARD8-AS1","GPR176","GPAT3","OR2I1P"
"ETV3","AC106795.2","TTC32","ALG1L9P","DDR2","RABL2A","AC006111.1","C5orf66","TRIM2","LRRC37A3","AC019131.2","KCNK5"
"KLHDC9","TUBB2B","AC012065.4","P2RY6","RGS5","WDSUB1","APOBR","EPHB2","ZNF354B","ZDHHC11B","SNHG18","SLC25A27"
"PCP4L1","NRN1","CGREF1","ROBO3","RCSD1","PHOSPHO2","CCDC113","PTPDC1","LINC01547","KCNN1","GDNF","C7orf50"
"TOR3A","HIST1H2BN","AC074117.1","LINC00937","GORAB","HAGLR","SYCE1L","AC012306.3","MAN1C1","ZNF575","NNT-AS1","JAZF1-AS1"
"NMNAT2","SAPCD1-AS1","AL133243.2","GLT1D1","PRRX1","LINC01116","RNF227","CLDN11","CD300A","INAFM2","AC112206.2","AC008267.5"
"AC097065.2","AL109615.4","C1GALT1C1L","TEX29","RGS16","TTC30A","EFCAB5","TAS2R14","CLDN9","XRCC3","SLCO4C1","NCAPG2"
"DYRK3","MEP1A","MSH2","AL136295.2","NCF2","OSBPL6","RASL10B","KCNH8","CACNA2D4","DAPK2","AC113410.4","FAM86B1"
"DTL","CYB5R4","FOXN2","AL136295.17","NIBAN1","SESTD1","B4GALNT2","CASC2","PRAME","DCST1-AS1","SMAD5-AS1","CDCA2"
"AC092803.1","AL139274.2","AC015982.2","CCDC198","RGS1","FSIP2","UHRF1","MYL3",NA,"EIF4E3","AC010378.2","AC090150.1"
"GPATCH2","CNR1","ETAA1","BBOF1","PTPRC","WDR75","IQCN","ARL17B",NA,"AP000873.2","HBEGF","SCARA5"
"PCNX2","AL356123.2","RAB11FIP5","TMEM63C","AC096677.1","NABP1","PPP5D1","AP000320.1",NA,"FBXO24","JAKMIP2","RECK"
"DESI2","AC092171.5","DUSP11","BEGAIN","NAV1","KCTD18","ZNF347","C17orf107",NA,"NAALAD2","ARSI","BX664615.2"
"AC010969.2","CCZ1B","SEMA4F","MEG9","CHI3L1","ALS2","AC008969.1","LMX1A",NA,"ZNF300","FLT4","CBWD3"
"AC104794.3","LINC01447","NCAPH","AL118558.3","CHIT1","PARD3B","AC012313.9","SYK",NA,"GPSM2","SCGN","CDK20"
