"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9"
"ATL2","SOX10",NA,NA,NA,NA,"TCOF1","RARRES1",NA
"LRRC8E","GP2",NA,NA,NA,NA,"UNK","CLIC2",NA
"SLC1A2","RPS27",NA,NA,NA,NA,"MORN2","ERP27",NA
"PUM3","PPARGC1A",NA,NA,NA,NA,"C12orf73","SRGAP2B",NA
"IFIT5","P2RX5",NA,NA,NA,NA,"SPIRE2","CUBN",NA
"METAP1","ME3",NA,NA,NA,NA,"FAM234B","AC133644.2",NA
"NVL","PANK1",NA,NA,NA,NA,"C2CD4B","F8",NA
"AL354696.1","ALDH5A1",NA,NA,NA,NA,"AL022311.1","TMEM132A",NA
"FAM153CP","IGKV1-9",NA,NA,NA,NA,"POM121","CASQ2",NA
"DDX20","SLC46A3",NA,NA,NA,NA,"BAALC","FIGNL2",NA
"MRPL19","ABCG8",NA,NA,NA,NA,"GSTT2B","CYP1B1",NA
"SIPA1L3","COL18A1",NA,NA,NA,NA,"TRPM7","GBP5",NA
"PET117","CNTNAP3B",NA,NA,NA,NA,"RHOBTB3","IL2RB",NA
"MSS51","ARHGAP33",NA,NA,NA,NA,"UHRF1BP1","RP2",NA
"ZC3H10","ZNF347",NA,NA,NA,NA,"UGCG","LGI2",NA
"ACOT1","RBBP5",NA,NA,NA,NA,"LINC01909","PABPC4L",NA
"MMP17","IFI27",NA,NA,NA,NA,"RBBP9","AC004492.1",NA
"AC090236.1","TEAD4",NA,NA,NA,NA,"ZNF766","KLHDC7B",NA
"C17orf58","SCP2",NA,NA,NA,NA,"SLC17A2","KCNMB1",NA
"LNP1","AC105942.1",NA,NA,NA,NA,"VTCN1","MFAP4",NA
"CERS2","HSD11B1-AS1",NA,NA,NA,NA,"TMEM154","SPDL1",NA
"SIGLEC14","ITIH2",NA,NA,NA,NA,"TRMT2B","MEIS3",NA
"TECTA","FETUB",NA,NA,NA,NA,"DMGDH","AC079209.1",NA
"CASC9","LINC02352",NA,NA,NA,NA,"THSD7A","AL139351.1",NA
"ZNF169","TYMP",NA,NA,NA,NA,"RRAGD","A4GNT",NA
"LYPD5","AL390957.1",NA,NA,NA,NA,"RETREG1","AL354740.1",NA
"RNF43","AMN",NA,NA,NA,NA,"ZNRF2","AC018755.4",NA
"AC008035.1","B2M",NA,NA,NA,NA,"RCHY1","LINC01239",NA
"POLR2D","AC067852.5",NA,NA,NA,NA,"XRCC4","CYTH4",NA
"RPUSD3","DAB2IP",NA,NA,NA,NA,"MMP3","TRIM32",NA
"PAQR8","CAMK2B",NA,NA,NA,NA,"SPATA6L","NPY1R",NA
"AC079630.1","LTK",NA,NA,NA,NA,"WASHC5","AP001269.4",NA
"ZNF92","CFHR1",NA,NA,NA,NA,"ZIC2","RUNX2",NA
"AC012184.3","FTH1",NA,NA,NA,NA,"RACGAP1","ADAMTS1",NA
"SLC25A15","NINL",NA,NA,NA,NA,"FAM118B","SLAMF7",NA
"HAUS6","OIT3",NA,NA,NA,NA,"NELL2","ZNF35",NA
"TMEM106C","MPO",NA,NA,NA,NA,"TRIM4","GMFG",NA
"RPF2","SERPINE1",NA,NA,NA,NA,"GRTP1","AC048341.1",NA
"PPP1R3C","SAAL1",NA,NA,NA,NA,"EFNA4","ADGRF5",NA
"ASH1L","ATG2B",NA,NA,NA,NA,"ZNF577","DNAJC18",NA
"PPP2R5E","JAG2",NA,NA,NA,NA,"MFSD5","FBXL22",NA
"OR2I1P","NDOR1",NA,NA,NA,NA,"ZBTB14","RECK",NA
"AKR1C4","RPS8",NA,NA,NA,NA,"PAQR4","AC005736.1",NA
"ZNF562","RASGEF1B",NA,NA,NA,NA,"C12orf45","GLDN",NA
"PSMD5","DDX55",NA,NA,NA,NA,"ACAD10","ORAI2",NA
"TIRAP","PRG2",NA,NA,NA,NA,"ABHD17C","ZNF2",NA
"NLRC4","C4BPB",NA,NA,NA,NA,"ACOT12","FAM78A",NA
"SRRD","OVGP1",NA,NA,NA,NA,"SCTR","DHH",NA
"AL078590.2","SEC24B-AS1",NA,NA,NA,NA,"TOX","TCF21",NA
"EPB41L4A","ALDH3A1",NA,NA,NA,NA,"LINC00623","AL161781.2",NA
"RGS14","LINC01488",NA,NA,NA,NA,"POPDC2","CLEC14A",NA
"IL37","TCHP",NA,NA,NA,NA,"GCSAM","ZNF610",NA
"SLC17A1","KIAA1755",NA,NA,NA,NA,"ITGA8","AL136531.1",NA
"LINC02656","LILRA6",NA,NA,NA,NA,"RFX7","MGAT4A",NA
"MB","ACADS",NA,NA,NA,NA,"MLLT11","ZNF616",NA
"SLIT1","AC147651.1",NA,NA,NA,NA,"ZSWIM7","AF196972.1",NA
"LPP-AS2","AC083862.2",NA,NA,NA,NA,"E2F5","CYTIP",NA
"LRATD2","ADGRG6",NA,NA,NA,NA,"AC096564.1","REV3L",NA
"KATNAL2","RPS28",NA,NA,NA,NA,"NLGN2","NDN",NA
"CENPN","NFAT5",NA,NA,NA,NA,"LRRC8B","AC239799.2",NA
"FAM41C","PGRMC1",NA,NA,NA,NA,"ATRN","CCL4",NA
"LRRC37A3","MALAT1",NA,NA,NA,NA,"PSAT1","ARHGDIB",NA
"PSG4","TMEM220-AS1",NA,NA,NA,NA,"CRY1","DOCK8",NA
"RYBP","SULT2A1",NA,NA,NA,NA,"RUVBL1","ART4",NA
"LINC02696","DBT",NA,NA,NA,NA,"BET1","TMEM231",NA
"UBE2C","TMEM176A",NA,NA,NA,NA,"C2CD2L","KLF2",NA
"LONRF3","ACTG1",NA,NA,NA,NA,"MAP2K7","AL023806.1",NA
"UBIAD1","RFLNB",NA,NA,NA,NA,"VLDLR","NECAB1",NA
"TPPP2","TIGD2",NA,NA,NA,NA,"PKNOX1","SIRPB2",NA
"ZNF749","TMEM106A",NA,NA,NA,NA,"LIPT1","CENPQ",NA
"ETFRF1","GPRC5C",NA,NA,NA,NA,"RNFT1-DT","EPHA3",NA
"SLC7A6OS","RPS20",NA,NA,NA,NA,"SMARCAL1","EFEMP1",NA
"TPD52L1","PCDH20",NA,NA,NA,NA,"FAM200A","AL592148.3",NA
"TCP10L","AP000525.1",NA,NA,NA,NA,"TBL2","CALCRL",NA
"RALGAPA1","PLCXD2",NA,NA,NA,NA,"AC026765.3","PGM5P4-AS1",NA
"PLCG1-AS1","AC008969.1",NA,NA,NA,NA,"PFDN4","GEM",NA
"NEDD4","RPL39",NA,NA,NA,NA,"CNTNAP2","EMSY",NA
"ATP6V1D","MKLN1-AS",NA,NA,NA,NA,"FZD3","ZNF532",NA
"SCIMP","IL32",NA,NA,NA,NA,"FCER2","DNAAF1",NA
"AC068473.5","HPSE",NA,NA,NA,NA,"POLG2","KIF9-AS1",NA
"ITPKA","SLC51A",NA,NA,NA,NA,"NIPSNAP2","CLEC3B",NA
"FIP1L1","ADGRA3",NA,NA,NA,NA,"UBFD1","FANCB",NA
"RPE","GLTPD2",NA,NA,NA,NA,"JSRP1","LXN",NA
"SAP30","AC009407.1",NA,NA,NA,NA,"KIF7","CRISPLD2",NA
"SREBF1","PUF60",NA,NA,NA,NA,"GPN2","FAM24B",NA
"SSUH2","SLC38A2",NA,NA,NA,NA,"UCHL5","PDCD4-AS1",NA
"DGUOK-AS1","BAIAP2-DT",NA,NA,NA,NA,"TAMM41","FOXC1",NA
"KIF3C","CXXC5",NA,NA,NA,NA,"TTC28-AS1","NYNRIN",NA
"MED11","GHR",NA,NA,NA,NA,"DLX2","PDGFRA",NA
"FNIP1","PRKCZ",NA,NA,NA,NA,"SELENOI","ZBTB7C",NA
"AC073641.1","AC015917.2",NA,NA,NA,NA,"TTC4","SCAMP5",NA
"AMIGO3","LINC01547",NA,NA,NA,NA,"LINC00861","TRIM17",NA
"SLC25A44","PARD6G-AS1",NA,NA,NA,NA,"HIF3A","PLCXD1",NA
"CCL3L1","NOTCH4",NA,NA,NA,NA,"RTP3","IL4I1",NA
"EXOSC1","SMAD5-AS1",NA,NA,NA,NA,"HAS2","AL360013.3",NA
"STX1B","RPS12",NA,NA,NA,NA,"TP53RK","ROR2",NA
"NR1D1","VIPR1",NA,NA,NA,NA,"GREB1","PLCL1",NA
"CYP1A1","IPPK",NA,NA,NA,NA,"SEC24C","CTHRC1",NA
"KIF2C","SLPI",NA,NA,NA,NA,"KLHL5","NTRK2",NA
"HES6","PNOC",NA,NA,NA,NA,"ZNF836","ZNF57",NA
"SDCCAG8","ZNF554",NA,NA,NA,NA,"PPID","DNM3",NA
"PPP4R4","SLC25A42",NA,NA,NA,NA,"ELL3","HEY2",NA
"KLHL42","DUSP12",NA,NA,NA,NA,"THAP2","TSPOAP1",NA
"WDR92","CYP2C18",NA,NA,NA,NA,"GPATCH3","RELL1",NA
"ISG20L2","AC007535.1",NA,NA,NA,NA,"NEURL1B","INTS6L",NA
"MCHR1","PCYT2",NA,NA,NA,NA,"PACC1","DACT2",NA
"IL6R","PIGV",NA,NA,NA,NA,"C1orf226","CD19",NA
"PRR11","SFXN2",NA,NA,NA,NA,"YBX2","CDYL2",NA
"AC020558.1","FIGNL1",NA,NA,NA,NA,"GINS1","F13A1",NA
"LCLAT1","FCER2",NA,NA,NA,NA,"HLA-DQA2","LIMS1",NA
"GSE1","TWIST2",NA,NA,NA,NA,"ZNF552","TRAF3",NA
"CCL20","C7",NA,NA,NA,NA,"DLGAP1-AS1","ID4",NA
"TBC1D32","ZNF692",NA,NA,NA,NA,"HCG18","AC009902.3",NA
"SLAIN2","AKAP7",NA,NA,NA,NA,"GDAP2","UAP1L1",NA
"AP005329.3","SLC1A7",NA,NA,NA,NA,"ERVK13-1","U62317.4",NA
"PLEKHF2","HBA2",NA,NA,NA,NA,"FAM13A-AS1","CALHM6",NA
"AKR7A3","CTSB",NA,NA,NA,NA,"PDS5A","PCSK1",NA
"NRAS","LINC02289",NA,NA,NA,NA,"MEX3A","NKX3-1",NA
"TGDS","DMRTA1",NA,NA,NA,NA,"LINC01719","RGS1",NA
"MFSD13A","GAS6-AS1",NA,NA,NA,NA,"SOX9","CASQ1",NA
"PDSS2","RPRD1B",NA,NA,NA,NA,"ZNF793","AC018926.1",NA
"CX3CL1","ITGAD",NA,NA,NA,NA,"CLP1","RHOH",NA
"TUBA8","GATA4",NA,NA,NA,NA,"ATAD1","DAPP1",NA
"SNX14","KANTR",NA,NA,NA,NA,"DISC1","CPNE2",NA
"DDIAS","SPATA20",NA,NA,NA,NA,"ARRDC5","JRKL",NA
"NAALAD2","MZB1",NA,NA,NA,NA,"AL354872.2","HSPA2",NA
"DPH2","GRHPR",NA,NA,NA,NA,"GLI3","AL139124.1",NA
"DEPDC4","ZNF846",NA,NA,NA,NA,"ZNF12","VPS11",NA
"AC244100.4","SOD2",NA,NA,NA,NA,"MAIP1","SFI1",NA
"PCDH7","OFD1",NA,NA,NA,NA,"FAM53C","EML1",NA
"TARS","ACAA1",NA,NA,NA,NA,"RUBCNL","WNT9B",NA
"AC107905.1","EHHADH",NA,NA,NA,NA,"RBM45","TRGC2",NA
"LINC00535","MASP2",NA,NA,NA,NA,"MRPS36","GCNT1",NA
"AC009403.1","OGDHL",NA,NA,NA,NA,"MTOR","CABLES2",NA
"GTF2B","NBPF11",NA,NA,NA,NA,"CDKN3","BEX3",NA
"ENOPH1","TMSB10",NA,NA,NA,NA,"JAM3","QSER1",NA
"POT1","LINC01426",NA,NA,NA,NA,"PAK4","PASK",NA
"ZNF718","TUSC8",NA,NA,NA,NA,"SKA1","ADAMTS9-AS1",NA
"ZNF385D","FAM167B",NA,NA,NA,NA,"FOXA1","NR2F1",NA
"NET1","PJVK",NA,NA,NA,NA,"MYCL","TUBB8",NA
"MFSD4A","ALDH1L1",NA,NA,NA,NA,"DOP1B","SLC15A2",NA
"MTHFSD","ZNF155",NA,NA,NA,NA,"TDRD3","ROCR",NA
"SDE2","MBL2",NA,NA,NA,NA,"TLR3","MMP24",NA
"MND1","AC005280.2",NA,NA,NA,NA,"GREM2","AC022167.4",NA
"ZNF460","NUDT12",NA,NA,NA,NA,"PIGC","FOXP3",NA
"FBLN7","PC",NA,NA,NA,NA,"NMI","LCMT2",NA
"TRIM65","ACTB",NA,NA,NA,NA,"BAG2","CAPN10-DT",NA
"PSPN","GIPR",NA,NA,NA,NA,"DOC2B","C8orf88",NA
"L3MBTL1","AC009065.4",NA,NA,NA,NA,"PPP2R2A","AP000692.2",NA
"ZNRF3","CBFA2T3",NA,NA,NA,NA,"ZC3H12D","RWDD4",NA
"LINC02499","ACADVL",NA,NA,NA,NA,"EIPR1","SCD5",NA
"AC025159.1","RPL37A",NA,NA,NA,NA,"RRAGB","AC010186.3",NA
"NOP16","VASH1-AS1",NA,NA,NA,NA,"TSC22D2","CYBRD1",NA
"LIG4","NTN5",NA,NA,NA,NA,"HSPA4L","PRRX1",NA
"RAB11B-AS1","LPAR5",NA,NA,NA,NA,"EP400","KLHL35",NA
"CCL28","LYRM9",NA,NA,NA,NA,"TOGARAM1","ATG4C",NA
"AL590062.1","KCNIP3",NA,NA,NA,NA,"SPATA2","SLA",NA
"PCP4","SMIM24",NA,NA,NA,NA,"FKBPL","ZAR1L",NA
"SYNJ2","ADAMTSL2",NA,NA,NA,NA,"ARMCX1","GPR55",NA
"WWC2","SDK1",NA,NA,NA,NA,"TULP3","CAB39L",NA
"MCTP1","OSGIN1",NA,NA,NA,NA,"TRIM71","AL136038.5",NA
"BTBD11","POR",NA,NA,NA,NA,"AC005562.1","SNAI1",NA
"AL157762.1","ABCC6",NA,NA,NA,NA,"N4BP3","STMN3",NA
"NDUFA6-DT","RPL19",NA,NA,NA,NA,"BICRAL","WTIP",NA
"COQ2","BCKDK",NA,NA,NA,NA,"LSM6","PDE3A",NA
"AL359704.3","C1QA",NA,NA,NA,NA,"KLHDC1","C16orf74",NA
"WDR72","TXNDC16",NA,NA,NA,NA,"CXorf40A","RFX3",NA
"ANO7","GSTZ1",NA,NA,NA,NA,"KIF21B","ZNF154",NA
"AC027307.2","ABHD14B",NA,NA,NA,NA,"KBTBD11","CCDC187",NA
"TP73","CEPT1",NA,NA,NA,NA,"AC004148.1","CREBRF",NA
"LINC01235","LPGAT1",NA,NA,NA,NA,"CELSR2","SRGAP2C",NA
"CWF19L1","LDHD",NA,NA,NA,NA,"LIMD1","AC016588.2",NA
"TBC1D7","SGSM2",NA,NA,NA,NA,"SNX25","HPGDS",NA
"CYP4X1","AIG1",NA,NA,NA,NA,"NUTF2","TGFB3",NA
"BAIAP3","TTPAL",NA,NA,NA,NA,"CIART","EDIL3",NA
"AC092803.1","LINC00844",NA,NA,NA,NA,"ASRGL1","MAP9",NA
"COG6","LINC00924",NA,NA,NA,NA,"SLC1A2","RALGPS1",NA
"AC005856.1","TMEM45A",NA,NA,NA,NA,"ZFP62","AP005131.7",NA
"LRRC24","KLHL6",NA,NA,NA,NA,"XIAP","STIL",NA
"LINC01715","PHYH",NA,NA,NA,NA,"AC083841.1","DAB1",NA
"LINC00574","ZNF14",NA,NA,NA,NA,"HVCN1","LDHB",NA
"CRYBG3","ABLIM3",NA,NA,NA,NA,"TSHZ3","ITM2A",NA
"CYB561D1","CD14",NA,NA,NA,NA,"ZNF775","LRRC4B",NA
"GSR","TEDC1",NA,NA,NA,NA,"CLDN11","LINC01285",NA
"PDX1","ZNF467",NA,NA,NA,NA,"PLA2G4B","LRRN1",NA
"AGO1","STARD10",NA,NA,NA,NA,"BUB1B","LOXL2",NA
"CADPS2","FYB2",NA,NA,NA,NA,"LINC00921","KCNMB4",NA
"SMIM20","CDC37L1",NA,NA,NA,NA,"NPM3","NAA40",NA
"GAS2","SCAF11",NA,NA,NA,NA,"LYPD2","CEACAM4",NA
"AC018521.2","SPIN4",NA,NA,NA,NA,"GAB2","VIM",NA
"SCAP","AC009159.3",NA,NA,NA,NA,"IMPA1","ANO8",NA
"TSSK6","FSD1",NA,NA,NA,NA,"TOMM70","SOS1",NA
"NPAS2","SCO2",NA,NA,NA,NA,"FGFR1OP2","PPP1R12B",NA
"SETD4","RPS2",NA,NA,NA,NA,"COX10","RNF24",NA
"FOXF1","AL604028.1",NA,NA,NA,NA,"CCSER2","FPR1",NA
"ABI2","TFE3",NA,NA,NA,NA,"CHMP1B","STIM2",NA
"SMIM13","JCHAIN",NA,NA,NA,NA,"TROAP","HMGA1P4",NA
"TMEM101","AC025159.1",NA,NA,NA,NA,"CBY1","ZBP1",NA
"UCHL3","IGHM",NA,NA,NA,NA,"CARD19","TRIP10",NA
"ENPP3","ZNF84",NA,NA,NA,NA,"METTL18","AC005944.1",NA
"CPQ","RING1",NA,NA,NA,NA,"TOX3","AC110620.2",NA
"CC2D2A","EYA2",NA,NA,NA,NA,"LOXL4","NBPF10",NA
"ERVK9-11","SPINK1",NA,NA,NA,NA,"PRDM16-DT","AL139130.1",NA
"LRP4-AS1","CFAP44",NA,NA,NA,NA,"UNKL","AP001347.1",NA
"PIGL","C19orf47",NA,NA,NA,NA,"UBD","ZNF215",NA
"AC022034.3","PSEN1",NA,NA,NA,NA,"VRK1","LINC01355",NA
"TUBE1","CYP20A1",NA,NA,NA,NA,"ACBD5","RCSD1",NA
"AC107959.1","SLC39A14",NA,NA,NA,NA,"YEATS2","C1orf54",NA
"MEGF8","ZBTB16",NA,NA,NA,NA,"NBPF14","CMPK2",NA
"CCNT1","WDR13",NA,NA,NA,NA,"CDKN2AIPNL","AC004771.1",NA
"BRICD5","IFI6",NA,NA,NA,NA,"ZFHX4","AC026748.3",NA
"DDC","AC010889.1",NA,NA,NA,NA,"XPO5","REL",NA
"PPT2","CABIN1",NA,NA,NA,NA,"PLOD2","FABP4",NA
"POGK","GNPDA2",NA,NA,NA,NA,"LINC02015","ARHGAP9",NA
"ENDOD1","ZBTB43",NA,NA,NA,NA,"CDK20","TMEM71",NA
"CASD1","CNTN4",NA,NA,NA,NA,"EXOC3-AS1","AC005476.2",NA
"AC027682.6","AL161729.4",NA,NA,NA,NA,"IGFN1","CHN1",NA
"PRR34-AS1","CFI",NA,NA,NA,NA,"CRYBG3","HOXB-AS1",NA
"GGH","ZMYND12",NA,NA,NA,NA,"OCRL","SLC4A8",NA
"MAK16","ACAA2",NA,NA,NA,NA,"MAP3K20","NEFL",NA
"SYPL2","AC048382.5",NA,NA,NA,NA,"MEGF9","P2RX7",NA
"NFE2L3","ABCA10",NA,NA,NA,NA,"CNFN","DNAH7",NA
"MYOT","BDKRB2",NA,NA,NA,NA,"PTPRG","ARHGEF1",NA
"IL13RA2","FCGRT",NA,NA,NA,NA,"TMEM131L","MYOF",NA
"APOBEC3B","ZNF830",NA,NA,NA,NA,"DLGAP5","SOD3",NA
"RBM18","MOGAT3",NA,NA,NA,NA,"WNK2","AP002807.1",NA
"MRPL49","P2RX1",NA,NA,NA,NA,"GLTP","COLCA1",NA
"TLN2","NEU4",NA,NA,NA,NA,"ZNF785","LZTS1",NA
"AL121768.1","TAGAP",NA,NA,NA,NA,"SPRTN","ACTN1-AS1",NA
"ANTXR1","RPLP2",NA,NA,NA,NA,"EPN2","MAPK11",NA
"PSMG3-AS1","STAT2",NA,NA,NA,NA,"HOXB2","TNFSF13",NA
"STARD4","GXYLT1",NA,NA,NA,NA,"RNF14","AL139020.1",NA
"TMEM156","AL121601.1",NA,NA,NA,NA,"TRPV1","RASSF2",NA
"C12orf60","LPCAT3",NA,NA,NA,NA,"AC012146.1","PLAC8",NA
"DESI2","MIF",NA,NA,NA,NA,"MFAP3L","SGCD",NA
"PRPF4","AC132217.1",NA,NA,NA,NA,"TET3","CCL22",NA
"AC025165.4","EIF4ENIF1",NA,NA,NA,NA,"B9D1","PRSS23",NA
"ALG8","MYO15B",NA,NA,NA,NA,"CDC27","SLX4",NA
"EFCAB2","KCTD9",NA,NA,NA,NA,"THAP1","PDLIM3",NA
"GLIPR1","GIPC2",NA,NA,NA,NA,"ZNRF1","AC080013.4",NA
"CCAR1","SIL1",NA,NA,NA,NA,"EIF4G3","GNA15",NA
"COQ3","ETFB",NA,NA,NA,NA,"BSDC1","FMNL3",NA
"AIFM1","DENND1A",NA,NA,NA,NA,"ZNF664","HIST1H2BE",NA
"AC008393.1","ZDHHC2",NA,NA,NA,NA,"CEP250","ZNF831",NA
"RAP2C","IFITM10",NA,NA,NA,NA,"SPTSSA","MIR200CHG",NA
"MAFG","MEG3",NA,NA,NA,NA,"AMER1","ACTA2-AS1",NA
"SLC28A1","AP001330.4",NA,NA,NA,NA,"PRX","DENND1C",NA
"C12orf29","AC022167.2",NA,NA,NA,NA,"ACVR2B","POLR2M",NA
"ACAD9","MOSPD1",NA,NA,NA,NA,"FAM120C","METRNL",NA
"ZFP69","DCBLD1",NA,NA,NA,NA,"COQ7","PNMA3",NA
"AC254562.2","XAF1",NA,NA,NA,NA,"KNSTRN","SMIM25",NA
"ATAD2","NPTXR",NA,NA,NA,NA,"VCPKMT","ALKBH6",NA
"MEI1","SORL1",NA,NA,NA,NA,"FCRL1","SPI1",NA
"TMEM191C","ZC3H6",NA,NA,NA,NA,"RIOK2","IFIT3",NA
"ERCC6L2","BX664727.3",NA,NA,NA,NA,"ERGIC2","KCNK17",NA
"CCDC152","BST2",NA,NA,NA,NA,"ZNF213-AS1","CYYR1",NA
"ZNF525","AC021054.1",NA,NA,NA,NA,"LMTK2","FBXL2",NA
"KIFC2","ASGR1",NA,NA,NA,NA,"SLCO1B3","GPALPP1",NA
"TONSL","B4GALT1-AS1",NA,NA,NA,NA,"ZNF721","FSTL1",NA
"OSGEP","GPT",NA,NA,NA,NA,"CEBPZ","SH3BGRL",NA
"NACAD","VNN1",NA,NA,NA,NA,"KYNU","GZMA",NA
"MFSD4B","YPEL1",NA,NA,NA,NA,"ZFAT","CCRL2",NA
"UBE3C","MUC5B",NA,NA,NA,NA,"RNF215","ZNF213",NA
"TACC2","PHTF1",NA,NA,NA,NA,"POLDIP3","AC007877.1",NA
"AC067838.1","SLC27A3",NA,NA,NA,NA,"LIN7C","IGFBPL1",NA
"GATC","CACNA2D3",NA,NA,NA,NA,"XRN1","NMUR1",NA
"KCNC3","CENPJ",NA,NA,NA,NA,"GART","CRLF1",NA
"AC008280.3","ZNF418",NA,NA,NA,NA,"PRKAA2","MRC2",NA
"AL031985.3","ISYNA1",NA,NA,NA,NA,"TM7SF3","CTSC",NA
"TM7SF3","AC083843.3",NA,NA,NA,NA,"HHIPL1","MIR29B2CHG",NA
"MME","AKAP17A",NA,NA,NA,NA,"C7orf25","DENND1B",NA
"NAE1","DNAJC24",NA,NA,NA,NA,"NUDCD1","AC087500.1",NA
"RAB23","HTR2B",NA,NA,NA,NA,"BBS10","CILP2",NA
"PALD1","MIR122HG",NA,NA,NA,NA,"XYLT2","OGFRL1",NA
"UGT2B4","HNF1A-AS1",NA,NA,NA,NA,"COQ6","TCTEX1D2",NA
"AC016682.1","DNAJC27-AS1",NA,NA,NA,NA,"NPRL3","WFDC1",NA
"CRYBB3","SERPINF1",NA,NA,NA,NA,"ZSCAN9","CASP1",NA
"MYNN","SLC25A34",NA,NA,NA,NA,"CDCP1","IDO2",NA
"SMYD2","TRAPPC12",NA,NA,NA,NA,"OLFM2","KCNJ2",NA
"LINC01545","LIME1",NA,NA,NA,NA,"VAPB","TIFAB",NA
"APPBP2","RPL32",NA,NA,NA,NA,"IBA57","ALKAL2",NA
"TMEM104","C2orf42",NA,NA,NA,NA,"TMEM177","MAGEH1",NA
"AC104667.2","SERF2",NA,NA,NA,NA,"VSNL1","TTC25",NA
"CPLANE2","NDUFA13",NA,NA,NA,NA,"NUDT2","IL12RB1",NA
"TTC22","TMEM200B",NA,NA,NA,NA,"SH3D21","ZNF835",NA
"TRIM24","PTCD2",NA,NA,NA,NA,"OTUD1","IGHGP",NA
"DAXX","AC114980.1",NA,NA,NA,NA,"UBR4","SGIP1",NA
"ARHGAP12","RGL3",NA,NA,NA,NA,"MMACHC","LARP6",NA
"DLAT","ZNF236",NA,NA,NA,NA,"ZNF512B","FAM215B",NA
"KCNAB1","PRSS16",NA,NA,NA,NA,"GFOD1","ADPRH",NA
"AL451165.2","TENM1",NA,NA,NA,NA,"ATP10B","SOX17",NA
"TPD52","AL121839.2",NA,NA,NA,NA,"GEMIN4","ADAMTS14",NA
"ADAMTS17","ZNF398",NA,NA,NA,NA,"ZNF697","FAM71F2",NA
"RTL3","PLCH2",NA,NA,NA,NA,"VAV1","MBOAT1",NA
"TBC1D30","HAO1",NA,NA,NA,NA,"NDRG3","EFHD1",NA
"C5orf51","RAB17",NA,NA,NA,NA,"CPN1","ZNF223",NA
"AC005332.6","TPST1",NA,NA,NA,NA,"TOP2A","PHF21A",NA
"KIAA0040","PDGFRL",NA,NA,NA,NA,"ADCY6","TRAM2",NA
"KCNQ4","ARHGEF10L",NA,NA,NA,NA,"MRPL45","ANK2",NA
"GALK2","NSUN6",NA,NA,NA,NA,"DSG1","B9D2",NA
"MBTD1","EID2B",NA,NA,NA,NA,"KIAA2026","CXCL3",NA
"ZFPL1","CHRD",NA,NA,NA,NA,"TWF1","SLC16A5",NA
"NEK4","ZBTB39",NA,NA,NA,NA,"BORCS5","MAML2",NA
"ARID3B","RNGTT",NA,NA,NA,NA,"NSDHL","ADD3",NA
"AP002387.2","SLC16A11",NA,NA,NA,NA,"ZBTB40","KLRB1",NA
"PITX1","MCM8",NA,NA,NA,NA,"RTN4R","SP4",NA
"KDM4A","KAT8",NA,NA,NA,NA,"RAB40B","GAL3ST4",NA
"ELK4","RPL37",NA,NA,NA,NA,"UEVLD","ARHGAP25",NA
"NIF3L1","CCDC61",NA,NA,NA,NA,"SLC30A7","TCF4",NA
"SWSAP1","LEAP2",NA,NA,NA,NA,"OPA3","PTGS2",NA
"XPR1","C21orf91",NA,NA,NA,NA,"INHBC","SLCO1C1",NA
"SLX4IP","CIB2",NA,NA,NA,NA,"ZNF845","SIX4",NA
"TRAF3IP1","MYL6",NA,NA,NA,NA,"ENPP1","CDR2L",NA
"MAGOHB","HSD11B1L",NA,NA,NA,NA,"C2orf74","CMTM3",NA
"RFX8","NDRG4",NA,NA,NA,NA,"STYX","SEMA5A",NA
"PSMD11","TAB3",NA,NA,NA,NA,"THOC1","ZNF585A",NA
"TENT5C","ACSS2",NA,NA,NA,NA,"TBCE","LINC00565",NA
"C9orf40","METTL14",NA,NA,NA,NA,"CRLF3","C12orf65",NA
"ZNF883","MGA",NA,NA,NA,NA,"PET117","GRAP2",NA
"MFAP1","LINC02532",NA,NA,NA,NA,"HCCS","ZGLP1",NA
"KCTD18","AL596442.2",NA,NA,NA,NA,"LTB4R","AC112220.2",NA
"CENPL","C1QB",NA,NA,NA,NA,"LUZP1","DLL4",NA
"CAP2","TMEM253",NA,NA,NA,NA,"HSPA1B","MECOM",NA
"SLC52A3","GGCX",NA,NA,NA,NA,"CLEC16A","LINC01060",NA
"TPSG1","DNAJC11",NA,NA,NA,NA,"RTN2","ZNF595",NA
"KIDINS220","GLYAT",NA,NA,NA,NA,"KDM5A","SERPINH1",NA
"LEMD3","SLC25A1",NA,NA,NA,NA,"SRCIN1","NUMBL",NA
"FO704657.1","SOAT2",NA,NA,NA,NA,"UBAC2-AS1","AC012306.2",NA
"DEAF1","DNAJB13",NA,NA,NA,NA,"NF1","PTGS1",NA
"PDCD7","ALKBH1",NA,NA,NA,NA,"TPBG","SIT1",NA
"TYSND1","FAM20A",NA,NA,NA,NA,"SNN","ELK3",NA
"UNC5A","SLC5A9",NA,NA,NA,NA,"FBXO30","AP001527.2",NA
"AL359091.5","EXTL3",NA,NA,NA,NA,"RINT1","VCAN",NA
"UNG","ENTPD8",NA,NA,NA,NA,"TTC9","KLHL15",NA
"COL17A1","LAMP2",NA,NA,NA,NA,"PIGZ","HDAC2-AS2",NA
