"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12","Pattern_13","Pattern_14","Pattern_15","Pattern_16","Pattern_17","Pattern_18","Pattern_19","Pattern_20","Pattern_21","Pattern_22","Pattern_23","Pattern_24","Pattern_25"
"LRRC8B","SNIP1","DHDDS","AL358472.3","LINC01355","KIAA0319L","PARS2","ZNF644","MTF1","KIAA1522","PTP4A2","AK9","GTF2H2C","AC092329.4","SPINDOC","C6orf47-AS1","TRIM6","MSR1","ZNF485","UCP3","CEP152","POLH","ERMAP","ADGRL4","S100PBP"
"ALG14","GNL2","TINAGL1","SLAMF1","ASAP3","ZC3H12A","OMA1","MTF2","INPP5B","ZNF362","KPNA6","KPNA5","AC146944.4","ZNF417","AP002381.2","TEAD3","SLCO1B7","EDRF1-DT","HK1","AC084018.2","ZNF500","AL356599.1","TMEM69","SPATA1","ZMYM1"
"STXBP3","AL603839.3","KPNA6","CD48","RSRP1","SZT2","AC099791.2","BCAR3","MFSD2A","ZMYM4","FNDC5","STXBP5-AS1","AL136162.1","AL035252.3","PDGFD","MAPK13","AVIL","AP003307.1","FAR1","RB1","AC090617.3","AL158206.1","CYP4X1","ABCA4","ZNF684"
"AL356488.3","PPIH","FNDC5","KLHDC9","RHCE","DPH2","LINC01702","AC095033.1","ERMAP","SNIP1","LINC01137","TAGAP","TRIM31","ALPK1","TREH","FIG4","AK7","NEMP1","NRXN2","AL162377.1","TBC1D3L","AL592211.2","FAF1","AC105942.1","ZMYND12"
"CEPT1","C1orf50","ZNF362","RCSD1","MAN1C1","FAF1","ZRANB2","DDX20","EIF2B3","ZNF684","C1orf109","DNAH11","HCG17","ZNF720","TMEM132B","DDO","UBL7-AS1","CIT","LIPT2","AC009065.1","RAPGEFL1","CCDC73","HHLA3","RWDD3","KDM4A"
"AL355816.2","ZNF691","LINC01137","BX284613.2","PDIK1L","EPS15","AC118549.1","CASQ2","HECTD3","SVBP","SLC2A1","STEAP4","STX11","CDC6","LRCH1","FAM184A","TBX2-AS1","RASA3","USP2-AS1","CCL22","LIN7B","LIPT2","ADGRL2","DENND2D","BTBD19"
"SLC16A1","SLC6A9","MANEAL","PIGC","RPS6KA1","LDLRAD1","AGL","BCL9","CCDC163","TIE1","EIF2B3","ANK1","HDAC9","ZNF484","AL359880.1","GJA1","MED26","AL132780.2","CDCA3","SLC7A6","SIGLEC8","RAD51AP1","RBMXL1","OVGP1","FOXD2"
"PHGDH","MUTYH","YRDC","SUCO","SYTL1","HOOK1","AMY2B","MTMR11","PIK3R3","SZT2","ZFYVE9","PKIA","DUS4L","SOGA1","AL110505.1","AC007029.1","AC008079.1","AL135999.1","SUCLA2-AS1","VMO1","ZNF432","FAM222A","EPS8L3","GDAP2","USP1"
"NOTCH2","MMACHC","NDUFS5","RASSF5","FAM76A","MIER1","HENMT1","S100A13","MROH7","KDM4A","TUT4","FZD6","CBWD6","ZBTB26","GPR65","TPST1","MIR222HG","HEATR4","AC018362.1","SMAD7","SAMSN1","AL138955.1","DENND2C","WARS2","ALG6"
"LINC00623","CDKN2C","MYCL","PROX1-AS1","THEMIS2","LINC01702","CELSR2","AL451085.2","OMA1","ARMH1","PARS2","RHPN1","PTPDC1","ACSBG1","ALDH1A3","ELN","FHL1","C15orf41","BICDL2","AC139100.2","LINC00528","AL118558.4","BOLA1","POLR3C","LEPR"
"HIST2H2AA4","TCEANC2","SVBP","PTPN14","RPA2","CTH","STRIP1","AL353807.5","LINC02777","NSUN4","USP24","AC105219.1","ZNF487","TREH","OTOA","PHTF2","ASAP1","TTBK2","AC026401.3","IL4I1","ZNF674-AS1","SEMA6D","AC244033.2","HIST2H2AA3","CTH"
"OTUD7B","CYB5RL","MMACHC","RNF144A","RCC1","USP33","SLC16A4","GON4L","PATJ","MOB3C","DOCK7","LRRC24","MYOF","ZNF846","AC009119.2","PDE7A","FOXO4","SNHG21","CCL3L1","AC002059.1","SPN","AC018926.3","ANP32E","MTMR11","AL359762.1"
"CIART","CACHD1","FPGT","ODC1-DT","SNHG12","BCL10","CD53","CD84","ATG4C","HOOK1","LRRC40","RFX3","TSPAN18","SCAMP1-AS1","AC087292.1","TNFSF15","MIR155HG","ZNF774","ZNF737","SYN3","BEX3","NPIPB13","AL162258.2","SETDB1","C1orf52"
"SEMA6C","DNAJC6","AC099063.4","FAM49A","GMEB1","HS2ST1","DENND2D","MPZ","DEPDC1","PATJ","FPGT","B3GNT10","AP001462.1","RASAL2-AS1","AC005726.1","AL513303.1","UIMC1","PAQR4","C5AR1","IL3RA","LIG4","TBC1D3L","CRTC2","C1orf56","ZNF326"
"FAM189B","AC118549.1","DIPK1A","WDR35","TMEM39B","LMO4","TRIM33","RGS1","PALMD","USP1","C1orf52","AL590226.2","CATSPER1","MFSD10","LINC00672","PARD3-AS1","AC011978.2","ABCC11","FPR1","GEN1","MAPK11","SOCS3","ATP8B2","S100A6","LINC02609"
"RUSC1-AS1","USP33","RWDD3","ATAD2B","MARCKSL1","RBMXL1","POLR3C","ELF3-AS1","SASS6","WDR78","ZNHIT6","AL512631.2","CLECL1","CENPM","SP6","FZD8","GPR180","AC105411.1","ADORA2A","CCND2","STX1A","COL5A3","USP21","NPR1","RPAP2"
"IFI16","ADGRL2","PTBP2","AC074117.1","FAM229A","LRRC8D","PIAS3","LGR6","TRMT13","LRRC40","GBP3","SNCG","NPFF","GNB4","FCER2","DLG5-AS1","LST1","CORO6","AC012645.1","MORN1","DYRK4","C19orf47","B4GALT3","DENND4B","DIPK1A"
"SLAMF8","PRKACB","PRPF38B","AC015982.2","GJA4","AGL","NBPF12","CD55","RTCA-AS1","ZRANB2","AC099568.2","SH3PXD2A-AS1","AL138999.1","GMIP","KANTR","SPTY2D1OS","LBX2","TANC2","TNFRSF6B","ARHGAP33","BAALC","ZNF805","POGK","ISG20L2","EXTL2"
"USP21","SYDE2","SORT1","AC017083.1","AGO4","S1PR1","ZNF687","CD34","EPS8L3","CCN1","LINC02609","KCNJ11","NBEA","SOX17","LDOC1","FEN1","FRMD4B","IZUMO4","ZFP41","ASAP1","AC026979.2","HSPA12B","NME7","ARHGEF11","S1PR1"
"DUSP12","RPAP2","DRAM2","PARTICL","AGO3","CYB561D1","TDRKH","TMEM63A","AP4B1","ZNHIT6","CDC14A","FAM111A-DT","CARMIL3","KCTD7","FAM229B","KCNE3","TTC23","AC011468.5","SLC37A3","TMEM128","BATF3","AVPR2","SLC19A2","BLZF1","LINC00623"
"RGS5","DR1","OVGP1","KRCC1","FHL3","WDR77","TDRD10","PSEN2","TRIM45","HS2ST1","CHI3L2","AP002495.1","AL136295.2","HIST1H2BJ","FGFBP3","SCARNA9","NRXN3","THBD","THYN1","AC002467.1","CDK8","GRAP","SCYL3","RABGAP1L","AC239800.2"
"POU2F1","MFSD14A","WDR3","DUSP2","TRIT1","SLC22A15","EFNA4","IBA57","GDAP2","GBP3","RSBN1","ANKRD42","RTN1","RHPN1","ADD3","FAM76B","POLG2","COX4I2","ANGPTL4","EPB41L2","RPS6KA1","SOGA1","DARS2","ABL2","NUDT17"
"SLC19A2","DBT","HAO2","CNNM4","RLF","RNF115","C1orf61","ABCB10","ZNF697","AC104506.1","DENND2C","CRTAM","PPP4R4","AP002381.2","POLD3","CASP1","CEP162","AL021707.8","RCHY1","HCN3","ZNF497","LINC00861","SOAT1","RGS2","AC242426.2"
"GORAB","VCAM1","NBPF20","LINC01127","AL050341.2","ACP6","FCGR3A","TAF5L","PIAS3","TMEM167B","AC245407.2","SMIM2-AS1","MTA1","PBK","COL5A2","SOX5","RAB3IP","BX890604.2","CMTM3","ADRA2B","ZCCHC4","CCDC17","MR1","KIF14","C1orf56"
"ELF3","C1orf162","ACP6","LINC01876","AL603839.3","SETDB1","SELL","COA6-AS1","LINC01719","CELSR2","ZNF687","PCDH20","AC009560.1","FASTKD3","DBF4","PMEL","SDHAF4","ITGB1BP2","AXL","PRDM10","CCDC24","SMG6","ASPM","AC096642.1","ZNF687-AS1"
"CHIT1","SIKE1","HIST2H2AA4","GPD2","EXO5","NUP210L","KIFAP3","SDCCAG8","HIST2H2BE","RBM15","POGZ","BMP4","KLHL25","AC007038.2","ME3","METTL25","RPA2","GLIS3","UBA6","ASTE1","PRC1","DRAIC","PTPN7","CEP170","S100A6"
