"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12","Pattern_13","Pattern_14","Pattern_15","Pattern_16","Pattern_17","Pattern_18","Pattern_19","Pattern_20","Pattern_21","Pattern_22","Pattern_23","Pattern_24","Pattern_25"
"RANBP3","KHNYN","EXOSC3","EDEM2","CARMIL1","UBAC2","LINC00526","LINC01571","COQ6","TRAF2","TRIM3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRR14","CLCN5","KLHL28"
"KHSRP","G2E3","CARNMT1","GSAP","U91328.1","PCCA-DT","PIEZO2","FTO","RPS6KL1","PTGDS","DNHD1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZNF646","RRAGD","NID2"
"AC010336.2","AKAP6","KIF27","CBWD1","AL513548.1","SLC7A7","MIB1","CETP","GSTZ1","PITRM1","ZNF143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PYCARD","MRM2","ACTR10"
"ZNF317","RALGAPA1","AL158071.3","QRICH1","HIST1H2BN","C14orf93","RMC1","NLRC5","ADCK1","PRPF18","RRAS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N4BP1","ENTPD7","L3HYPDH"
"ZNF561","FRMD6","CENPP","PIK3C3","ZSCAN9","FITM1","GAREM1","CIAPIN1","GTF2A1","RSU1","FANCF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZNF423","APPBP2","SLC38A6"
"ZNF561-AS1","NID2","BICD2","CBX6","ZSCAN26","CHMP4A","EPG5","GFOD2","KCNK10","ZNF33B","IMMP1L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC087564.1","STX7","FNTB"
"ANGPTL8","PTGER2","TSTD2","ZBTB42","PRR3","AL096870.8","MBD1","ZNF821","NRDE2","CXCL12","ABTB2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MT1E","XPNPEP1","AC004825.2"
"FBXW9","CGRRF1","STX17-AS1","GMNN","TCF19","STRN3","PIGN","TMEM170A","GON7","AGAP9","CD44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MT1M","IFNGR2","AC005520.2"
"RASAL3","TMEM260","ELP1","BAG1","PSORS1C3","FOXA1","KDSR","MON1B","ATG2B","TMEM273","PTPMT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USB1","ZDHHC4","GALC"
"RAB8A","AL136038.5","DNAJC25","AC083900.1","HCG27","TOGARAM1","CTDP1","NUDT7","WDR25","DNA2","APLNR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HSD11B2","VXN","TDP1"
"MAST3","ZFYVE26","PTBP3","GEMIN8","NFKBIL1","GNG2","PARD6G","CMC2","TECPR2","MCU","CLP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESRP2","YPEL1","COA8"
"IQCN","PNMA1","RABGAP1","NSUN2","C6orf47","FBXO34","AC016588.2","IRF8","BRF1","FAM149B1","SLC15A3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COG8","ARHGEF3","ADSSL1"
"KLHL26","EIF2B2","CDK9","CTNS","LY6G5B","ZBTB25","MIER2","CA5A","VPS18","ADK","VWCE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NIP7","RRAS2","IGHA1"
"LRFN3","VIPAS39","COQ4","MFN1","MSH5","SUSD6","CNN2","CDT1","UBR1","VDAC2","ASRGL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MARVELD3","CALCOCO1","NIPA1"
"ZNF780B","GTF2A1","AL441992.1","ATP13A2","SAPCD1","SPTLC2","THOP1","AC092123.1","MFAP1","LRMDA","ZBTB3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MLKL","LSM3","KNSTRN"
"CBLC","IFI27L1","ZER1","NKD1","CFB","BTBD7","HMG20B","CRK","GABPB1-AS1","KCNMA1","AP001160.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MON1B","MFSD8","INO80"
"VASP","CKB","LRRC8A","UBE2D2","TNXB","SNHG10","LONP1","ANKFY1","NEDD4","DLG5","PCNX3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC040169.1","CRTC3","EHD4"
"HIF3A","AL049840.5","ASB6","PAQR9","GPSM3","CYP46A1","GPR108","C17orf49","CCNB2","KIF20B","KAT5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KIAA0513","AC078846.1","TMEM87A"
"ZC3H4","PGBD4","PRRC2B","MZF1","BAK1","RCOR1","AC008946.1","NEURL4","ICE2","IDE","SART1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENPBD1","HAT1","GANC"
"AC010331.1","MFAP1","SURF2","NUP93","UHRF1BP1","NIPA2","ZNF121","ZBTB4","MTFMT","EXOC6","C11orf80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ATP2A3","MYOM1","ZNF106"
"SPHK2","GNB5","FCN2","SEC22C","ZNF76","ATP10A","TMED1","TMEM107","PARP16","TBC1D12","ANKRD13D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC091153.3","ZBTB3","DMXL2"
"PLEKHA4","MYO5C","FCN1","DPP8","TEAD3","GOLGA8N","FBXW9","TTC19","SLC24A1","LCOR","FGF19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DHX33","CPSF2","ONECUT1"
"CD37","AC090515.2","PPP1R26","NOP14","RRP36","KATNBL1","CCDC130","COPS3","SMAD3","ZDHHC16","IL18BP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MED31","PPP2R1B","USP3-AS1"
"SIGLEC10","CCNB2","CAMSAP1","SELENOK","ZNF318","MEIS2","RFX1","AC020558.1","PIAS1","MARVELD1","FCHSD2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCL6B","ATP11A","IQCH-AS1"
"ZNF613","TRIP4","UBAC1","PJA1","MAD2L1BP","VPS18","ADGRE5","EPN2","BBS4","HPS1","AMOTL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PLSCR3","NEDD4L","DRAIC"
"ZNF615","AAGAB","SNAPC4","HMCES","NFKBIE","INO80","ILVBL","TMEM11","STOML1","AL133353.1","CWF19L2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SENP3","NKIRAS2","PARP6"
"CCDC106","UACA","LCN12","ACBD6","TNFRSF21","RTF1","PLVAP","NATD1","AC068338.3","DNMBP","SDHD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTC19","SLC29A3","SEMA7A"
"ZNF304","BBS4","NDOR1","PDCL3","AL355353.1","UBR1","SLC27A1","MTRNR2L1","AC068338.2","DPCD","ZW10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PLD6","ESRRA","ARID3B"
"TRAPPC2B","ST20-AS1","WDR37","TRPM3","TRAM2-AS1","LCMT2","ZNF507","NLK","PSTPIP1","PPRC1","FXYD6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RAI1","ABHD4","NEIL1"
"ZCCHC3","ADAMTSL3","FBH1","ZNF710","MLIP","SECISBP2L","CEP89","FAM222B","AC015871.1","ITPRIP","CD3D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DHRS7B","AGO1","IREB2"
"ZNF343","ZNF592","PRPF18","MSI2","PRIM2","TMOD2","RHPN2","ADAP2","C15orf40","PDCD4-AS1","THY1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TMEM11","KMT2C","CHRNB4"
"RASSF2","AKAP13","RSU1","PCSK9","AL135905.1","WDR72","PDCD2L","PEX12","SLC28A1","VTI1A","MSANTD2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UTP6","TBRG1","WDR73"
"TRMT6","AEN","MAP3K8",NA,"SDHAF4","TCF12","ZNF30","GRB7","AKAP13","FAM160B1","AP001783.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUZ12","ACIN1","PLIN1"
"CD93","PLIN1","EPC1",NA,"AL080250.1","MINDY2","TBCB","EFTUD2","POLG","BAG3","AC021054.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPOP","NDUFAF2","GDPGP1"
"TPX2","NGRN","ZNF32",NA,"LINC01621","DIS3L","ZNF345","FMNL1","MCTP2","MCMBP","DCP1B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RARA-AS1","TRIM68","CHD2"
"PDRG1","MEF2A","WASHC2C",NA,"LINC02542","PAQR5","SIPA1L3","SP2","POLR3K","ADAM8","PARP11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOP2A","LAGE3","LINC00923"
"NECAB3","RAB40C","ASAH2B",NA,"ORC3","SCAMP5","NUMBL","CBX1","NPRL3","PTDSS2","TAPBPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC073508.3","POLB","CHTF18"
"RBM12","WDR90","UBE2D1",NA,"RNGTT","ADAMTS7","ARHGEF1","SKAP1","RAB11FIP3","TMEM80","ING4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HSPB9","PYURF","C16orf91"
"DLGAP4","IFT140","CCDC6",NA,"MDN1","AC015871.1","ETHE1","SPAG9","CAPN15","AP006621.3","CD163",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AOC3","CCDC69","ZNF200"
"TLDC2","SPSB3","HERC4",NA,"PRDM1","GOLGA6L9","PTGIR","MBTD1","CHTF18","AC090587.1","SLC2A3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABI3","HMGN4","ZNF75A"
"UBE2C","SOCS1","RUFY2",NA,"ATG5","PDE8A","EMP3","MED13","TELO2","ARFIP2","FOXJ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZNF652","NSRP1","EEF2KMT"
"SLC9A8","U91319.1","CCAR1",NA,"QRSL1","MAN2A2","AC026803.3","CEP95","AC009065.4","DENND5A","CLEC4E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SLC35B1","ERCC4","RMI2"
"AURKA","REXO5","TSPAN15",NA,"CD24","RHBDF1","TRPM4","LINC00511","TBC1D24","CYP2R1","CLEC7A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC015912.3","PCNX3","ERCC4"
"AL121832.2","POLR3E","CDH23",NA,"MICAL1","PDIA2","CNOT3","RAB37","PDPK1","PIK3C2A","ETV6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VEZF1","INO80B","MIR193BHG"
"HSPA13","IL27","MCU",NA,"DDO","RHOT2","LILRB4","UNK","SRRM2-AS1","TMEM86A","ARHGDIB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MKS1","AQR","COG7"
"RWDD2B","AC009093.5","CAMK2G",NA,"CDK19","MLST8","ZNF580","MXRA7","FLYWCH1","PRMT3","SPX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GDPD1","THUMPD1","SH2B1"
"SCAF4","ZNF785","KAT6B",NA,"SLC16A10","FLYWCH1","ZNF544","MFSD11","DNASE1","IMMP1L","LDHB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DHX40","NET1","AC009093.6"
"VPS26C","ITGAX","ZNF503-AS2",NA,"MFSD4B","AC108134.3","MZF1","TNRC6C","VPS35L","CSTF3","LRMP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC091271.1","SHPK","CD2BP2"
"IL17RA","SLC6A2","POLR3A",NA,"LAMA4","MGRN1","EBF4","TK1","CRYM","CD44","INTS13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TUBD1","ARHGEF7","SRCAP"
"PI4KA","MT1M","TSPAN14",NA,"NT5DC1","ERCC4","PLCB1","PGS1","LCMT1","PHF21A","CCDC91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"METTL2A","HIST1H4J","SETD1A"
"YPEL1","RSPRY1","CCSER2",NA,"FAM184A","PARN","AL117332.1","C1QTNF1","AC009133.1","SPI1","SINHCAF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MAP3K3","KIAA1143","AC135050.6"
"SPECC1L","MMP15","HECTD2",NA,"GJA1","VPS35L","CST1","TYMSOS","TAOK2","APLNR","ALG10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CEP95","ZDHHC20","SIAH1"
"GRK3","CMTM4","PPP1R3C",NA,"CLVS2","ACSM3","HCK","MTCL1","SEPTIN1","STX3","GXYLT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SOX9-AS1","DDX19A","CNEP1R1"
"TTC28","ACD","PI4K2A",NA,"RNF146","XPO6","SRC","GATA6","PHKG2","MS4A7","YAF2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RECQL5","AKAP12","TENT4B"
"Z93930.2","CFDP1","OLMALINC",NA,"MAP3K5","AC009093.6","PLCG1","C18orf25","LINC02128","POLR2G","IRAK4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TK1","CRELD1","CHD9"
"NF2","GSE1","HIF1AN",NA,"REPS1","ZG16","TTPAL","CTIF","HNRNPA1P48","C11orf95","AC008124.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BIRC5","GSPT1","ZNF319"
"MTMR3","SNAI3-AS1","TLX1",NA,"FUCA2","CORO1A","PCIF1","MBD1","DOK4","MAP4K2","PCED1B-AS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RAC3","TBC1D10B","NOL3"
"MICALL1","RNF166","LDB1",NA,"PHACTR2","SLX1A","MMP9","TIMM21","SLC38A7","OVOL1-AS1","SPATS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TYMSOS","PWWP2A","KIAA0895L"
"PLA2G6","DBNDD1","STN1",NA,"MTHFD1L","ZNF768","CD40","MIDN","PDP2","KLC2","PRPF40B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TGIF1","CHMP4C","PARD6A"
"PDGFB","AC233723.1","SFR1",NA,"ESR1","PHKG2","PREX1","SF3A2","E2F4","SPTBN2","CERS5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L3MBTL4","NARF","VPS4A"
"TRMU","NEURL4","BBIP1",NA,"VIP","ITGAD","B4GALT5","GNG7","FHOD1","KDM2A","NCKAP1L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARHGAP28","ARMC8","ZFP1"
"GYG2","TNFSF13","CASP7",NA,"SCAF8","AC026471.1","SALL4","PIAS4","DDX28","RAD9A","PYM1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RAB31","TRIM23","ZCCHC14"
"HCCS","FXR2","HSPA12A",NA,"TULP4","AHSP","PFDN4","SIRT6","PHLPP2","FGF19","NDUFA4L2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANKRD29","DNAAF2","NCBP3"
"BCLAF3","TMEM88","FAM204A",NA,"PLG","SIAH1","RAB22A","CAPS","IST1","FOLR2","PIP4K2C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAMA3","SHFL","MED11"
"SUV39H1","CYB5D1","HTRA1",NA,"SFT2D1","HEATR3","AL354836.1","TUBB4A","TXNL4B","PDE2A","METTL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OSBPL1A","NOP14-AS1","PFAS"
"TFE3","VAMP2","AC136475.5",NA,"LINC01558","AC087564.1","CABLES2","VAV1","CDH13","RELT","TBK1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KATNAL2","POLR3GL","AC087501.4"
"PPP1R3F","STX8","AC132217.1",NA,"AL009178.2","CPNE2","FP565260.1","MARCH2","MLYCD","FAM168A","TMTC3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MYO5B","TMEM63B","FLII"
"FAAH2","MYH3","KCNQ1OT1",NA,"AFDN-DT","RSPRY1","SETD4","FDX2","KLHL36","NEU3","SOCS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CXXC1","ZNF212","LGALS9"
"ZXDB","TRPV2","ZNF195",NA,"GPER1","ZNF319","CLDN14","ILF3-DT","RNF166","AP002360.1","DRAM1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ATP8B1","TTC33","IFT20"
"ZXDA","MED9","SWAP70",NA,"CHST12","TRADD","TRAPPC10","DNM2","VPS9D1","MYO7A","CORO1C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALPK2","WASHC3","SPAG5"
"GCNA","LGALS9","ZBED5",NA,"CCZ1B","CENPT","YBEY","TNPO2","RILP","C11orf54","ANKRD13A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RELCH","GNAI1","RHOT1"
"RLIM","NEK8","PARVA",NA,"GLCCI1","DDX19B","DGCR8","SAMD1","MNT","IL18","ANAPC7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SOCS6","CNOT3","CCL18"
"SH3BGRL","TRAF4","PLEKHA7",NA,"SNX13","MARVELD3","CHEK2","WIZ","SHPK","PAFAH1B2","ATXN2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NFATC1","JMJD6","SOCS7"
"FAM199X","UTP6","PIK3C2A",NA,"CCDC126","ATXN1L","ZNRF3","CYP4F22","TAX1BP3","MPZL3","NAA25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ADNP2","SLC27A4","SRCIN1"
"PSMD10","ZNF830","SAA2",NA,"NFE2L3","DHX38","DUSP18","HAUS5","ITGAE","CD3D","SLC8B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DOT1L","GNG12","NR1D1"
"SLC25A43","SLFN5","UEVLD",NA,"HOXA3","AC116667.1","DEPDC5","MRPS12","ZZEF1","TRAPPC4","C12orf49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MATK","GYG2","AC073508.3"
"NKAP","PIGW","DNAJC24",NA,"HOXA4","RFWD3","NOL12","FBXO27","CHRNE","HINFP","TMEM233",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FEM1A","AFG3L2","LSM12"
"LINC00894","ERBB2","TRAF6",NA,"HOXA5","CTRB2","GTPBP1","FCGBP","NUP88","CCDC15","AC069209.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZNF557","EIF2S3","GPATCH8"
"HMGB3","THRA","PRG2",NA,"AC007130.1","TMEM170A","POLDIP3","COQ8B","WSCD1","PUS3","OGFOD2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RAB11B-AS1","DDC","KANSL1"
"DNASE1L1","RARA","FAM111A",NA,"AC005162.3","NUDT7","NUP50-DT","B3GNT8","ELP5","SRPRA","SNRNP35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S1PR2","ZFR","TOB1-AS1"
"LNCTAM34A","TMEM99","VWCE",NA,"LINC01176","PLCG2","RP2","ZNF526","VAMP2","SLC6A13","GLT1D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CCDC159","ABHD8","AC007485.1"
"ACOX3","EFTUD2","FLRT1",NA,"NOD1","MPHOSPH6","FTSJ1","AC021092.1","CTC1","NINJ2","XPO4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SWSAP1","VPS35L","AC007114.1"
"CTNNA1","KANSL1","PLCB3",NA,"MINDY4","MLYCD","PORCN","ZNF225","ZNF286A","ERC1","LNX2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RAD23A","UBE3C","RNF43"
"EEF1E1","TBX21","MAP4K2",NA,"RP9","MTHFSD","CCDC120","CLASRP","PLD6","FOXM1","RFC3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IER2","FAM192A","ICAM2"
"RSPH3","SKAP1","DPF2",NA,"STARD3NL","C16orf95","GPKOW","MYPOP","TOM1L2","EMG1","EXOSC8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASF1B","SEC62","SMURF2"
"COG5","KAT7","SLC25A45",NA,"ZNF680","ZC3H18","MTRNR2L10","SLC6A16","TOP3A","KLRB1","ZC3H13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KLF2","HELZ2","AXIN2"
"RSF1","ANKRD40","KLC2",NA,"VKORC1L1","ZNF778","ARMCX5-GPRASP2","MED25","LYRM9","CLEC2D","MED4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABHD8","NLRC3","AC005332.6"
"MPHOSPH8","MBTD1","AP001107.9",NA,"KCTD7","LINC02193","GPRASP2","VRK3","TMEM199","CLEC12A","INTS6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GTPBP3","KMT2B","TRIM47"
"LCP1","RAD51C","SSH3",NA,"LINC02604","VPS53","FAM199X","NR1H2","ZNF830","DDX47","TDRD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NR2C2AP","TRMT11","TRIM65"
"RPUSD1","SMG8","AIP",NA,"AUTS2","MRM3","MID2","TFPT","SNHG30","ARHGDIB","BORA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POP4","TMEM191B","QRICH2"
"SAMD4B","HELZ","PITPNM1",NA,"RFC2","ABR","NKAP","FIZ1","CCL3","AEBP2","RBM26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANKRD27","AC003681.1","AC005837.1"
"XRCC1","SOX9-AS1","LRP5",NA,"CLIP2","TAX1BP3","RBMX","CCDC106","DHRS11","LDHB","DOCK9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RHPN2","MAST4","TNRC6C"
"GPKOW","NAT9","AP002387.2",NA,"GTF2IRD1","P2RX5","MTMR1","CSNK2A1","SYNRG","BHLHE41","UBAC2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GPATCH1","AL121832.2","ENDOV"
"KIAA2013","KCTD2","FAM168A",NA,"GSAP","ITGAE","BGN","STK35","GSDMB","AC092747.4","ABHD13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CEBPA-DT","ZNF302","CCDC57"
"RAF1","LLGL2","UCP2",NA,"COL1A2","MED31","CCNQ","NOP56","C17orf113","RND1","TNFSF13B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LIN37","TRAPPC8","AP000894.4"
"GZMA","LRRC45","MOGAT2",NA,"LMTK2","PHF23","TMEM187","BMP2","EZH1","KMT2D","NAXD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZNF780A","ACAD10","CDH2"
"SPTSSA","SECTM1","UVRAG",NA,"CYP3A4","SLC2A4","MPP1","MKKS","RND2","AC139768.1","ING1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SERTAD1","PEX11G","RNF138"
"BTBD1","ZBTB14","AQP11",NA,"ZSCAN21","TNFSF13","GUF1","KIF16B","AC060780.1","SMIM41","ANKRD10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZNF575","STN1","MAPRE2"
"NT5M","ANKRD12","RAB30-DT",NA,"PCOLCE","CYB5D1","TTC33","NXT1","ETV4","CBX5","ARHGEF7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZNF45","APOOL","SLC39A6"
"COP1","IMPA2","HIKESHI",NA,"ALKBH4","PIK3R5","ETV7","MAFB","ATXN7L3","SARNP","ATP11A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZNF224","UBA7","PSTPIP2"
"GMDS","RMC1","TAF1D",NA,"ORC5","MED9","RSPH3","LPIN3","CCDC43","LRIG3","TRDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SIX5","TERB2","C18orf25"
"DNAJC24","DSG1","MED17",NA,"LINC01004","ATPAF2","UNC13B","PTPN1","SMG8","RASSF3","TRAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC074212.1","BMI1","CCDC68"
"ZDHHC5","RNF125","AASDHPPT",NA,"PIK3CG","PIGS","STX17-AS1","BCAS4","RPS6KB1","LEMD3","DHRS4-AS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARD8","CEBPZOS","TIMM21"
"SYT12","PIK3C3","ATM",NA,"PNPLA8","GIT1","EXOC6","LSM14B","CA4","TMEM19","STXBP6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRPM4","PDCD11","CSNK1G2"
"DVL1","TCF4","RDX",NA,"ZNF277","AC011840.1","ZNF740","MTG2","CYB561","RAB21","LINC02313",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NKG7","FKBP11","PLEKHJ1"
"WBP4","WDR7","COLCA2",NA,"IFRD1","CRLF3","TMC8","TCFL5","BPTF","LINC02394","SPTSSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIZ1","BRF1","AMH"
"APEX1","ZCCHC2","USP28",NA,"TMEM168","RNF135","MAP3K10","ZNF512B","ABCA9","CCDC59","NIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZNF548","GLTP","MCOLN1"
"MEPCE","ZNF516","IL10RA",NA,"SMIM30","MYO1D","RAB9A","FP565260.3","FAM104A","ATP2B1","LGALS3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZNF329","RAB5IF","CAMSAP3"
"MVK","PARD6G","AP003392.3",NA,"ING3","SYNRG","RIT1","BTG3","FADS6","LINC02453","PCNX4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STK35","MCAT","FBXL12"
"RPUSD3","RNF126","MCAM",NA,"CPED1","MED1","HACD2","LTN1","JMJD6","IGF1","FUT8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOP56","XIAP","SPC24"
"TCTN3","CNN2","RNF26",NA,"METTL2B","RARA-AS1","UNC5CL","AP000253.1","CCDC137","TDG","TMEM229B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CDC25B","FGFR4","WDR83"
"AC025165.2","STK11","TBRG1",NA,"IRF5","HSPB9","CUL7","IFNAR2","AC139530.1","HCFC2","PLEKHH1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KIZ","RPUSD3","GCDH"
"PRKCE","EFNA2","ROBO4",NA,"AHCYL2","MAP3K14","POLB","DONSON","ALYREF","NUAK1","PIGH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GZF1","DHX38","DDX39A"
"INTS2","BTBD2","RPUSD4",NA,"NRF1","WNT3","FBXW2","PKNOX1","RAC3","AC007541.1","SUSD6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAPB","SULT1C4","BRD4"
"ALKBH3","DOHH","ACAD8",NA,"COPG2","RSAD1","SLC25A16","LRRC3","FN3K","FICD","LTBP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID1","MYRIP","YJEFN3"
"C9orf78","HMG20B","SLC6A13",NA,"PODXL","TRIM25","SPTBN2","MCM3AP","LINC00526","SSH1","FCF1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MAPRE1","MRPS36","PDCD2L"
