"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12","Pattern_13","Pattern_14","Pattern_15","Pattern_16","Pattern_17","Pattern_18","Pattern_19","Pattern_20","Pattern_21","Pattern_22","Pattern_23","Pattern_24","Pattern_25","Pattern_26","Pattern_27","Pattern_28"
"RPS7","CYP2U1","AC051619.7","C9orf24","ACBD7","AL137026.1","SCT","STARD13-AS","PKHD1L1","AC007952.3","CLVS2","PANO1","GZMH",NA,NA,NA,NA,NA,NA,NA,"INMT","SPTBN4","FZD3",NA,"MRO","CACNA2D4","AL589745.1",NA
"EEF1G","SEC24B-AS1","AC025271.4","MSMP","STAM-AS1","TMEM26","CEND1","SMAD9","LINC00861","AC007952.7","AL138828.1","OR56A3","SLC25A21-AS1",NA,NA,NA,NA,NA,NA,NA,"NME8","AC079630.1","LRCOL1",NA,"AC027097.2","LINC01697","AL137244.1",NA
"GC","PANCR","AC012653.2","LINC01506","AL450384.2","RTKN2","AC090587.1","AL512506.1","TMEM71","AC005726.1","ZC3H12D","ZNF215","AL157756.1",NA,NA,NA,NA,NA,NA,NA,"SFRP4","AC006480.2","KRTAP5-2",NA,"FGF22","LIPT1","OXGR1",NA
"PSAP","MYOZ2","AC100827.4","SMC5-AS1","AL359697.1","STOX1","MS4A14","SMIM2-IT1","C8orf31","CCL8","LRP11","NCR3LG1","AL355916.2",NA,NA,NA,NA,NA,NA,NA,"TRG-AS1","GJC2","RYR3",NA,"AC027307.2","ABCA10","ZIC2",NA
"RPS15A","PDE5A","INSYN1","GNA14","LYZL2","AC016394.2","INCENP","SLITRK6","SPATC1","CCL3L1","SOD2-OT1","AC124798.1","AC005479.2",NA,NA,NA,NA,NA,NA,NA,"INHBA","REEP6","RASSF6",NA,"AMH","NPHP1","AL139385.1",NA
"AC104113.1","QRFPR","ACSBG1","AL162726.4","ZFAND4","AL731569.1","AP001160.4","OXGR1","RLN1","CCL4L2","DACT2","ZDHHC13","AL512791.2",NA,NA,NA,NA,NA,NA,NA,"GLI3","AC092071.1","AL161645.2",NA,"PCP2","AL359880.1","LINC00346",NA
"APCS","BBS12","AC023024.1","AL161910.1","FAM245B","ANKRD2","TIGD3","ZIC2","CCL19","CCR10","SDK1","AL035078.1","LINC02325",NA,NA,NA,NA,NA,NA,NA,"AEBP1","KIF17","ZNF624",NA,"ZNF441","AF279873.3","PTGDR",NA
"APCDD1L-DT","NOCT","AC140725.1","AL158071.3","PCDH15","DPYSL4","AC004923.4","SALL2","SIT1","AC003070.2","CCZ1B","AC090469.1","AL049840.6",NA,NA,NA,NA,NA,NA,NA,"AC004847.1","SFRP1","BTLA",NA,"ZNF433","AC105137.2","AL133453.1",NA
"GPR18","CLGN","WFIKKN1","OMD","CABCOCO1","B4GALNT4","UCP3","AL160237.1","PAX5","ITGB3","VWDE","LINC02716","GPR132",NA,NA,NA,NA,NA,NA,NA,"IGFBP3","NFAM1","HHIPL1",NA,"SYCE2","ZNF852","GPR135",NA
"LPP","DCLK2","SOX8","FBP2","NUTM2A","AC090587.1","MAP6","TGM1","AL161781.2","NOG","AC005165.1","SPTBN2","IGHG2",NA,NA,NA,NA,NA,NA,NA,"GALNT17","PIK3C2G","BX088651.4",NA,"C19orf44","AC004449.1","RAD51B",NA
"SLC40A1","AC098679.1","CASKIN1","AL133477.2","AL138762.1","STK33","FZD4-DT","AL110292.1","FAM201A","AC025048.2","AC007130.1","AP003419.2","AC051619.7",NA,NA,NA,NA,NA,NA,NA,"ELN","FOS","ZBTB44-DT",NA,"PDE4C","Z93241.1","AF111167.2",NA
"MYL6","AC097534.2","AC093525.6","TMOD1","AL133215.1","IGSF22","AP001830.1","AL359397.2","NTRK2","AC011921.1","WIPF3","FAM86C1","SEMA6D",NA,NA,NA,NA,NA,NA,NA,"CCL26","AC006238.1","AC007996.1",NA,"AC006504.5","USH2A","NOXRED1",NA
"CTSD","NEIL3","AC012676.1","TBC1D2","NEURL1","KCNA4","LINC02550","LINC00519","LINC01501","LINC00511","LINC01176","AP002495.1","SLC12A1",NA,NA,NA,NA,NA,NA,NA,"CCDC146","CD226","BBOF1",NA,"AC008738.2","PTGES3L","SLC24A4",NA
"RPL24","AC079766.1","U91319.1","STX17-AS1","AL157786.1","AC068205.2","AP002448.1","AL352979.4","AL158071.1","AC021683.5","POU6F2-AS1","DNAJB13","ANKDD1A",NA,NA,NA,NA,NA,NA,NA,"HGF","PAPPA","AL136301.1",NA,"FFAR2","OTUD7A","AL122023.1",NA
"ASPH","CDKN2AIP","AC138932.2","AL355601.1","FAM24B","LINC02696","AP000892.3","AL163952.1","PRRX2","PRELID3A","ZNF716","AP003032.1","AC013553.4",NA,NA,NA,NA,NA,NA,NA,"COL1A2","AC007879.3","AC034102.8",NA,"ZBTB32","TMEM200C","GSC",NA
"SRFBP1","LRP2BP","OTOA","AL596244.1","AL731571.1","CD5","AP000926.2","AL049838.1","PTGES","AC009802.1","SSC4D","NAALAD2","AC079322.1",NA,NA,NA,NA,NA,NA,NA,"GAL3ST4","IL1RL1","CARMIL3",NA,"ZNF565","AC080013.6","LINC02325",NA
"CST3","AC122719.2","AC092375.2","TTLL11","MUC6","PPP1R14B-AS1","CACNA2D4","ARMH4","NTNG2","C2CD4C","PRKAR2B","CARD18","AC105020.1",NA,NA,NA,NA,NA,NA,NA,"PILRA","SLCO4A1","CDC7",NA,"ZNF541","LINC01547","BEGAIN",NA
"COX6C","AC091978.1","NSMCE1-DT","AKR1C8P","ZNF215","AP003068.2","AC084375.1","AL355916.1","KCNT1","CIRBP-AS1","AC005046.1","FDXACB1","HYKK",NA,NA,NA,NA,NA,NA,NA,"PCOLCE","PEG3","AC012073.1",NA,"KCNJ14","AC022098.1","AC087490.1",NA
"SLC14A2-AS1","UBE2QL1","AC009133.4","CALML3-AS1","E2F8","AP001885.2","PZP","KCNH5","LCN10","GNA15","LSMEM1","LINC02762","AC027228.2",NA,NA,NA,NA,NA,NA,NA,"ORAI2","ALDH8A1","DEPDC1-AS1",NA,"MAMSTR","BFSP1","FAM189A1",NA
"APOM","AC012640.3","AC009107.2","ST8SIA6","ANO5","AP002813.1","LINC00987","AL136040.1","LCNL1","EBI3","GPR85","BACE1-AS","AC016705.1",NA,NA,NA,NA,NA,NA,NA,"RASA4","LEFTY1","AL022162.1",NA,"IZUMO1","KCNE5","LINC01852",NA
"AGT","LINC02228","AC018557.1","PRKG1-AS1","BBOX1","AP000487.1","PRR4","RTL1","C9orf139","FSD1","PTPRZ1","USP2","AP3B2",NA,NA,NA,NA,NA,NA,NA,"AC007384.1","MT1E","IYD",NA,"AC011450.1","AC010168.2","AC090510.1",NA
"F5","RANBP3L","AC092115.3","MBL2","LDLRAD3","AP002490.1","ART4","AL928654.2","ADARB2","FUT3","AC016831.5","CRTAM","AC027020.2",NA,NA,NA,NA,NA,NA,NA,"PIK3CG","FARP1-AS1","AP006333.1",NA,"ZNF677","AC007620.3","DUOXA1",NA
"RPL36A","IL31RA","AC090617.3","CTNNA3","LBHD1","CCDC89","C2CD5","AC100756.4","IL2RA","NANOS3","AC058791.1","AP000866.1","RGS11",NA,NA,NA,NA,NA,NA,NA,"WNT2","LINC01612","LINC00973",NA,"NCR1","NAPSA","AC051619.5",NA
"OR8G5","SMN2","ATP1B2","AC022400.4","AP003071.1","VSTM5","AC092794.1","C15orf54","PRKCQ","CPAMD8","AKR1B15","ZBTB44-DT","FBXL16",NA,NA,NA,NA,NA,NA,NA,"CFTR","AC105020.1","CCDC8",NA,"AC005498.2","CROCC2","C15orf65",NA
"ARMC2","AC146944.4","TMEM88","SFTPD","KCTD21-AS1","KBTBD3","AC068792.1","EXD1","GATA3","AC011462.5","NDUFB2-AS1","AC026369.2","AC106820.4",NA,NA,NA,NA,NA,NA,NA,"GRM8","LPA","GSTM2",NA,"ZNF543","CRYBB3","MYZAP",NA
"DHCR24","LINC02056","AC005304.2","FAM245A","AP002448.1","AP000766.1","AC009248.2","AC084757.4","MEIG1","CEACAM6","WEE2-AS1","ITFG2-AS1","MMP25",NA,NA,NA,NA,NA,NA,NA,"SMKR1","MGAT4C","HNF4A-AS1",NA,"AC004076.2","AC099518.6","NPTN-IT1",NA
"RPS13","AC010245.2","AC015726.1","KLLN","AP003174.1","COLCA2","RHEBL1","AC007950.2","VIM-AS1","ADM5","AC092681.3","AKAP3","AC087190.1",NA,NA,NA,NA,NA,NA,NA,"PTN","SND1-IT1","AC093726.2",NA,"ZIK1","AP001160.2","AC105020.6",NA
"A1CF","S100Z","AC244100.4","CYP2C19","CCDC15-DT","TMPRSS13","AQP6","AC013553.3","MPP7","SIGLEC11","LINC00996","AC125494.1","SOCS1",NA,NA,NA,NA,NA,NA,NA,"DENND2A","IGHG1","RTN4RL1",NA,"C19orf18","SLC45A2","AC046168.2",NA
"ONECUT2","SCAMP1-AS1","AC067852.5","SLIT1","AC007406.2","CCDC153","GTSF1","IGDCC3","OR13A1","AC010325.1","ZNF596","U47924.2","NPIPA3",NA,NA,NA,NA,NA,NA,NA,"SMARCD3","AC092368.3","C4orf54",NA,"AC012313.5","DNMBP-AS1","AC027228.2",NA
"KLRD1","AC009126.1","RND2","AL355490.1","AC021054.1","USP2","INHBE","CCDC33","SLC16A9","SIGLEC12","MYOM2","ERP27","HS3ST2",NA,NA,NA,NA,NA,NA,NA,"DEFB1","ELFN1","SYCP2",NA,"DUSP15","AC005534.1","CRTC3-AS1",NA
"ZC3H13","MCC","AC005921.2","CNNM1","WNT5B","VSIG10L2","AC048341.1","NRG4","NPFFR1","AL353194.1","FAM167A","PIK3C2G","AC109449.1",NA,NA,NA,NA,NA,NA,NA,"TRMT9B","AC106795.2","SH2D4B",NA,"AL023803.3","AC091736.1","AC012409.1",NA
"NFIA","LINC02147","AC025048.4","AL391684.1","AC018653.3","KIRREL3","RASSF9","AC046168.2","UNC5B-AS1","CCM2L","C8orf49","AC009464.1","NPIPB7",NA,NA,NA,NA,NA,NA,NA,"TNFRSF10C","FBXO2","RIBC1",NA,"AL117382.1","HIST1H3C","AC015712.2",NA
"TXN","FBN2","AC005746.2","DNMBP-AS1","AC092821.3","AC004803.1","AC010201.2","AC023302.1","SPOCK2","Z98752.4","FGF20","ADCY6-DT","AC012645.4",NA,NA,NA,NA,NA,NA,NA,"AC084262.2","A2M","AL138478.1",NA,"RIPOR3","L3MBTL1","AL031600.3",NA
"RB1CC1","MINAR2","C17orf82","VENTX","PRH1","NRIP2","LINC02453","AC104260.1","LINC01374","TNNC2","NAT1","KRT78","CD2BP2-DT",NA,NA,NA,NA,NA,NA,NA,"AC090204.1","TPSB2","LRRC4",NA,"AL354836.1","LINC02298","AC005363.2",NA
"TTR","AC004775.1","BRIP1","SCART1","AC024940.6","NTF3","HELLPAR","AL031710.2","HTR7","EYA2","EGR3","MIP","AC093249.6",NA,NA,NA,NA,NA,NA,NA,"ADGRA2","CXorf65","GSTM1",NA,"AL121827.1","AC022079.2","AC009065.4",NA
"AC012360.3","LINC01843","LINC00482","AL161645.2","ALG10","LPAR5","MAP1LC3B2","AC106820.3","AL157388.1","ADAMTS5","AC104561.4","GRIP1","ZNF423",NA,NA,NA,NA,NA,NA,NA,"SFRP1","SLC19A3","SGO1",NA,"CU639417.4","ATRNL1","PRSS21",NA
"TRIP11","SMAD5-AS1","TSPAN10","MIR210HG","AC004241.3","AC023157.3","AC138466.3","PRSS21","AL162274.2","LINC01426","GNRH1","GLIPR1L2","CCDC113",NA,NA,NA,NA,NA,NA,NA,"DNAJC5B","HMSD","PIWIL2",NA,"MIR548XHG","ZNF850","LINC00921",NA
"APOC3","KLHL3","CHMP1B-AS1","CHRNA10","FAM186B","CPNE8-AS1","RB1-DT","LINC00920","C11orf21","AP000695.2","EBF2","TMTC2","DPEP2",NA,NA,NA,NA,NA,NA,NA,"SULF1","AC103703.1","AC010997.4",NA,"C21orf62-AS1","ZNF77","AC007014.2",NA
"EIF1","CDC25C","AC090912.1","LUZP2","ASIC1","PDZRN4","ARL11","CDH3","AC127526.4","TFF1","AC044849.1","ATP2B1-AS1","HYDIN",NA,NA,NA,NA,NA,NA,NA,"PKIA","SEZ6L2","DNM3",NA,"IL10RB-DT","GNAT2","NPIPB2",NA
"HSP90AA1","AC135457.1","AC017100.1","LINC02716","SCN8A","AC004466.1","TMEM272","AC126773.4","OR52N4","AP001053.1","AC090809.1","SOCS2-AS1","PMFBP1",NA,NA,NA,NA,NA,NA,NA,"STMN2","SLC6A19","AC005837.1",NA,"SMIM11A","RIMKLB","NPIPA5",NA
"ITIH4","DNAJC18","ASXL3","LRP4-AS1","C12orf81","AC010173.1","GPC5-IT1","HAS3","SCUBE2","LINC01424","ADAM32","CFAP54","AC004943.2",NA,NA,NA,NA,NA,NA,NA,"MMP16","OASL","AC090617.10",NA,"LINC01436","ZNF543","AC009093.1",NA
"NACA","AC011379.2","AC090236.1","AGBL2","AC009779.2","AGAP2-AS1","AL354811.1","AC020763.1","IGSF22","SLC7A4","AC024451.4","DEPDC4","AC009053.2",NA,NA,NA,NA,NA,NA,NA,"RUNX1T1","VIPR1","ZMYND10",NA,"DNMT3L","AC007620.2","CTF1",NA
"ALDH1L1","PCDHA3","AC064801.1","P2RX3","DPY19L2","AC048341.1","TGDS","VAT1L","LARGE2","IGLV1-51","AC113139.1","AC010205.1","AC009108.3",NA,NA,NA,NA,NA,NA,NA,"GEM","AP000553.2","PSMC3IP",NA,"RFPL1S","KCNMB3","CAPNS2",NA
"RGS5","PCDHB5","AC114341.1","RTN4RL2","GLIPR1L2","AC026124.2","DNAJC3-DT","AC099524.1","MS4A1","NEFH","MCMDC2","DTX1","AC010531.7",NA,NA,NA,NA,NA,NA,NA,"ESRP1","DGAT2","LINC00987",NA,"AL022322.1","AC026356.2","AC010531.6",NA
"MDS2","PCDHB12","AC006538.1","AP003419.3","E2F7","MYBPC1","PCCA-AS1","AC005410.2","CD5","CCDC157","CPA6","AC002070.1","AC010536.1",NA,NA,NA,NA,NA,NA,NA,"TSPYL5","AQP3","B3GALT2",NA,"USP51","GRK4","AC126696.3",NA
"RPS3","PCDHB14","AC007292.2","TBX10","AC012555.1","LINC02456","AL136526.1","CCL13","CTSW","AC005005.3","AC011029.1","WDR66","AC010538.1",NA,NA,NA,NA,NA,NA,NA,"ERICH5","PCAT18","CALCA",NA,"LINC01285","APCDD1L-DT","AC129507.2",NA
"RPL5","PCDHGA6","AC005523.2","LINC02754","AC089999.2","AC007541.1","AL157762.1","PNMT","CNIH2","INPP5J","IL7","B3GNT4","TRPV3",NA,NA,NA,NA,NA,NA,NA,"AP000424.1","KRT19","ERP27",NA,"AC005052.2","TMIGD2","AC130343.2",NA
"TMEM176B","PCDHGA7","AC010336.1","AP001992.2","RFLNA","LINC02356","MYO16","KRT39","FOLR3","RFPL3S","AC009812.1","HCAR3","HASPIN",NA,NA,NA,NA,NA,NA,NA,"GRHL2","DPT","AC021086.1",NA,"SMIM10L2B","IZUMO4","DLG4",NA
"PRRC2C","FGF1","AC018761.2","THRSP","AC131009.3","HNF1A-AS1","CARMIL3","KRTAP2-3","PLEKHB1","AL008582.1","LRRC69","ATP8A2","ZNF594",NA,NA,NA,NA,NA,NA,NA,"AP002851.1","CCL21","AP001412.1",NA,"SPANXB1","AC244100.3","AC127537.1",NA
"COX6A1","PRELID2","LINC01842","DLG2","PSPC1-AS2","WDR66","LINC01303","KRT31","UVRAG-DT","EFCAB6","RUNX1T1","LINC00543","DNAH2",NA,NA,NA,NA,NA,NA,NA,"CTHRC1","CCL4L2","AC008592.5",NA,"SPANXD","AP000926.2","RSKR",NA
"C2","PLAC8L1","ZNF676","AP000787.1","PAN3-AS1","FZD10-AS1","AL355916.1","AC003958.2","LINC02700","Z82243.1","AC120053.1","BRCA2","TVP23C",NA,NA,NA,NA,NA,NA,NA,"COL14A1","WASF3","AC007036.3",NA,"PRRG3","AC079779.1","SLFN12L",NA
"GSDMC","EBF1","AC139769.2","ELMOD1","AL161891.1","AC131009.3","TMEM229B","GALR2","AP001351.1","PRR34","AC087752.3","AL138963.4","AC093484.3",NA,NA,NA,NA,NA,NA,NA,"HAS2","H19","AC061958.1",NA,"FATE1","SYCP3","PPP1R1B",NA
"TCEA1","FBLL1","AC006504.1","AP000880.1","LINC00390","LINC02361","ACTN1-AS1","AC087645.2","POU2AF1","IL3RA","LINC01608","NEK5","AC007952.7",NA,NA,NA,NA,NA,NA,NA,"LINC00861","SSBP2","SLC9A2",NA,"PNMA5","ACRBP","AC015845.2",NA
"HMGB1","SLIT3","AC020907.1","AP002840.2","AL589745.1","C1QTNF9","PLEKHD1","AC132938.6","IL18","SYTL5","AC090192.2","BORA","AC087294.1",NA,NA,NA,NA,NA,NA,NA,"CASC8","TNFSF14","AC006329.1",NA,"CALML6","AC233723.1","TSPOAP1-AS1",NA
"AZGP1","C5orf58","GPR42","ANKK1","RB1-DT","LINC00412","DPF3","AC017100.1","CD3G","NXF3","KCNQ3","LINC02336","AC104564.4",NA,NA,NA,NA,NA,NA,NA,"LRRC6","SLC1A1","RN7SL832P",NA,"SMG7-AS1","AC007220.1","ZACN",NA
"AC005606.1","RANBP17","AC092295.2","TTC36","AL445989.1","PAN3-AS1","ACOT6","LINC01477","CXCR5","TCEAL7","AC083843.3","MIR17HG","KRT12",NA,NA,NA,NA,NA,NA,NA,"CCN4","F2RL1","HAS3",NA,"AC016995.1","LINC01526","AP005136.4",NA
"ZHX1","STC2","ZNF567","AP003392.5","PCDH9","N4BP2L2-IT2","AL133153.2","SLC14A2","UPK2","AL136169.1","TSNARE1","MCF2L-AS1","LINC00910",NA,NA,NA,NA,NA,NA,NA,"C8orf31","SOBP","AL133351.1",NA,"AC105345.1","KIAA0513","AP000919.3",NA
"AKR1C2","LINC01411","AC020928.1","ABCG4","F10-AS1","KCNRG","MEG8","AC104971.3","AP001994.2","SMIM10L2A","AC067930.8","THTPA","SPATA32",NA,NA,NA,NA,NA,NA,NA,"LY6H","CTSW","AC110792.3",NA,"AL359711.2","LINC01465","AP002478.1",NA
"RPL22","HRH2","CATSPERG","CLMP","AC244502.1","LINC00393","AL049840.6","AC026585.1","JHY","LHFPL5","MAPK15","TOGARAM1","EFCAB13",NA,NA,NA,NA,NA,NA,NA,"SPATC1","PRC1-AS1","AL020996.1",NA,"SLC26A7","AL163953.1","DLGAP1-AS3",NA
"SERPIND1","AC146507.3","CXCL17","HEPN1","REM2","CLDN10-AS1","PWRN4","DIPK1C","CACNA1C-AS1","AL033384.1","WDR97","AL356020.1","PRR15L",NA,NA,NA,NA,NA,NA,NA,"VLDLR-AS1","AL023284.4","AC023282.1",NA,"BX255925.1","AC010336.2","AP002449.1",NA
"HLA-E","AC008610.1","ZNF112","AP000844.2","REC8","RPGRIP1","AC023449.2","AC015819.1","CRACR2A","AC004540.2","ZNF250","FUT8","DLX4",NA,NA,NA,NA,NA,NA,NA,"GLIS3","KCNQ1OT1","AL391839.2",NA,"LRRC49","BEX1","AC091043.1",NA
"UBC","AC008443.1","AC093503.2","LINC00940","EGLN3","AL135744.1","GOLGA6L7","ADAMTSL5","AC005842.1","AL845472.1","CA9","AL691403.2","AC007485.1",NA,NA,NA,NA,NA,NA,NA,"BNC2","CXCL2","WDR86",NA,"MYH3","MCF2L-AS1","MEP1B",NA
"GGH","AL365272.1","AC010331.1","GPRC5A","AL121603.2","AL135999.3","AC020661.1","AC005256.1","CD27","WT1","AL133410.1","LINC02328","AC145343.1",NA,NA,NA,NA,NA,NA,NA,"HACD4","VSIG2","COLCA1",NA,"CCK","MYO7B","AC011815.2",NA
"MTRF1L","AL357054.4","AC026803.1","AC007528.1","AL162311.3","AKAP6","AC018362.1","AC008760.1","C1RL-AS1","ALDH1L2","BX664727.3","LINC01148","AC116025.1",NA,NA,NA,NA,NA,NA,NA,"CDKN2B","ECM1","AL359555.4",NA,"AC096586.1","BMP8B","MIR924HG",NA
"CWF19L2","FOXQ1","ZNF415","SLCO1A2","AL109628.2","AL161756.3","HYPK","CTXN1","FAM66C","AC105094.2","APBA1","ATP10A","AC145207.2",NA,NA,NA,NA,NA,NA,NA,"TEK","CNTFR","PYCR1",NA,"HMGN3-AS1","AC008667.4","AC104971.3",NA
"NSA2","AL512329.2","ZNF256","AC022364.1","KLHDC1","AL357153.1","SEMA6D","ZNF491","LINC00937","AL121782.1","MAMDC2","DPH6-DT","LINC01970",NA,NA,NA,NA,NA,NA,NA,"GLIPR2","BDP1","AC092652.2",NA,"PXDNL","AL118505.1","AC090409.1",NA
"LINC02246","GMDS-DT","AC012313.5","AC009318.4","ATL1","AC005225.2","FAM227B","ZNF442","CLEC4D","AP000240.1","PTPDC1","RASGRP1","AC124283.1",NA,NA,NA,NA,NA,NA,NA,"AL162390.1","VWCE","DRAXIN",NA,"AC007066.2","SMIM11B","LIVAR",NA
"CYP27A1","MYLK4","MACROD2","TMTC1","AL365295.1","AC007686.3","AC022306.3","AC006504.7","CLEC4E","PCDH7","AL354861.2","RAD51-AS1","ARHGAP28",NA,NA,NA,NA,NA,NA,NA,"RORB","FETUB","IGSF21",NA,"AP000802.1","LINC02777","ZNF236-DT",NA
"CD63","AL391422.4","AL121772.3","DDX11-AS1","LINC02331","NOXRED1","GLDN","AD000090.1","AC092821.3","NPY2R","ZNF367","TERB2","NDUFV2-AS1",NA,NA,NA,NA,NA,NA,NA,"GAS1","LINC01359","ZNF441",NA,"KRT86","AL031595.3","ZNF236",NA
"SCAPER","AL391422.2","WFDC10A","AC084824.4","CCDC196","AL133467.2","AC090970.2","AC005614.1","KLRB1","CDKN2A","ZNF510","AC051619.5","AC006238.1",NA,NA,NA,NA,NA,NA,NA,"ROR2","CXCL12","C3orf14",NA,"AC012358.3","AC005520.5","AC125437.1",NA
"MAN1A2","AL138831.2","WFDC11","AC008014.1","FAM71D","TCL1A","AC018926.2","PSG1","AC010186.3","ZNF521","ZNF782","ATP8B4","AP005131.7",NA,NA,NA,NA,NA,NA,NA,"OGN","BHMT","AL096803.2",NA,"IHH","LRRC37B","AC068473.5",NA
"ARHGEF6","AL021328.1","AL031666.1","AC004241.1","AC004816.1","TDRD9","AC007950.2","IGFL2","CLEC2D","SOCS2-AS1","NIPSNAP3B","LINC02490","AC090772.3",NA,NA,NA,NA,NA,NA,NA,"OMD","ZFHX2-AS1","IL1RL2",NA,"ZNF12","AL136295.7","LRRC8E",NA
"RPS5","BMP6","SNAI1","AC121338.2","AL121839.2","TEX22","AC011939.3","DHDH","CLECL1","LHB","ABITRAM","WDR72","ST8SIA5",NA,NA,NA,NA,NA,NA,NA,"ASPN","AC137630.4","TSPAN15",NA,"ENTPD1-AS1","PEAK3","AC020931.1",NA
"CD74","ELOVL2-AS1","PTK6","LINC01465","SYNE3","PWRN1","AC116913.1","HRC","CD69","ELAVL3","WDR31","UNC13C","AZU1",NA,NA,NA,NA,NA,NA,NA,"ZNF462","AL163973.3","DDN-AS1",NA,"AC156455.1","ODC1-DT","AC022098.1",NA
"ALDOB","AL157373.1","CU638689.4","HMGA2","AL355096.1","AC091057.6","AC016355.1","KLK6","TAS2R14","LINC01725","AL356481.1","ALDH1A2","TBXA2R",NA,NA,NA,NA,NA,NA,NA,"ZNF483","FAM151A","NEB",NA,"C17orf82","CARD8-AS1","TMEM221",NA
"PRDX1","LINC01108","FP236241.1","AC090015.1","LINC01193","RAD51","CORO2B","IL11","AC023790.2","AC096677.1","AL158151.3","SLC51B","TJP3",NA,NA,NA,NA,NA,NA,NA,"SLC46A2","AC104564.5","AL355999.1",NA,"SEMA4F","MCM9","AC092279.1",NA
"GLI3","DTNBP1","KCNJ6","OTOGL","GABRB3","DUOX1","ADPGK-AS1","RSPO4","ST8SIA1","CXCL11","FIBCD1","CILP","SHD",NA,NA,NA,NA,NA,NA,NA,"PAPPA","LEAP2","C1orf210",NA,"FSBP","AC011511.3","AC008556.1",NA
"NUTF2","AL133255.1","LCA5L","AC010201.1","AC009268.2","AC051619.6","RHCG","AL117335.1","LRMP","KRT17","AL590226.1","IGDCC3","AC005523.2",NA,NA,NA,NA,NA,NA,NA,"PTGS1","APOA1","OR8G5",NA,"AL353801.1","ZNF695","AC092296.1",NA
"RP9","AL590062.1","LINC00313","AC026765.3","LINC02345","HDC","DNASE1L2","LINC00653","OVCH1-AS1","AC068875.1","CDNF","AC026992.1","PTPRS",NA,NA,NA,NA,NA,NA,NA,"AL162424.1","LIFR","SCRN3",NA,"AC093849.2","AC073389.1","ZNF546",NA
"ETFB","OR2I1P","LINC01424","HCAR2","AC023908.3","AC103691.1","PRSS27","FAM242A","LINC02422","LAMP3","TRDMT1","TM6SF1","TNFSF9",NA,NA,NA,NA,NA,NA,NA,"CERCAM","AC073195.1","CD209",NA,"UNC93A","AC025271.4","AC006213.3",NA
"HSPA5","TRIM40","ITGB2-AS1","AC079949.5","C15orf56","DRAIC","ZNF597","C20orf144","AC046130.2","AC005009.1","LINC01517","AC087477.2","ZNF442",NA,NA,NA,NA,NA,NA,NA,"PTGES","MALAT1","PCDHA5",NA,"SYCP3","PFKFB1","AC006213.4",NA
"AC026726.1","AL662844.4","LINC00528","AL138820.1","STARD9","HEXA-AS1","LINC02152","WFDC9","TESPA1","SLC35E4","LYZL2","CCDC154","FXYD3",NA,NA,NA,NA,NA,NA,NA,"SLC2A6","AC087741.2","MELTF",NA,"MAFTRR","FSIP2-AS2","KLC3",NA
"SPP1","LY6G6D","DGCR11","AL354696.2","AC025580.3","NTRK3","AC007221.1","WFDC11","IL23A","TFF3","ZNF487","AC106820.4","ZFP82",NA,NA,NA,NA,NA,NA,NA,"COL5A1","VTN","AC090517.2",NA,"AC005009.2","AC125257.2","DM1-AS",NA
"ARHGAP29","VWA7","AL031186.1","RNASEH2B-AS1","AC090517.2","SPATA41","AC010654.1","WFDC3","AC025164.1","N4BP3","AL356056.2","AC108134.4","KCNK6",NA,NA,NA,NA,NA,NA,NA,"FCN1","STMN2","NLGN4X",NA,"AL031055.1","AC007998.3","AC008532.1",NA
"DST","AL662884.3","RASL10A","RBM26-AS1","AC010999.2","HAGHL","TMC7","CTCFL","LINC02397","AC073575.2","FAM245B","AC006111.2","CCER2",NA,NA,NA,NA,NA,NA,NA,"OLFM1","FABP1","IPCEF1",NA,"AC109809.1","SLC4A5","KCNJ14",NA
"MT2A","COL11A2","RNF215","AL445647.1","TPM1-AS","AC092117.1","AC002550.2","APCDD1L-DT","DTX1","FUT1","ASAH2","AC092338.3","ERVK9-11",NA,NA,NA,NA,NA,NA,NA,"AL590226.1","C7","HCN1",NA,"LCN6","MEIOC","C19orf73",NA
"A1BG","FOXP4-AS1","AC005005.4","CLDN10-AS1","AC100830.3","AC108134.4","ZNF843","LINC01711","RASAL1","DLL1","ZNF365","ATP2A1-AS1","AC005393.1",NA,NA,NA,NA,NA,NA,NA,"LCNL1","HGF","NIPAL1",NA,"CHRNA10","GLP2R","PRRG2",NA
"SDC2","MDFI","SHISA8","STK24-AS1","ZNF774","TMC7","AC023813.3","C20orf197","RNFT2","CUBN","AC016394.1","PRRT2","AC006213.3",NA,NA,NA,NA,NA,NA,NA,"C9orf139","CCDC66","AC055855.2",NA,"LINC00562","AP003352.1","FAM71E1",NA
"PFN1","PRICKLE4","KLHDC7B","AL589182.1","LINC02253","GDPD3","LINC02128","HAR1A","HRK","CCL17","AC073389.3","AC012645.1","ZNF234",NA,NA,NA,NA,NA,NA,NA,"SFMBT2","MRGPRF","C3orf85",NA,"SLC8B1","MAST1","LRRC4B",NA
