time,V_C.nT1,V_C.T1,V_C.nT0,V_C.T0,V_C.nivolumab,V_C.cabozantinib,V_C.A_site1,V_C.A_site2,V_P.nT1,V_P.T1,V_P.nT0,V_P.T0,V_P.nivolumab,V_P.cabozantinib,V_T.C_x,V_T.T_exh,V_T.C1,V_T.T1,V_T.T0,V_T.APC,V_T.mAPC,V_T.c,V_T.P0,V_T.P1,V_T.nivolumab,V_T.cabozantinib,V_T.v_cabo,V_LN.nT1,V_LN.aT1,V_LN.T1,V_LN.IL2,V_LN.nT0,V_LN.aT0,V_LN.T0,V_LN.APC,V_LN.mAPC,V_LN.nivolumab,V_LN.cabozantinib,V_e.P0,V_e.p0,V_e.P1,V_e.p1,A_e.M1,A_e.M1p0,A_e.M1p1,A_s.M1,A_s.M1p0,A_s.M1p1,syn_CT.PD1_PDL1,syn_CT.PD1_PDL2,syn_CT.PD1_aPD1,syn_CT.PD1_aPD1_PD1,syn_CT.PDL1_aPDL1,syn_CT.PDL1_aPDL1_PDL1,syn_DN.CD28_CD80,syn_DN.CD28_CD80_CD28,syn_DN.CD28_CD86,syn_DN.PDL1_CD80,syn_DN.CTLA4_CD80,syn_DN.CTLA4_CD80_CTLA4,syn_DN.CD80_CTLA4_CD80,syn_DN.CTLA4_CD80_CTLA4_CD80,syn_DN.CTLA4_CD86,syn_DN.CD86_CTLA4_CD86,syn_DN.CTLA4_aCTLA4,syn_DN.CTLA4_aCTLA4_CTLA4,syn_DN.PDL1_aPDL1,syn_DN.PDL1_aPDL1_PDL1,Treg_P.CTLA4_aCTLA4,Treg_P.CTLA4_aCTLA4_CTLA4,Treg_T.CTLA4_aCTLA4,Treg_T.CTLA4_aCTLA4_CTLA4
254,157.783,635887,3.12911,318278,1.35612e-07,2.01243e-07,5.81138e-06,0.00011951,1309.72,3.28844e+06,25.9697,2.33712e+06,1.56026e-08,2.63999e-11,2.44677e+08,1.55613e+08,8.01037e+10,5.61377e+08,1.0372e+10,3.85352e+06,2.59509e+06,35377,1.48412e-05,1.48412e-06,1.13072e-07,1.04175e-07,1.08136e+11,7.76221,164.589,3.62226e+09,3.19405e-08,0.0307762,61.1209,1.81034e+09,5e+08,2.28044e+07,4.79475e-08,1.02133e-09,1.23689e-05,1.47472e-06,1.23689e-06,1.47471e-07,104.238,0.768267,0.0768496,1.50122,11.348,2.01303,2.09916,0.191417,0.511872,9.30833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,157.779,637737,3.12911,319209,1.33965e-07,1.95737e-07,5.36959e-06,0.000117825,1309.69,3.30115e+06,25.9697,2.34716e+06,1.54551e-08,2.56776e-11,2.44117e+08,1.55608e+08,8.00293e+10,5.60829e+08,1.03717e+10,3.84997e+06,2.59271e+06,35332.3,1.48196e-05,1.48196e-06,1.11685e-07,1.01325e-07,1.07821e+11,7.75887,164.588,3.62222e+09,3.19403e-08,0.0307762,61.1209,1.81034e+09,5e+08,2.27849e+07,4.73207e-08,9.93389e-10,1.23509e-05,1.47257e-06,1.23509e-06,1.47257e-07,104.254,0.767265,0.0767493,1.50143,11.3466,2.01408,2.11014,0.192419,0.508944,9.30378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,157.776,639550,3.12911,320122,1.32339e-07,1.90512e-07,4.96139e-06,0.000116164,1309.66,3.31367e+06,25.9697,2.35706e+06,1.53082e-08,2.49922e-11,2.43557e+08,1.55603e+08,7.99548e+10,5.60281e+08,1.03715e+10,3.84642e+06,2.59032e+06,35287.3,1.4798e-05,1.4798e-06,1.10319e-07,9.86198e-08,1.07514e+11,7.75555,164.587,3.62219e+09,3.19401e-08,0.0307762,61.1209,1.81034e+09,5e+08,2.27654e+07,4.67031e-08,9.66871e-10,1.23329e-05,1.47042e-06,1.23329e-06,1.47042e-07,104.272,0.766277,0.0766506,1.50168,11.3452,2.01512,2.12114,0.193423,0.50604,9.29921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,157.772,641325,3.12911,321015,1.30736e-07,1.85548e-07,4.58422e-06,0.000114527,1309.63,3.32599e+06,25.9697,2.36684e+06,1.5162e-08,2.4341e-11,2.42995e+08,1.55598e+08,7.98804e+10,5.59732e+08,1.03712e+10,3.84287e+06,2.58794e+06,35241.9,1.47763e-05,1.47763e-06,1.08971e-07,9.60502e-08,1.07216e+11,7.75226,164.587,3.62216e+09,3.19399e-08,0.0307762,61.1209,1.81034e+09,5e+08,2.27458e+07,4.60946e-08,9.41677e-10,1.23148e-05,1.46827e-06,1.23148e-06,1.46827e-07,104.293,0.765304,0.0765532,1.50197,11.3438,2.01616,2.13216,0.194428,0.50316,9.29461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,157.768,643062,3.12911,321890,1.29154e-07,1.80827e-07,4.23573e-06,0.000112912,1309.6,3.33811e+06,25.9697,2.37648e+06,1.50165e-08,2.37217e-11,2.42433e+08,1.55594e+08,7.98059e+10,5.59182e+08,1.0371e+10,3.83932e+06,2.58555e+06,35196.4,1.47546e-05,1.47546e-06,1.07643e-07,9.36064e-08,1.06925e+11,7.74899,164.586,3.62212e+09,3.19398e-08,0.0307763,61.1209,1.81034e+09,5e+08,2.27262e+07,4.54951e-08,9.17718e-10,1.22967e-05,1.46611e-06,1.22967e-06,1.4661e-07,104.316,0.764345,0.0764573,1.50229,11.3423,2.01719,2.1432,0.195436,0.500304,9.28999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,157.764,644761,3.12911,322746,1.27593e-07,1.76333e-07,3.91372e-06,0.00011132,1309.56,3.35004e+06,25.9697,2.38599e+06,1.48718e-08,2.31321e-11,2.41869e+08,1.55589e+08,7.97315e+10,5.58633e+08,1.03708e+10,3.83576e+06,2.58316e+06,35150.6,1.47328e-05,1.47328e-06,1.06333e-07,9.12799e-08,1.06642e+11,7.74575,164.585,3.62209e+09,3.19396e-08,0.0307763,61.1208,1.81034e+09,5e+08,2.27065e+07,4.49043e-08,8.94909e-10,1.22786e-05,1.46394e-06,1.22786e-06,1.46394e-07,104.342,0.763399,0.0763627,1.50264,11.3407,2.01821,2.15426,0.196445,0.497472,9.28535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,157.761,646424,3.12911,323583,1.26053e-07,1.7205e-07,3.6162e-06,0.000109751,1309.53,3.36178e+06,25.9697,2.39537e+06,1.47277e-08,2.25702e-11,2.41304e+08,1.55584e+08,7.96571e+10,5.58082e+08,1.03705e+10,3.83221e+06,2.58077e+06,35104.6,1.47109e-05,1.47109e-06,1.05042e-07,8.90627e-08,1.06367e+11,7.74253,164.584,3.62206e+09,3.19395e-08,0.0307763,61.1208,1.81034e+09,5e+08,2.26868e+07,4.43222e-08,8.73172e-10,1.22604e-05,1.46177e-06,1.22604e-06,1.46177e-07,104.369,0.762467,0.0762694,1.50303,11.3391,2.01923,2.16534,0.197455,0.494662,9.28068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,157.757,648050,3.12911,324402,1.24534e-07,1.67964e-07,3.34129e-06,0.000108204,1309.5,3.37331e+06,25.9697,2.40461e+06,1.45844e-08,2.20342e-11,2.40739e+08,1.55579e+08,7.95827e+10,5.57532e+08,1.03703e+10,3.82865e+06,2.57838e+06,35058.2,1.4689e-05,1.4689e-06,1.03768e-07,8.69475e-08,1.06099e+11,7.73933,164.583,3.62203e+09,3.19393e-08,0.0307763,61.1208,1.81034e+09,5e+08,2.2667e+07,4.37486e-08,8.52435e-10,1.22421e-05,1.45959e-06,1.22421e-06,1.45959e-07,104.399,0.761547,0.0761774,1.50344,11.3375,2.02024,2.17644,0.198468,0.491876,9.27599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,157.753,649640,3.12911,325203,1.23035e-07,1.64062e-07,3.08729e-06,0.000106678,1309.47,3.38465e+06,25.9697,2.41372e+06,1.44419e-08,2.15223e-11,2.40173e+08,1.55574e+08,7.95083e+10,5.56981e+08,1.037e+10,3.8251e+06,2.57599e+06,35011.6,1.46671e-05,1.46671e-06,1.02513e-07,8.49275e-08,1.05839e+11,7.73616,164.583,3.622e+09,3.19391e-08,0.0307764,61.1208,1.81034e+09,5e+08,2.26471e+07,4.31832e-08,8.3263e-10,1.22238e-05,1.45741e-06,1.22238e-06,1.4574e-07,104.431,0.760639,0.0760866,1.50389,11.3358,2.02125,2.18755,0.199482,0.489113,9.27128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,157.749,651194,3.12911,325985,1.21555e-07,1.60331e-07,2.85259e-06,0.000105174,1309.44,3.3958e+06,25.9697,2.4227e+06,1.43003e-08,2.10329e-11,2.39605e+08,1.55569e+08,7.94341e+10,5.5643e+08,1.03698e+10,3.82155e+06,2.57361e+06,34964.8,1.46451e-05,1.46451e-06,1.01274e-07,8.29963e-08,1.05585e+11,7.73301,164.582,3.62197e+09,3.1939e-08,0.0307764,61.1208,1.81034e+09,5e+08,2.26272e+07,4.26261e-08,8.13697e-10,1.22055e-05,1.45522e-06,1.22055e-06,1.45521e-07,104.465,0.759744,0.0759971,1.50437,11.3341,2.02225,2.19869,0.200498,0.486372,9.26655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,157.746,652712,3.12911,326750,1.20095e-07,1.56761e-07,2.63573e-06,0.000103691,1309.41,3.40675e+06,25.9697,2.43154e+06,1.41594e-08,2.05645e-11,2.39037e+08,1.55564e+08,7.93598e+10,5.55879e+08,1.03695e+10,3.818e+06,2.57122e+06,34917.8,1.4623e-05,1.4623e-06,1.00053e-07,8.11482e-08,1.05339e+11,7.72988,164.581,3.62194e+09,3.19388e-08,0.0307764,61.1208,1.81034e+09,5e+08,2.26073e+07,4.2077e-08,7.95578e-10,1.21871e-05,1.45302e-06,1.21871e-06,1.45302e-07,104.502,0.758861,0.0759087,1.50488,11.3323,2.02324,2.20985,0.201516,0.483654,9.2618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,157.742,654194,3.12911,327497,1.18655e-07,1.5334e-07,2.43536e-06,0.000102229,1309.38,3.4175e+06,25.9697,2.44024e+06,1.40194e-08,2.01158e-11,2.38469e+08,1.55559e+08,7.92857e+10,5.55328e+08,1.03693e+10,3.81445e+06,2.56883e+06,34870.4,1.46009e-05,1.46009e-06,9.88484e-08,7.93776e-08,1.05099e+11,7.72677,164.58,3.62191e+09,3.19387e-08,0.0307765,61.1208,1.81034e+09,5e+08,2.25873e+07,4.15358e-08,7.78219e-10,1.21687e-05,1.45082e-06,1.21687e-06,1.45082e-07,104.54,0.757988,0.0758214,1.50542,11.3305,2.02423,2.22103,0.202536,0.480958,9.25702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,157.738,655641,3.12911,328226,1.17233e-07,1.5006e-07,2.25022e-06,0.000100788,1309.34,3.42806e+06,25.9697,2.44881e+06,1.38802e-08,1.96855e-11,2.37899e+08,1.55554e+08,7.92116e+10,5.54777e+08,1.03691e+10,3.81091e+06,2.56645e+06,34822.8,1.45787e-05,1.45787e-06,9.76603e-08,7.76797e-08,1.04867e+11,7.72369,164.58,3.62188e+09,3.19385e-08,0.0307765,61.1208,1.81034e+09,5e+08,2.25673e+07,4.10023e-08,7.61573e-10,1.21502e-05,1.44862e-06,1.21502e-06,1.44861e-07,104.581,0.757127,0.0757353,1.50599,11.3287,2.02521,2.23222,0.203557,0.478283,9.25223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,157.735,657054,3.12911,328937,1.1583e-07,1.46911e-07,2.07916e-06,9.93673e-05,1309.31,3.43842e+06,25.9697,2.45725e+06,1.37419e-08,1.92725e-11,2.37329e+08,1.55548e+08,7.91376e+10,5.54226e+08,1.03688e+10,3.80737e+06,2.56406e+06,34775.1,1.45565e-05,1.45565e-06,9.64883e-08,7.60496e-08,1.0464e+11,7.72062,164.579,3.62186e+09,3.19384e-08,0.0307765,61.1208,1.81034e+09,5e+08,2.25472e+07,4.04765e-08,7.45592e-10,1.21317e-05,1.4464e-06,1.21317e-06,1.4464e-07,104.623,0.756277,0.0756502,1.50659,11.3268,2.02618,2.24344,0.204581,0.47563,9.24741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,157.731,658432,3.12911,329632,1.14445e-07,1.43886e-07,1.9211e-06,9.79664e-05,1309.28,3.44858e+06,25.9697,2.46555e+06,1.36045e-08,1.88755e-11,2.36758e+08,1.55543e+08,7.90637e+10,5.53675e+08,1.03686e+10,3.80383e+06,2.56168e+06,34726.9,1.45342e-05,1.45342e-06,9.53322e-08,7.44833e-08,1.04421e+11,7.71758,164.578,3.62183e+09,3.19383e-08,0.0307766,61.1208,1.81034e+09,5e+08,2.25271e+07,3.99582e-08,7.30235e-10,1.21131e-05,1.44419e-06,1.21131e-06,1.44418e-07,104.668,0.755436,0.0755662,1.50721,11.3249,2.02715,2.25467,0.205605,0.472998,9.24257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,157.727,659776,3.12911,330309,1.13079e-07,1.40975e-07,1.77506e-06,9.65853e-05,1309.25,3.45856e+06,25.9697,2.47371e+06,1.3468e-08,1.84937e-11,2.36187e+08,1.55538e+08,7.899e+10,5.53124e+08,1.03683e+10,3.8003e+06,2.5593e+06,34678.5,1.45118e-05,1.45118e-06,9.41917e-08,7.29766e-08,1.04207e+11,7.71456,164.578,3.6218e+09,3.19381e-08,0.0307766,61.1208,1.81034e+09,5e+08,2.2507e+07,3.94472e-08,7.15463e-10,1.20945e-05,1.44196e-06,1.20945e-06,1.44196e-07,104.714,0.754606,0.0754831,1.50787,11.323,2.02812,2.26592,0.206632,0.470388,9.23771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,157.724,661085,3.12911,330969,1.1173e-07,1.38172e-07,1.64012e-06,9.52236e-05,1309.22,3.46834e+06,25.9697,2.48174e+06,1.33325e-08,1.8126e-11,2.35615e+08,1.55533e+08,7.89163e+10,5.52574e+08,1.03681e+10,3.79677e+06,2.55692e+06,34630,1.44894e-05,1.44894e-06,9.30665e-08,7.15258e-08,1.04e+11,7.71155,164.577,3.62178e+09,3.1938e-08,0.0307766,61.1208,1.81034e+09,5e+08,2.24869e+07,3.89435e-08,7.0124e-10,1.20759e-05,1.43973e-06,1.20759e-06,1.43973e-07,104.763,0.753786,0.0754011,1.50855,11.321,2.02907,2.2772,0.20766,0.467798,9.23283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,157.72,662362,3.12911,331612,1.10398e-07,1.35471e-07,1.51543e-06,9.38812e-05,1309.19,3.47792e+06,25.9697,2.48963e+06,1.31978e-08,1.77717e-11,2.35042e+08,1.55528e+08,7.88427e+10,5.52023e+08,1.03678e+10,3.79324e+06,2.55455e+06,34581.2,1.4467e-05,1.4467e-06,9.19564e-08,7.01276e-08,1.03799e+11,7.70857,164.576,3.62175e+09,3.19378e-08,0.0307767,61.1208,1.81033e+09,5e+08,2.24667e+07,3.8447e-08,6.87532e-10,1.20571e-05,1.4375e-06,1.20571e-06,1.4375e-07,104.813,0.752975,0.07532,1.50926,11.319,2.03003,2.28849,0.208691,0.465228,9.22793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,157.716,663604,3.12911,332239,1.09084e-07,1.32865e-07,1.40023e-06,9.25576e-05,1309.16,3.48732e+06,25.9697,2.49738e+06,1.30641e-08,1.74299e-11,2.34469e+08,1.55523e+08,7.87693e+10,5.51473e+08,1.03676e+10,3.78972e+06,2.55217e+06,34532.2,1.44445e-05,1.44445e-06,9.08612e-08,6.87787e-08,1.03604e+11,7.70561,164.575,3.62172e+09,3.19377e-08,0.0307767,61.1208,1.81033e+09,5e+08,2.24465e+07,3.79574e-08,6.74307e-10,1.20384e-05,1.43526e-06,1.20384e-06,1.43526e-07,104.865,0.752174,0.0752398,1.50999,11.317,2.03097,2.2998,0.209723,0.462679,9.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,157.713,664814,3.12911,332849,1.07786e-07,1.30349e-07,1.29378e-06,9.12527e-05,1309.13,3.49653e+06,25.9697,2.50501e+06,1.29313e-08,1.70998e-11,2.33895e+08,1.55518e+08,7.8696e+10,5.50923e+08,1.03674e+10,3.78621e+06,2.5498e+06,34483,1.44219e-05,1.44219e-06,8.97805e-08,6.74762e-08,1.03415e+11,7.70267,164.575,3.6217e+09,3.19376e-08,0.0307767,61.1207,1.81033e+09,5e+08,2.24263e+07,3.74747e-08,6.61538e-10,1.20196e-05,1.43301e-06,1.20196e-06,1.43301e-07,104.919,0.751381,0.0751605,1.51075,11.3149,2.03192,2.31113,0.210756,0.46015,9.21806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,157.709,665991,3.12911,333442,1.06506e-07,1.27918e-07,1.19543e-06,8.99662e-05,1309.1,3.50554e+06,25.9696,2.51249e+06,1.27995e-08,1.67808e-11,2.33321e+08,1.55513e+08,7.86228e+10,5.50374e+08,1.03671e+10,3.7827e+06,2.54744e+06,34433.7,1.43993e-05,1.43993e-06,8.87142e-08,6.62174e-08,1.03232e+11,7.69975,164.574,3.62167e+09,3.19374e-08,0.0307768,61.1207,1.81033e+09,5e+08,2.24061e+07,3.69988e-08,6.49196e-10,1.20008e-05,1.43076e-06,1.20008e-06,1.43076e-07,104.974,0.750597,0.0750821,1.51154,11.3128,2.03285,2.32249,0.211792,0.457641,9.21309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,157.706,667136,3.12911,334019,1.05241e-07,1.25565e-07,1.10455e-06,8.86979e-05,1309.07,3.51437e+06,25.9696,2.51984e+06,1.26687e-08,1.64722e-11,2.32747e+08,1.55507e+08,7.85498e+10,5.49825e+08,1.03669e+10,3.77919e+06,2.54508e+06,34384.1,1.43766e-05,1.43766e-06,8.7662e-08,6.49997e-08,1.03054e+11,7.69685,164.573,3.62165e+09,3.19373e-08,0.0307768,61.1207,1.81033e+09,5e+08,2.23858e+07,3.65295e-08,6.37258e-10,1.19819e-05,1.42851e-06,1.19819e-06,1.4285e-07,105.032,0.749821,0.0750045,1.51235,11.3106,2.03378,2.33386,0.212829,0.455152,9.20811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,157.702,668248,3.12911,334580,1.03993e-07,1.23288e-07,1.02058e-06,8.74474e-05,1309.04,3.523e+06,25.9696,2.52706e+06,1.25388e-08,1.61734e-11,2.32172e+08,1.55502e+08,7.8477e+10,5.49277e+08,1.03666e+10,3.7757e+06,2.54272e+06,34334.4,1.43539e-05,1.43539e-06,8.66236e-08,6.38208e-08,1.02882e+11,7.69396,164.573,3.62162e+09,3.19372e-08,0.0307768,61.1207,1.81033e+09,5e+08,2.23656e+07,3.60668e-08,6.257e-10,1.19629e-05,1.42624e-06,1.19629e-06,1.42624e-07,105.091,0.749054,0.0749277,1.51318,11.3084,2.03471,2.34525,0.213868,0.452682,9.20311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,157.698,669329,3.12911,335125,1.02761e-07,1.21081e-07,9.42998e-07,8.62146e-05,1309.01,3.53146e+06,25.9696,2.53414e+06,1.24099e-08,1.58839e-11,2.31596e+08,1.55497e+08,7.84043e+10,5.48729e+08,1.03664e+10,3.77221e+06,2.54037e+06,34284.4,1.43311e-05,1.43311e-06,8.55989e-08,6.26784e-08,1.02715e+11,7.6911,164.572,3.6216e+09,3.1937e-08,0.0307769,61.1207,1.81033e+09,5e+08,2.23453e+07,3.56105e-08,6.145e-10,1.19439e-05,1.42397e-06,1.19439e-06,1.42397e-07,105.152,0.748294,0.0748517,1.51405,11.3062,2.03563,2.35665,0.214908,0.450231,9.19808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,157.695,670378,3.12911,335654,1.01544e-07,1.18941e-07,8.7131e-07,8.49991e-05,1308.98,3.53972e+06,25.9696,2.54109e+06,1.2282e-08,1.56032e-11,2.31021e+08,1.55492e+08,7.83318e+10,5.48181e+08,1.03662e+10,3.76873e+06,2.53802e+06,34234,1.43082e-05,1.43082e-06,8.45876e-08,6.15706e-08,1.02554e+11,7.68825,164.571,3.62158e+09,3.19369e-08,0.0307769,61.1207,1.81033e+09,5e+08,2.23251e+07,3.51606e-08,6.03639e-10,1.19249e-05,1.4217e-06,1.19249e-06,1.4217e-07,105.214,0.747542,0.0747765,1.51493,11.304,2.03654,2.36808,0.215951,0.447799,9.19303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,157.691,671395,3.12911,336168,1.00343e-07,1.16864e-07,8.05073e-07,8.38008e-05,1308.95,3.5478e+06,25.9696,2.5479e+06,1.21551e-08,1.53307e-11,2.30445e+08,1.55487e+08,7.82594e+10,5.47634e+08,1.03659e+10,3.76525e+06,2.53567e+06,34183.5,1.42853e-05,1.42853e-06,8.35895e-08,6.04955e-08,1.02398e+11,7.68543,164.571,3.62155e+09,3.19368e-08,0.030777,61.1207,1.81033e+09,5e+08,2.23048e+07,3.47169e-08,5.93098e-10,1.19058e-05,1.41942e-06,1.19058e-06,1.41942e-07,105.278,0.746797,0.074702,1.51584,11.3017,2.03745,2.37953,0.216995,0.445386,9.18797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,157.688,672381,3.12911,336665,9.91566e-08,1.14847e-07,7.4387e-07,8.26194e-05,1308.92,3.5557e+06,25.9696,2.55458e+06,1.20292e-08,1.50661e-11,2.29869e+08,1.55481e+08,7.81873e+10,5.47088e+08,1.03657e+10,3.76178e+06,2.53333e+06,34132.7,1.42624e-05,1.42624e-06,8.26044e-08,5.94512e-08,1.02248e+11,7.68262,164.57,3.62153e+09,3.19366e-08,0.030777,61.1207,1.81033e+09,5e+08,2.22845e+07,3.42793e-08,5.82861e-10,1.18867e-05,1.41713e-06,1.18867e-06,1.41713e-07,105.344,0.746059,0.0746282,1.51677,11.2994,2.03836,2.391,0.218041,0.442992,9.18288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
