"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12","Pattern_13","Pattern_14","Pattern_15","Pattern_16","Pattern_17","Pattern_18","Pattern_19","Pattern_20","Pattern_21","Pattern_22","Pattern_23","Pattern_24"
"ATXN7L2","AL360012.1","ANKRD36","DUSP19","CYP4X1","PTGER3","TESK2","AL359711.2","ZNF19","SLC24A4","AC024560.4","GPR135","AL359513.1","FAM86B1","TEX43","PATJ","AMY2B","AL118558.3","IPO13","MINDY1","LRRC39","COA7","CACHD1","MED18"
"NBPF26","ZBTB8A","SCTR","CARF","ANKRD13C","AK5","CCDC17","AL139393.3","CCR7","C15orf62","SLC34A2","SLC16A5","AC055807.1","PRKCQ","HIST1H2AL","TYW3","GSTM5","AC060814.3","TRABD2B","AL391069.2","AL356488.3","TCEANC2","TCTEX1D1","FAM167B"
"NBPF15","FNDC5","HOXD9","KANSL1L","IFI44","AL359504.2","TMEM69","RSPH10B","HOXB6","AC003101.2","CXCL5","IL18RAP","LINC00920","ZMIZ1-AS1","PRPH2","MTF2","AL160006.1","AC123768.4","AL592182.2","CRTC2","GSTM2","MIGA1","TNNI3K","SH3D21"
"ANXA9","NCDN","LINC01934","DES","HS2ST1","ODF2L","IPP","HOXA4","AC015813.4","AC093462.1","AC097709.1","AC087623.2","AC092376.2","AL135925.1","COL10A1","AMPD2","LIX1L","FAM227B","RAB3B","FCRL2","CHI3L2","SSX2IP","RPF1","YRDC"
"CREB3L4","MANEAL","SGPP2","BRPF1","BCAR3","GBP5","CDKN2C","AC108449.2","AC005332.4","EMILIN3","AC004067.1","ZNF208","EFNB3","EMX2","HOXA10","LAMTOR5-AS1","NBPF14","TMC3-AS1","CC2D1B","MNDA","LINC02802","MCOLN2","LRRC8D","INPP5B"
"ACKR1","AL356055.1","COL4A3","THRB-IT1","AC105942.1","LRRC8C-DT","NDC1","PXDNL","LAMA1","AC016027.2","AC092611.1","AC132938.1","AP005205.2","AC127526.5","AC005089.1","TMIGD3","AC245297.2","MIR9-3HG","USP1","SLAMF1","AC242426.2","KYAT3","SYPL2","BMP8B"
"PPOX","EXO5","PASK","CCDC66","PRMT6","LINC02609","EFCAB7","PGM5-AS1","AC017100.1","Z73429.1","SMIM31","MYOM2","ZNF610","FAT3","TMEM213","MOV10","NBPF19","AC104035.1","ALG6","FCGR3B","TUFT1","CCDC18-AS1","WDR77","AL050341.2"
"C1orf226","HIVEP3","RTP5","CNTN3","CLCC1","AL109613.1","LEPROT","FFAR4","AC125437.1","CLHC1","AC091946.2","SOCS2-AS1","AP000223.1","H3F3C","COL22A1","MAGI3","HIST2H2BE","SOX8","SYDE2","FCRLA","S100A2","AC105942.1","MAB21L3","ZNF684"
"SELP","ERMAP","AC022007.1","MTRNR2L12","AMIGO1","SASS6","DIPK1A","PRDM11","FAM71E1","CD80","OSMR-AS1","CPAMD8","ZNF287","TTC6","AL354920.1","SIKE1","CIART","AC022167.2","BCAR3","DARS2","S100A1","PALMD","ZNF697","GUCA2B"
"NCF2","TTC39A","AC083855.2","GTPBP8","C1orf162","CDC14A","PRMT6","AP000866.6","CPXM1","AL645608.7","SPINK1","SPTSSB","AC027130.1","RASGRF1","ENTPD2","GPR89B","ANXA9","DNAH9","MAGI3","ZBTB37","AL162258.2","TRMT13","THEM4","SZT2"
"PLA2G4A","ORC1","TNNC1","ZBTB20","LINC01750","HENMT1","VAV3","NRIP2","KCNK15","CENPU","SPINK5","HRH2","COL4A6","ARNT2","AC073389.3","HIST2H2BE","ZNF687","AC104564.5","RSBN1","RASAL2","AL451085.2","RNPC3","S100A12","ST3GAL3"
"AL136456.1","KANK4","AC012467.2","TF","LRIG2","GSTM5","OVGP1","MFAP5","CDH4","MTRNR2L4","AL365272.1","TFCP2L1","NOVA1","ZG16B","AL133355.1","SF3B4","CGN","MMP28","DENND2C","CAMSAP2","BCAN","STRIP1","CHTOP","SLC6A9"
"REN","SPATA1","EPHA3","ERICH6-AS1","RSBN1","AL365361.1","HAO2-IT1","FGF9","AL121845.1","ZMYND10","C6orf52","RAB27B","ANKRD13B","AC007608.3","AL158212.3","RFX5","ATP1A2","TOB1-AS1","LINC00623","AL513217.1","ATP1A4","DDX20","LY9","PTCH2"
"SLC45A3","LRRC8D","ARL6","GMPS","TENT5C","LRIF1","VPS45","ARHGEF7-AS2","MN1","THAP9","STMND1","ZYG11A","SHLD1","USP6","MMP10","S100A14","USP21","HDHD5-AS1","LINC01719","KLHL12","ITLN1","HIPK1","KLHDC9","AL604028.1"
"YOD1","GLMN","GTPBP8","ACTRT3","NBPF26","DDX20","EFNA4","AL121820.3","MTRNR2L10","EXOC3L2","TRIM31","CPNE5","AC022915.1","DNAH2","ELMOD1","PYGO2","FCGR2A","ZNF611","ACP6","DSTYK","AL354714.1","DENND2C","PPOX","LURAP1"
"UTP25","RPAP2","PARP15","MB21D2","LINC02591","WDR3","RHBG","FAM81A","RAB40A","AL035458.2","SFTA2","ZNF529-AS1","OSBPL7","PROCA1","B4GALNT3","RIT1","DNM3OS","SLC6A19","THEM4","BATF3","RXRG","AL592494.1","NME7","CYP4Z1"
