"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12","Pattern_13","Pattern_14","Pattern_15","Pattern_16","Pattern_17","Pattern_18","Pattern_19","Pattern_20","Pattern_21","Pattern_22","Pattern_23","Pattern_24"
"PIM2","DNASE1L1",NA,"DCLRE1A","OAS2","CCAR2","CTXND1",NA,NA,NA,NA,NA,NA,NA,NA,"SLC25A17","MTRES1",NA,"ZNF691","MPZL2","MLANA","NAT14","NAPB","USP54"
"CARD16","COMMD10",NA,"ZCCHC4","GOLGA8A","TAP2","HELZ",NA,NA,NA,NA,NA,NA,NA,NA,"MPPED1","ASF1A",NA,"FARP2","LY9","CKMT1B","PEG3","FAM182B","POLR3A"
"UTP11","CCDC58",NA,"ITGB3BP","ALMS1","RAB34","SMLR1",NA,NA,NA,NA,NA,NA,NA,NA,"RTL6","TMEM184B",NA,"WDR3","STRADA","AC026254.2","ZNF550","PDRG1","GRID1"
"ACTR5","PIK3R4",NA,"AFAP1L2","RNF19B","RABGAP1","RAB40B",NA,NA,NA,NA,NA,NA,NA,NA,"BRD1","TCOF1",NA,"MED27","RIPK1","MEIS2","MZF1-AS1","PLAGL2","FAS"
"FCER1G","ZNF830",NA,"FAM43A","SLF2","PBX1","IL2RG",NA,NA,NA,NA,NA,NA,NA,NA,"DENND6B","ARHGAP4",NA,"NIP7","ZSCAN26","USP27X-AS1","ZCCHC3","TGIF2","HECTD2"
"PGBD1","KIAA1522",NA,"PAXIP1-AS2","PTRH1","TMC8","UPK3BL1",NA,NA,NA,NA,NA,NA,NA,NA,"ASMTL-AS1","CDK19",NA,"NGDN","HDDC2","RTCA-AS1","EBF4","SNAI1","BTAF1"
"MRAS","OTUD6B-AS1",NA,"AGTPBP1","ZNF808","CLEC4E","FAM106A",NA,NA,NA,NA,NA,NA,NA,NA,"PIGA","SRSF8",NA,"BAHCC1","DUSP2","AL360169.3","FASTKD5","TAF4","TBC1D12"
"SEPTIN8","ALDH3B1",NA,"SINHCAF","C12orf49","CXCL10","METTL14",NA,NA,NA,NA,NA,NA,NA,NA,"CDKL5","AP000487.1",NA,"PDZD11","SLC27A1","AC020656.1","ADAM33","AL357033.4","ZDHHC16"
"FYB2","PGAP3",NA,"ZMYND15","GAREM1","JMJD6","TNFAIP3",NA,NA,NA,NA,NA,NA,NA,NA,"PDK3","PELP1",NA,"WDR47","NSUN2","C16orf89","HSPA12B","LINC00659","TWNK"
"SMPD1","SLC52A2",NA,"LRRC39","TMEM101","ZNF200","RALGDS",NA,NA,NA,NA,NA,NA,NA,NA,"CHST7","PIGG",NA,"CD5","UTP25","LCNL1","MCM8","COL9A3","NPM3"
"DHX37","SH3RF2",NA,"GOLGA4","CHST9","DTD1","KRR1",NA,NA,NA,NA,NA,NA,NA,NA,"TRO","MTOR",NA,"PMEPA1","HSPB7","FZD10-AS1","SLX4IP","RTEL1","LDB1"
"NPY1R","C12orf49",NA,"TMEM233","SOS1","VPS54","CLPP",NA,NA,NA,NA,NA,NA,NA,NA,"Z83745.1","CLRN3",NA,"SCARA3","DOCK10","HSPB8","BTBD3","SAMD10","SFXN2"
"TNIK","MTX2",NA,"UTP23","FBXO42","ARF5","MSRA",NA,NA,NA,NA,NA,NA,NA,NA,"LINC01278","VNN3",NA,"ZNF717","AL023284.4","GORAB","NXT1","SOX18","CYP17A1"
"TMEM173","LOXL1",NA,"AC010894.2","DRAM2","USP4","NEK4",NA,NA,NA,NA,NA,NA,NA,NA,"STARD8","TOP1MT",NA,"ZNF496","MAP4K2","LINC02613","LINC01620","LINC02246","CNNM2"
"SNRNP35","ALKBH6",NA,"AC008443.5","P2RX4","TWF2","AC012358.3",NA,NA,NA,NA,NA,NA,NA,NA,"FTX","PEX14",NA,"CCDC85C","SMC4","ATP6V0E2-AS1","ZNF335","LINC00649","TAF5"
"CDK5RAP1","CLIP4",NA,"ZNF30","TENT2","MFSD11","ZNF264",NA,NA,NA,NA,NA,NA,NA,NA,"PBDC1","RCBTB1",NA,"ANKRD50","UBAP2","C16orf74","SLC12A5","AP000696.2","ADRB1"
"RAB40C","COA7",NA,"ZNF415","CLEC14A","PIP4P1","TBC1D7",NA,NA,NA,NA,NA,NA,NA,NA,"CENPI","PLEKHH1",NA,"LARP6","GIMAP4","FANK1","ELMO2","ZBTB21","ATRNL1"
"ESCO1","BSCL2",NA,"DNAH11","ALKBH6","RASSF1","PDRG1",NA,NA,NA,NA,NA,NA,NA,NA,"TBC1D8B","SCD5",NA,"LSM12","CHMP7","ACKR4","MRGBP","UBASH3A","RAB11FIP2"
"SCML2","SLC23A3",NA,"WDCP","MCM6","LBH","EXT2",NA,NA,NA,NA,NA,NA,NA,NA,"LINC01285","PDE10A",NA,"CD58","TSC22D4","AC078846.1","USP25","LINC00313","BTBD16"
"SRPK1","DYSF",NA,"MOB3B","CYTH4","HEG1","WDR20",NA,NA,NA,NA,NA,NA,NA,NA,"FAM122B","DIS3",NA,"NIPAL2","HOXB4","SLC7A11","JAM2","LINC01547","PSTK"
"C12orf43","DENND1A",NA,"FILIP1","USPL1","CSF3R","RPAIN",NA,NA,NA,NA,NA,NA,NA,NA,"FAM122C","ABI2",NA,"PPIE","SERTAD2","SLC16A1-AS1","CYYR1","SLC19A1","PWWP2B"
"GTPBP2","PAK1",NA,"SLC22A18AS","GLOD4","CA14","UTP6",NA,NA,NA,NA,NA,NA,NA,NA,"RTL8B","WDFY2",NA,"MRAP","CHD6","C2orf76","URB1-AS1","CECR2","ANO9"
"ZNF749","AC254562.2",NA,"CDK5R1","SH3BP5-AS1","HDAC7","RALGAPB",NA,NA,NA,NA,NA,NA,NA,NA,"GDI1","SMIM25",NA,"STK33","HDAC8","MIR762HG","SH3BGR","TUBA8","PIDD1"
"CCDC14","KIAA0319L",NA,"ZNF343","BPTF","FAF1","ALG12",NA,NA,NA,NA,NA,NA,NA,NA,"CLIC2","C9orf72",NA,"KDM2A","TMEM80","ZNF154","PRDM15","SLC2A11","CRACR2B"
"VPS37C","CELF6",NA,"ZNF841","PPP1R26-AS1","KCTD10","CA14",NA,NA,NA,NA,NA,NA,NA,NA,"AC004556.3","GABARAPL2",NA,"MARC2","ANKRD52","TRMT10B","LINC01679","ADORA2A","AP006285.1"
"KDM7A","KPNA2",NA,"MTRNR2L6","XAB2","PXK","PLA2G12A",NA,NA,NA,NA,NA,NA,NA,NA,"LDLRAP1","OTUD4",NA,"RFTN1","LIMD2","IQCK","ADARB1","AP000355.1","AC132217.1"
"SLC25A43","HILPDA",NA,"AC022144.1","SEPTIN6","KLF13","DHX58",NA,NA,NA,NA,NA,NA,NA,NA,"NECTIN3","PBX1",NA,"SEMA6C","CIAO3","AC027117.1","USP18","HSCB","ASCL2"
"PCNX4","PAN3",NA,"BMP8B","ZFC3H1","CFAP36","MYCL",NA,NA,NA,NA,NA,NA,NA,NA,"SLC35B3","TMEM63B",NA,"MYOM1","NADSYN1","TPX2","SUSD2","RASL10A","CHRNA10"
"GEMIN8","SFMBT1",NA,"FAM157C","CCDC137","SUSD6","MFSD14B",NA,NA,NA,NA,NA,NA,NA,NA,"AL590062.1","MTFR1",NA,"TMEM62","C10orf88","CLIP3","ZNRF3","C1QTNF6","TRIM34"
"AL023284.4","SGCE",NA,"MMP25","DYSF","FAM172A","FOXRED1",NA,NA,NA,NA,NA,NA,NA,NA,"ENPP4","EXOC6B",NA,"CHKA","CMTM7","NKD1","RHBDD3","MICALL1","TRIM66"
"ZNF516","SGK3",NA,"ZNF485","STS","RNF34","PIGP",NA,NA,NA,NA,NA,NA,NA,NA,"STK32C","KIF3B",NA,"MTCH1","SULT1C4","RAP2C-AS1","THOC5","PLA2G6","PRMT3"
"TMEM242","RAF1",NA,"LRRC4C","SOCS2","PBX2","AC007325.4",NA,NA,NA,NA,NA,NA,NA,NA,"TAF10","ADNP2",NA,"TDG","SEMA3B","C3orf62","PATZ1","TMEM184B","DCDC1"
"SKAP1","CCNH",NA,"KLHL20","CARMIL1","TYMS","DNAJC30",NA,NA,NA,NA,NA,NA,NA,NA,"AC012236.1","GON4L",NA,"CEP63","HAGHL","USP54","C22orf24","AL021707.8","DNAJC24"
"STK32C","GPRASP2",NA,"ZNF121","LTV1","DNAJC9","BOLA2B",NA,NA,NA,NA,NA,NA,NA,NA,"MOSMO","WFDC1",NA,"DUSP2","GPKOW","ZDHHC17","PHF5A","AL021707.6","IMMP1L"
"APAF1","NR2C2",NA,"ANAPC4","NDUFAF2","CEP170","LRRC75B",NA,NA,NA,NA,NA,NA,NA,NA,"AC135050.3","MPV17L2",NA,"TRAPPC2L","PPP3CA","TMEM86A","TCF20","APOBEC3C","ALKBH3"
"MUTYH","RNF220",NA,"AC007240.3","DYRK2","DTNBP1","TRIM22",NA,NA,NA,NA,NA,NA,NA,NA,"CCDC68","ASPN",NA,"PELO","PIP5K1A","HCAR1","SERHL2","PUDP","CHST1"
"CKLF","EXOSC8",NA,"TLCD1","IL17RA","PLEKHA2","NUDT8",NA,NA,NA,NA,NA,NA,NA,NA,"PET100","CTNS",NA,"CD69","BCL10","ZNF174","SBF1","TRAPPC2","C11orf49"
"C12orf29","HIRA",NA,"FN1","RUVBL2","PLEKHM3","HTRA2",NA,NA,NA,NA,NA,NA,NA,NA,"POFUT1","DMAP1",NA,"BLCAP","ZAP70","SLC6A8","SYCE3","POLA1","AGBL2"
"KIF26A","TNXB",NA,"ATP5MGL","WDR41","TMEM161B-AS1","MOV10",NA,NA,NA,NA,NA,NA,NA,NA,"CD40","PTRHD1",NA,"PDCD7","SLC16A3","UCHL1","PRKX","TBC1D25","NUP160"
"C9orf72","PDCL3",NA,"TMED8","IL16","DYRK2","KIF1BP",NA,NA,NA,NA,NA,NA,NA,NA,"PHF8","KLRD1",NA,"UBTD2","MMAA","KEL","FAM9B","WAS","P2RX3"
"RASA1","ZC3H7B",NA,"LINC00472","CD69","TRAF3IP3","CBWD1",NA,NA,NA,NA,NA,NA,NA,NA,"RABIF","INO80C",NA,"REEP1","KCTD10","RHNO1","TLR7","SUV39H1","CLP1"
"ZNF32","ATPAF2",NA,"GREB1L","KIFAP3","YBEY","VPS36",NA,NA,NA,NA,NA,NA,NA,NA,"CHRM2","RALB",NA,"RANBP3","FAM229A","GAL3ST3","ASB9","GLOD5","FEN1"
"ZNFX1","PLA2G7",NA,"DOC2B","PYURF","CMTR1","BCAS4",NA,NA,NA,NA,NA,NA,NA,NA,"BLNK","ANKRD28",NA,"GKAP1","GEMIN8","TMED8","RAI2","PPP1R3F","TTC9C"
"RAPGEF4","ZNF263",NA,"MYBL1","CHD8","SNX15","FCGR1A",NA,NA,NA,NA,NA,NA,NA,NA,"FNDC3A","FBXO44",NA,"HCCS","P3H1","AC022035.1","BCLAF3","TSPYL2","AP001160.4"
"PXDN","NGEF",NA,"PDCD1","PRPF4","NRF1","USP2",NA,NA,NA,NA,NA,NA,NA,NA,"PGP","RCC1L",NA,"DCTPP1","KLHL6","KCNJ2","XK","AMER1","SLC22A25"
"SLC16A11","MED1",NA,"C2CD4B","ZNF691","TLNRD1","LINC00294",NA,NA,NA,NA,NA,NA,NA,NA,"PPP4R1","DOCK7",NA,"HDAC7","GAB1","CENPBD1","CCDC22","HEPH","SLC22A9"
"PFN2","IMPACT",NA,"DDX21","FAM92A","TRBC1","DTNBP1",NA,NA,NA,NA,NA,NA,NA,NA,"PPARA","KCTD2",NA,"SLC12A2","PLXDC2","PKIA","BRWD3","TAF1","C11orf95"
"MRI1","TPRA1",NA,"NR3C2","WDR66","HLA-F","PLA2G2A",NA,NA,NA,NA,NA,NA,NA,NA,"FRA10AC1","MPP5",NA,"OGFOD2","FAM234B","AC008736.1","BEX5","HDAC8","PLCB3"
"METTL3","ZNF282",NA,"LMNTD2","RUNX3","TNFSF13","VPS26C",NA,NA,NA,NA,NA,NA,NA,NA,"HSPB8","NAIP",NA,"CANT1","BTN3A3","ANKRD6","BEX1","ZDHHC15","CDC42BPG"
"GPM6A","CHD1",NA,"SYT9","MROH6","FAM214A","GATB",NA,NA,NA,NA,NA,NA,NA,NA,"MLX","ZNHIT3",NA,"ERVK3-1","MZF1","MAPKAPK5-AS1","TCEAL1","TAF9B","PPP2R5B"
"MORC2","ATR",NA,"RIOX2","ADAMTSL3","CLK4","PELO",NA,NA,NA,NA,NA,NA,NA,NA,"HOXB4","ZNF721",NA,"NEXN","RFXANK","SCGB1B2P","PLP1","ZNF711","AP001107.9"
"AMOTL1","ZC4H2",NA,"MEG8","VGLL4","CSF1","SLC16A12",NA,NA,NA,NA,NA,NA,NA,NA,"RWDD2B","VSIG10",NA,"MED26","MRE11","SELE","SLC25A53","ARMCX4","RBM4B"
"ITPK1","MFSD1",NA,"AC243964.3","SLC35B2","BIN2","DPH5",NA,NA,NA,NA,NA,NA,NA,NA,"EFHD2","DTNBP1",NA,"LRCOL1","OSBPL11","R3HCC1L","RBM41","PWWP3B","RCE1"
"NSMAF","DGKQ",NA,"ZNF142","UBR5","ALKBH5","DDHD2",NA,NA,NA,NA,NA,NA,NA,NA,"SPRED2","KIAA0100",NA,"B3GALT6","CC2D1B","RPIA","NCBP2L","IL13RA2","RHOD"
"TBX2-AS1","ETAA1",NA,"AP001267.3","CPOX","ADAP2","MED31",NA,NA,NA,NA,NA,NA,NA,NA,"THSD7B","AC067852.2",NA,"FLII","TAB1","DSN1","HTATSF1","RNF113A","RAD9A"
"TMEM65","ZNF749",NA,"PKNOX2","MUTYH","UPK3BL1","ARHGEF3",NA,NA,NA,NA,NA,NA,NA,NA,"WNT11","RFX2",NA,"DUSP22","LPXN","AC123768.2","CXorf40A","AL589669.1","LINC01488"
"EPB41L5","HOXB-AS3",NA,"HEMGN","RIMKLB","KLHDC4","TCAF1",NA,NA,NA,NA,NA,NA,NA,NA,"ZBTB4","CES4A",NA,"CCDC146","GIMAP2","CWC27","TMEM185A","MTM1","ALG1L9P"
"RRS1","S100P",NA,"CALML4","LIPG","FAM53C","RRP7A",NA,NA,NA,NA,NA,NA,NA,NA,"AC005523.2","LINC00174",NA,"ACTR10","TOPORS","HOXD-AS2","MTMR1","HAUS7","LRTOMT"
"OLFML1","PPP2R5E",NA,"UGT3A1","SETBP1","MDN1","SKA2",NA,NA,NA,NA,NA,NA,NA,NA,"LPIN3","AP4B1",NA,"KLC4","CLEC4E","GALNTL6","PNMA6A","DUSP9","P2RY2"
"CA14","FRMD4A",NA,"TNF","SLC38A7","KLRK1","ACTR8",NA,NA,NA,NA,NA,NA,NA,NA,"ZBED1","GFER",NA,"SVIP","PHF20L1","SLC30A4","ABCD1","KDM4A","POLD3"
"PEAK1","ARL3",NA,"STAT4","MZF1","UPF3B","RBM18",NA,NA,NA,NA,NA,NA,NA,NA,"ZBTB33","KIF16B",NA,"EMP1","ATG16L2","PARD6G","AC244090.1","TTC4","AQP11"
"TRIM22","HULC",NA,"EPHB1","SOGA1","COPS7A","ESR1",NA,NA,NA,NA,NA,NA,NA,NA,"PRKRA","BICDL1",NA,"NEDD4","CXorf38","LINC00511","VAMP7","SLAMF6","KCTD14"
"SMC3","PALM",NA,"MXRA5","PCGF3","CORO1A","ANXA7",NA,NA,NA,NA,NA,NA,NA,NA,"AQR","HAVCR2",NA,"AL391807.1","LINC00294","MTUS2","ELOA","SPATS2L","RAB30"
"FNBP4","ZNF740",NA,"GC","HLA-DQA1","STOML2","TMEM138",NA,NA,NA,NA,NA,NA,NA,NA,"ING2","ANAPC1",NA,"ENPP4","FADD","NTSR2","TUT4","SENP2","AP000873.2"
"PLEKHA6","CCDC51",NA,"STEAP2","TSPAN4","PRKRIP1","LINC02193",NA,NA,NA,NA,NA,NA,NA,NA,"APLNR","ASAP2",NA,"THAP11","LAT","FUNDC1","SEMA3B","ZSCAN26","ANKRD42"
"UBTD2","LINC01128",NA,"IGFBP2","PPP1R2","GBP1","RRP12",NA,NA,NA,NA,NA,NA,NA,NA,"MPV17L2","SWAP70",NA,"NIPAL1","MECOM","CKAP2","OSBPL11","NHSL1","AP002784.1"
"TOMM34","RABIF",NA,"SPATA7","MOB3A","HLA-DRB5","ADGRA2",NA,NA,NA,NA,NA,NA,NA,NA,"ZMYND8","ADGRE2",NA,"SH3RF1","KIZ","AL591686.1","PDLIM7","SLC25A13","GUCY1A2"
"CMTM6","MMAA",NA,"CAP2","TRIP12","GIMAP2","CYP26A1",NA,NA,NA,NA,NA,NA,NA,NA,"IER5","CMTM4",NA,"IGHG4","ZFP90","TGFB2","VPS50","DMTN","NPAT"
"SDF2","IVNS1ABP",NA,"R3HCC1L","CHFR","PNMA1","PLEKHG1",NA,NA,NA,NA,NA,NA,NA,NA,"CCDC51","SEMA3C",NA,"DAO","LINC01184","C2CD6","ADGRA2","SERGEF","ZC3H12C"
"NEDD4L","TTC28-AS1",NA,"MTURN","ATF1","IMPDH1","ZNF791",NA,NA,NA,NA,NA,NA,NA,NA,"FAT4","CDKN1C",NA,"TRAF3IP2","POMT1","CYP26B1","NSMCE2","ANKRD13D","LINC02732"
"COQ6","AC083841.1",NA,"SAMD8","ATP2C1","CHCHD7","INO80B",NA,NA,NA,NA,NA,NA,NA,NA,"ATP6V1E1","SSBP4",NA,"TMEM100","FANCL","HR","NOC3L","TMEM25","FDXACB1"
"ALKBH6","NFATC2IP",NA,"SERPINC1","JAG1","HEATR5B","SFT2D2",NA,NA,NA,NA,NA,NA,NA,NA,"GDAP2","KLHL8",NA,"FGD6","CEPT1","CABCOCO1","LETMD1","ZNF740","BUD13"
"PICK1","CLCF1",NA,"IAPP","POLK","C1orf50","TMEM14A",NA,NA,NA,NA,NA,NA,NA,NA,"MRPS18B","NGEF",NA,"ADPRHL2","ITPKB","KIAA0408","SNHG14","TIMELESS","TREH"
"RASIP1","LINC01702",NA,"ANGPT4","BAHD1","AC008105.3","PDZRN3",NA,NA,NA,NA,NA,NA,NA,NA,"SAMHD1","SPCS3",NA,"MAN2C1","PLP2","TYRO3","ZFP90","MGAT2","MSANTD2"
"TUT4","NUP98",NA,"MOSPD1","ARHGAP27","PIAS3","AC020916.1",NA,NA,NA,NA,NA,NA,NA,NA,"MED30","DNAJC16",NA,"KDM6A","CORO1A","MIR4435-2HG","MAP3K3","LINC00924","AP001783.1"
"ARAP2","DYRK1B",NA,"CBS","UBAP2","MARCH9","TANGO6",NA,NA,NA,NA,NA,NA,NA,NA,"CAVIN4","ALS2CL",NA,"ZFYVE21","DCP1B","DAPK2","MAN2B1","MKKS","TMEM45B"
"RALBP1","ZAP70",NA,"ACVR1","IL27","BCL6B","NCOA6",NA,NA,NA,NA,NA,NA,NA,NA,"ZNF805","EPG5",NA,"CENPC","KDM4C","ADIPOQ","U2AF1L4","OCRL","RAD52"
"PLCB2","TMEM25",NA,"B2M","CSNK1D","TRIM39","MAP4K2",NA,NA,NA,NA,NA,NA,NA,NA,"METTL5","ALG14",NA,"PHLDB3","C8orf33","AC012640.2","NELFCD","ANGPTL1","WNT5B"
"CPD","MOB4",NA,"AC023043.1","DNAAF2","SPOUT1","TCAF2",NA,NA,NA,NA,NA,NA,NA,NA,"EXOC3L4","SRP19",NA,"RPP30","ETFRF1","MIS18A","SFI1","CNOT9","PARP11"
"PDCL3","CBX6",NA,"CLIC3","USF2","RFXANK","PHACTR1",NA,NA,NA,NA,NA,NA,NA,NA,"CMTM4","EPB41L5",NA,"LIN37","NICN1","LINC01474","TSPYL2","GNA12","NTF3"
"SERTAD1","EXOC6",NA,"CHAC1","FYN","FLT3LG","DONSON",NA,NA,NA,NA,NA,NA,NA,NA,"PCSK9","MYL6B",NA,"CCDC186","RLIM","AL590004.3","SLC30A9","NBN","AC005840.2"
"BCS1L","TPRKB",NA,"NPRL2","ACAP1","MOB1B","BMERB1",NA,NA,NA,NA,NA,NA,NA,NA,"TMEM18","MED29",NA,"ADCK5","CBX6","TSPAN13","MZB1","ODF2","P3H3"
"UBL4A","IDS",NA,"POC5","C9orf64","C7","AP4B1",NA,NA,NA,NA,NA,NA,NA,NA,"LRRFIP1","ERAL1",NA,"OSBPL5","FXR2","AL162253.2","CDYL","C12orf10","FOXJ2"
"TMIGD3","RHOBTB3",NA,"KCNK3","ZNF518A","FRZB","SPRYD3",NA,NA,NA,NA,NA,NA,NA,NA,"MROH1","LINC01702",NA,"MAP1A","RCBTB1","ASXL2","CDC42EP2","GOLGA3","CLEC1A"
"GSTO2","SUGP1",NA,"RPS27","HERC3","FMNL1","PXMP4",NA,NA,NA,NA,NA,NA,NA,NA,"UACA","HERC1",NA,"BBS9","ABCG1","TTK","PIBF1","GAS6","MAGOHB"
"RPS6KA4","TMEM50B",NA,"BAAT","UBE2W","AC104794.3","TRAM2",NA,NA,NA,NA,NA,NA,NA,NA,"SLC48A1","UQCC1",NA,"CDH19","TMEM65","ZNF687-AS1","CCDC125","SLC7A7","PRH2"
"SLC35B2","NXN",NA,"PTPN9","TCAF2","FRS2","EIF2D",NA,NA,NA,NA,NA,NA,NA,NA,"NUP42","CIITA",NA,"SDAD1","RCC2","NRCAM","C5orf24","CENPT","BORCS5"
"PIK3C3","SLPI",NA,"SLC9A9","SSH2","SNX20","TACC1",NA,NA,NA,NA,NA,NA,NA,NA,"TMEM170A","CDC5L",NA,"ZNF787","RIMKLB","TEKT5","STK10","AC011445.2","SLCO1A2"
"THOC3","COG2",NA,"AL022311.1","GPATCH1","DCP2","ZFP90",NA,NA,NA,NA,NA,NA,NA,NA,"RAD51C","MGAT4B",NA,"ADGRV1","MYCL","LNP1","EXOSC3","GABRE","C2CD5"
"UQCC1","ZNF772",NA,"AC019131.2","TOMM34","POLR2M","THNSL1",NA,NA,NA,NA,NA,NA,NA,NA,"IFNGR2","DCAF16",NA,"LY86","ASB3","CCR10","AKAP10","FAM153CP","STK38L"
"CCT5","SLC9A8",NA,"LRRC14","GOLGA7","ZMYND8","PPIP5K2",NA,NA,NA,NA,NA,NA,NA,NA,"MTMR4","FNBP4",NA,"RNASE6","VPS37B","SNCG","MAP3K14","XPA","AC009318.2"
"SIRT3","PIGR",NA,"IL1RL2","ZNF83","MTAP","CD27-AS1",NA,NA,NA,NA,NA,NA,NA,NA,"SOGA1","CDK2AP1",NA,"SEH1L","PPME1","IL34","RNF157","ZNF780A","ETFBKMT"
"BCL7A","RANBP9",NA,"AKAP12","UCHL3","AL021392.1","GEMIN8",NA,NA,NA,NA,NA,NA,NA,NA,"ZNF280C","OXLD1",NA,"NUP107","TRAF3IP3","SMC4","ZNF581","ZFAT","AC087588.2"
"INTS6","TULP4",NA,"SLURP2","CTBP2","NSMCE3","KMT5B",NA,NA,NA,NA,NA,NA,NA,NA,"TMEM70","SMC3",NA,"TRIM47","MICU2","ZNF208","BMP2","COL27A1","ALG10"
"IL27","CHMP6",NA,"LNP1","TCTN3","CCDC51","MARCH7",NA,NA,NA,NA,NA,NA,NA,NA,"ENTPD7","RASSF7",NA,"UTP11","JAK3","PCBP3","TUG1","ARMH3","TMEM117"
"MZB1","MTERF4",NA,"C20orf96","HAUS4","CTBP2","KLF7",NA,NA,NA,NA,NA,NA,NA,NA,"BACE1","TIMM50",NA,"ZNF551","CTDSPL2","CRYAB","TRAF3IP3","CDC42BPB","AC008124.1"
"GRK2","TBCK",NA,"BDNF-AS","LRRC32","CD2","SPATS2L",NA,NA,NA,NA,NA,NA,NA,NA,"DNAJC5B","TOR3A",NA,"ALOX5AP","ADGRE2","TBC1D30","DCUN1D1","HSD3B7","ARID2"
"CHUK","EDC3",NA,"TCF7","ZNF516","MMP24OS","AC011445.2",NA,NA,NA,NA,NA,NA,NA,NA,"ZNF3","WDR92",NA,"TBC1D4","GZMA","AL031847.1","MEST","MTX2","LINC02156"
"SCMH1","ZNF808",NA,"DCSTAMP","WDR91","REX1BD","CYB5R4",NA,NA,NA,NA,NA,NA,NA,NA,"TRMT12","AGAP1-IT1",NA,"FBXO33","GIMAP5","PRKN","DDX54","YWHAG","AC004241.1"
"PRPF38A","AL121603.2",NA,"SELENOP","AUH","ITGA7","IRS1",NA,NA,NA,NA,NA,NA,NA,NA,"UTP15","UBXN7",NA,"CXorf56","TRIM38","CCDC80","KARS","AMIGO1","NCKAP5L"
"WDR44","ZDHHC21",NA,"PALMD","IRF8","NDRG3","PUS1",NA,NA,NA,NA,NA,NA,NA,NA,"GBP3","SETD1A",NA,"QSOX2","CCDC167","POLR1A","AOC3","SLC30A6","SCN8A"
"FBXO8","PRDM2",NA,"ZNF239","COQ4","ARHGAP25","PIP4P1",NA,NA,NA,NA,NA,NA,NA,NA,"ATRAID","DGCR8",NA,"ZNF326","ARFIP2","EXOC3L1","ABCB7","MYO5A","FIGNL2"
"TECPR2","ACTL6A",NA,"ANKRD33B","ST8SIA4","KIDINS220","DMAC2",NA,NA,NA,NA,NA,NA,NA,NA,"ETV5","WNK1",NA,"EAF1","MED26","LINC00665","LBX2-AS1","SNX5","SOAT2"
"ELMOD2","TRIM24",NA,"MTHFD2","PLEKHG1","TMEM242","SLC16A4",NA,NA,NA,NA,NA,NA,NA,NA,"FKBP11","RAB34",NA,"IKZF5","EPSTI1","KCNK3","TRIM39","NDST2","ESPL1"
"RIPK4","CORO2B",NA,"RBM12B","MCM7","EEF1E1","MFSD3",NA,NA,NA,NA,NA,NA,NA,NA,"ALDH1A2","KLHDC8B",NA,"MPV17L2","ZNF496","ZNF117","APBA3","YLPM1","AC073611.1"
"NOL10","FRAT2",NA,"ISY1","TRPT1","RPS15A","BRD1",NA,NA,NA,NA,NA,NA,NA,NA,"RIOX2","CYB5R4",NA,"TRAPPC12","KLRK1","CENPW","HAUS7","CLTRN","NPFF"
"PIGC","NRF1",NA,"AC011043.1","COL5A2","IRAK3","LINC00339",NA,NA,NA,NA,NA,NA,NA,NA,"TAB2","AL662797.1",NA,"PDLIM7","COX10","FABP3","FAM229A","PLCXD3","CDK2"
"TUSC1","MPDZ",NA,"RARB","STARD8","ARHGEF11","ZNF326",NA,NA,NA,NA,NA,NA,NA,NA,"HIBCH","OGFOD2",NA,"PKP2","ITGA4","ZNF438","FBXL6","TNS2","ZC3H10"
"RBM12","SPSB1",NA,"IRAK1BP1","IKBKE","MTHFR","SLC25A43",NA,NA,NA,NA,NA,NA,NA,NA,"BTBD1","RAB8B",NA,"DDB1","RPL18","ZNF544","IRAK4","SLC16A11","ARHGEF25"
"NFKBIE","CCDC91",NA,"AC079684.1","ADAP2","CMKLR1","TRABD2B",NA,NA,NA,NA,NA,NA,NA,NA,"KIFC2","SLC30A5",NA,"SMIM15","SMARCB1","MFAP5","SLC5A3","ESPN","EEF1AKMT3"
"GCNT2","CDK5RAP2",NA,"ZC3H13","C1orf174","LINC00092","VCAN",NA,NA,NA,NA,NA,NA,NA,NA,"AL390195.1","FXYD2",NA,"CCBE1","BRD8","CFAP157","RHOU","SELENOI","AC048341.1"
"NPRL3","CLEC1B",NA,"C9","NUP58","USP48","AZIN1",NA,NA,NA,NA,NA,NA,NA,NA,"ITPRID2","IMPDH1",NA,"SBNO2","GPR108","ZNF724","ARSB","CX3CL1","AVPR1A"
"SOCS5","MED30",NA,"AL441883.1","PBX2","PGPEP1","TM6SF2",NA,NA,NA,NA,NA,NA,NA,NA,"FAH","ADK",NA,"LZIC","SMAP1","SLC25A24","JAM3","TMA16","AC026124.2"
"MCM7","SLC25A26",NA,"TIGD2","CD8B","ABR","PRKD2",NA,NA,NA,NA,NA,NA,NA,NA,"CHST2","TRUB1",NA,"PWP1","MAST4","AL121944.1","HAL","CCL11","AC020656.2"
"DNAJC9","SLC25A33",NA,"RPS14","C11orf71","ALDH18A1","NSUN4",NA,NA,NA,NA,NA,NA,NA,NA,"PNMA8A","NDRG3",NA,"RRAS2","PYCARD","CDK11A","LMNB2","ZNF207","KCNMB4"
