"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11"
"ATF1","ZNF500","ANKRD13D",NA,"CCL19","IRF2","AP000525.1","ZNF7",NA,NA,"MMP28"
"FAM98C","AC022167.4","ING5",NA,"BX255925.3","WDR5","CSGALNACT1","PWWP2B",NA,NA,"MRM1"
"ANAPC15","ATF7IP2","CAMKMT",NA,"SMNDC1","ITPRIP","TULP4","IRF4",NA,NA,"ARHGAP23"
"DSEL","U91319.1","NCOA6",NA,"ADAM12","YAF2","TPD52L1","DESI2",NA,NA,"AC067852.2"
"GINM1","ERCC4","ZNF490",NA,"TTC9","CPNE2","PWP1","SURF2",NA,NA,"PSMC3IP"
"ACP6","REXO5","CARF",NA,"ZFYVE1","PTAFR","AC023483.1","ADAMTS9",NA,NA,"BRCA1"
"POLR1B","CRYM","ROCK1",NA,"CCR7","NGLY1","RELN","GDPD5",NA,NA,"MEOX1"
"FAM83G","EEF2K","JPX",NA,"DCAF7","PDHX","SYT8","IPO8",NA,NA,"FAM171A2"
"TOP1MT","PALB2","NDE1",NA,"MEX3C","MYO19","NPIPB2","MTMR1",NA,NA,"HOXB4"
"TMEM120B","AC133552.5","CEP85L",NA,"PPAN","EIF2S1","IL12RB1","B3GNT9",NA,NA,"AC015813.1"
"SGPL1","IL27","ZNF720",NA,"GYS1","MPV17L","CRTC2","CCDC22",NA,NA,"YPEL2"
"TBX3","AC009133.1","RAPGEF6",NA,"ZNF766","TAF12","RABIF","DLST",NA,NA,"MAP2K6"
"TMEM98","PPP4C","TDG",NA,"CDK5RAP1","OCLN","HMGB2","AKAP7",NA,NA,"KIF19"
"HIBADH","ZNF48","LIMA1",NA,"TCF20","VMO1","NLRC4","NLK",NA,NA,"NAT9"
"FBXL8","AC135050.6","MLXIP",NA,"SLC2A5","ERAL1","C19orf84","OSBPL10",NA,NA,"CBX4"
"SURF2","PRSS36","EVI5",NA,"PLEK","HMGB3","DNAH10OS","TMEM267",NA,NA,"HGS"
"NOL3","ITGAD","APOA1",NA,"TASOR","F11","SLC16A5","PTGR2",NA,NA,"FN3K"
"GCC1","NKD1","TLK2",NA,"FAM13B","ZNF410","ZC3H10","RHPN2",NA,NA,"DLGAP1-AS2"
"DNAJC22","SALL1","SBNO1",NA,"CTNNAL1","MALSU1","AC127496.5","ARHGAP10",NA,NA,"ZNF521"
"LYRM7","AC007342.5","ACAP3",NA,"TSSC4","GMPR2","CXCL8","CISH",NA,NA,"KIAA1328"
"THAP3","CRNDE","CTSB",NA,"STARD5","AC010642.2","RAB11FIP1","TTC28",NA,NA,"RAB27B"
"SLC25A42","NUP93","GREM1",NA,"ZNF598","WDR34","RHOBTB2","SPRED2",NA,NA,"RBFA"
"NUP155","CX3CL1","GNB4",NA,"SLC4A1AP","TSPAN9","PDE1A","MSRA",NA,NA,"MEX3D"
"ZXDC","DOK4","NBPF26",NA,"ATG9A","ZNF506","LENG9","IDNK",NA,NA,"AC104530.1"
NA,"CFAP20","AC096992.2",NA,"PDE7A","MCCC2","CASP8","MAPRE3",NA,NA,"SIRT6"
NA,"PDP2","PCSK4",NA,"DDX50","LRRC14","STK3","LEO1",NA,NA,"PTPRS"
NA,"RRAD","NUP214",NA,"ZBTB17","AGPAT4","ATP6V1D","UHRF1BP1",NA,NA,"DUS3L"
NA,"AC020978.5","AC007952.4",NA,"BTF3L4","SBDS","ZNF512B","ZNF691",NA,NA,"ZNF177"
NA,"SMPD3","PURA",NA,"NELFA","PLA2G4B","GATC","RPP25L",NA,NA,"AP1M2"
NA,"TANGO6","NEK8",NA,"PFDN1","MORC3","MUSK","RDH10",NA,NA,"RAB3D"
NA,"ZNF821","SNX15",NA,"WDR91","DHX15","C12orf49","MAP4K3",NA,NA,"SWSAP1"
NA,"GCSH","CTSZ",NA,"ITGB7","KDM3B","LINC02605","LIN52",NA,NA,"ZNF844"
NA,"DBNDD1","ZFP28",NA,"MPI","PPP1R16A","GNRH1","CACUL1",NA,NA,"RFX1"
NA,"TRPV1","CORO1C",NA,"SNHG20","LYNX1","LINC02739","PDE12",NA,NA,"SAMD1"
NA,"AC004771.1","CEP95",NA,"NFKBIB","LIG4","NOXA1","MMACHC",NA,NA,"WIZ"
NA,"MED31","ZNF580",NA,"SH3BP1","TRIM41","NXT2","ZNF622",NA,NA,"ARMC6"
NA,"SLC16A11","ZNF528-AS1",NA,"GBP5","NHLRC3","AIMP1","PLPP6",NA,NA,"MEF2B"
NA,"SHBG","IGF2BP2",NA,"SLC25A46","SNAP29","LINC01819","BOLA3",NA,NA,"NR2C2AP"
NA,"PIGL","CDK13",NA,"DCAF5","TMEM82","ZNF560","FGD4",NA,NA,"SUGP1"
NA,"NT5M","MT-CYB",NA,"CPXM1","CPSF4","TOP3B","ABHD10",NA,NA,"ZNF737"
NA,"SMCR8","ZNF131",NA,"STRN","FZR1","SEPTIN3","KLRK1",NA,NA,"TSHZ3"
NA,"PRPSAP2","OTUD7B",NA,"P2RY13","TAPT1","OBSCN","FBXO42",NA,NA,"AC020910.5"
NA,"TMEM11","LACTB",NA,"DMTF1","PGAP3","MTF2","SLC41A3",NA,NA,"CLIP3"
NA,"MTRNR2L1","EIF5B",NA,"COG5","LINC00339","HPS3","TNFSF14",NA,NA,"ZNF565"
NA,"KSR1","PPCDC",NA,"ITPR3","CTH","PTCRA","PSMD11",NA,NA,"ZNF567"
NA,"TMEM97","CEP350",NA,"DDB2","PIGQ","FAM78A","RPA2",NA,NA,"ZNF790-AS1"
NA,"ALDOC","MLH3",NA,"EHD1","NAA20","RAB43","MRPS22",NA,NA,"RASGRP4"
NA,"SPAG5","TTYH1",NA,"SELL","ANKRA2","TRPC1","SMIM24",NA,NA,"DYRK1B"
NA,"CORO6","ZNF561",NA,"CWC25","GCN1","IQCH-AS1","AIMP2",NA,NA,"FCGBP"
NA,"CCL13","MT-ND1",NA,"PLEKHA3","THBD","RGCC","RRNAD1",NA,NA,"ZNF780B"
NA,"SLFN12","LDB3",NA,"MOB1B","PCGF5","DEPDC5","TRPM8",NA,NA,"SERTAD3"
NA,"PIGW","PRICKLE3",NA,"TMEM156","FRS2","FGF2","RANBP10",NA,NA,"CCDC97"
NA,"FBXL20","RGS2",NA,"RUFY1","CPTP","ASH2L","VPS26A",NA,NA,"LINC01480"
NA,"TCAP","ZNF551",NA,"TMEM131L","BTAF1","C11orf95","TRIM52",NA,NA,"ZNF576"
NA,"TMEM99","RB1CC1",NA,"BOP1","RB1","ACER3","SNAPC3",NA,NA,"ZNF45"
NA,"TUBG1","ZNF134",NA,"TUT4","UCK2","SNX24","ZFPM1",NA,NA,"ZNF227"
NA,"HEXIM1","RHPN1",NA,"NFX1","CCNK","LIN7C","COL8A2",NA,NA,"GEMIN7"
NA,"AC138150.1","AC073225.1",NA,"JADE2","POFUT2","NEK7","DNAJC30",NA,NA,"OPA3"
NA,"AC018521.5","SEPTIN11",NA,"USP20","RPUSD3","ANKRD54","NMNAT1",NA,NA,"GPR4"
NA,"HOXB2","FOXF1",NA,"ALG9","INHBE","SLC44A3","CHIC2",NA,NA,"AC010331.1"
NA,"NXPH3","RBPMS2",NA,"PARM1","CRNKL1","ARL17B","C18orf25",NA,NA,"LIN7B"
NA,"CHAD","YPEL1",NA,"PTPN9","PGGT1B","FCRL3","KLHL18",NA,NA,"HAS1"
NA,"COX11","MED22",NA,"TMED1","ZCCHC10","AC025165.2","ZNF721",NA,NA,"ZNF615"
NA,"PCTP","FZD8",NA,"TP53BP2","KIF12","VIL1","GNAI1",NA,NA,"ZNF160"
NA,"AC091271.1","RTL5",NA,"RNF217","SQLE","ZNF524","PLD2",NA,NA,"LENG1"
NA,"TACO1","ABCD2",NA,"ARHGEF40","RAB11B-AS1","DBNDD2","HK3",NA,NA,"RDH13"
NA,"CDC42EP4","PLA2G4C",NA,"FHL3","P4HA2","STXBP3","AGK",NA,NA,"EPS8L1"
NA,"CD300E","NAP1L1",NA,"SEMA4B","TRIM11","GABRA5","DNAJC16",NA,NA,"NAT14"
NA,"PRCD","RABL3",NA,"MYH14","DEF8","ZDHHC17","PECR",NA,NA,"ZNF784"
NA,"ENDOV","SLC38A9",NA,"GPCPD1","PRKAR1B","CASP7","STN1",NA,NA,"ZNF667-AS1"
NA,"NOTUM","THEMIS",NA,"SENP7","DNMT3A","CYB5D1","HMG20A",NA,NA,"ZNF548"
NA,"GNAL","YJEFN3",NA,"GDA","WEE1","PGBD5","ATP2B2",NA,NA,"ZNF586"
NA,"CEP76","MKI67",NA,"CEBPZOS","ROBO4","AP000424.1","PTGFRN",NA,NA,"AC008969.1"
NA,"ZNF519","DNAJC2",NA,"CCZ1B","FADS1","PRKCI","EMC8",NA,NA,"ZNF544"
NA,"AC090912.2","EED",NA,"AC245297.3","TMTC3","MSH6","FAM174B",NA,NA,"TMEM74B"
NA,"C18orf21","AP002807.1",NA,"KLRB1","HSBP1L1","EMSY","SCOC",NA,NA,"TASP1"
NA,"MOCOS","PRXL2B",NA,"DIP2B","ADSSL1","B9D1","MBNL3",NA,NA,"POLR3F"
NA,"RNF165","ZNF333",NA,"HDDC2","ANAPC7","HAVCR2","NUP54",NA,NA,"NXT1"
NA,"PHLPP1","ARMCX1",NA,"OSER1","SNRNP35","ACRBP","GPC6",NA,NA,"SYNDIG1"
NA,"AC068473.5","FLCN",NA,"RASGRP3","ABCC6","ITGAM","GMCL1",NA,NA,"ACTL10"
NA,"CDC34","LILRB1",NA,"CFAP97","PLSCR3","RFX5","TRPV4",NA,NA,"SPAG4"
NA,"EFNA2","NRP2",NA,"ANKRD26","CD2AP","SNHG17","FCN1",NA,NA,"SLA2"
NA,"DOHH","ATP1B3",NA,"ZNF431","ECHDC3","CCDC154","PCDH9",NA,NA,"RBL1"
NA,"CACTIN","IL4I1",NA,"NIPAL2","SYNJ2","ABT1","YJU2",NA,NA,"OSER1-DT"
NA,"TJP3","ZNF302",NA,"SLC35B2","HS2ST1","MGAT4C","LSM2",NA,NA,"AF127936.2"
NA,"EBI3","LRRC4C",NA,"CD83","RFC2","PTX3","CASD1",NA,NA,"AP000254.2"
NA,"SHD","STRA6",NA,"SLC25A15","CUL4A","PRUNE1","ACSS3",NA,NA,"SYNJ1"
NA,"AC005339.1","PADI2",NA,"APBA2","INTS5","CHRAC1","PCCB",NA,NA,"AP001062.1"
NA,"AC005523.2","ASH1L",NA,"FAM168A","CSTF3","RUSC1","TIMELESS",NA,NA,"LINC00205"
NA,"FUT6","LINC01176",NA,"DKC1","FAF2","DOK1","ABCB4",NA,NA,"MICAL3"
NA,"PSPN","FCN1",NA,"SLF2","WRAP73","SPOPL","SLC66A3",NA,NA,"CLTCL1"
NA,"SLC25A23","PRKD1",NA,"GIT1","CLINT1","CCL4L2","PNPLA4",NA,NA,"GNB1L"
NA,"CLEC4M","IGHV4-59",NA,"PRPS1","TMEM134","GPALPP1","AC005332.6",NA,NA,"ARVCF"
NA,"ANGPTL6","IFIT3",NA,"MAP3K14","DDX3Y","KCTD9","DROSHA",NA,NA,"IGLV6-57"
NA,"AC092069.1","ZFYVE26",NA,"MZF1","ITCH","ZCCHC8","UBAP1",NA,NA,"IGLV1-51"
NA,"DCAF15","FAM217B",NA,"LATS2","HMGCR","RNFT1","PATZ1",NA,NA,"IGLV1-44"
NA,"PALM3","SNX20",NA,"TRAF4","EMC2","BNIP1",NA,NA,NA,"IGLV2-11"
NA,"ASF1B","HOMEZ",NA,"TOR1AIP1","THYN1","AP003110.1",NA,NA,NA,"IGLV3-1"
NA,"PTGER1","AP000525.1",NA,"MRPS23","ACOX2","LONRF1",NA,NA,NA,"SMARCB1"
NA,"ADGRE2","MMP11",NA,"DYRK2","AXIN1","DOCK11",NA,NA,NA,"MIATNB"
NA,"CYP4F22","MAP3K4",NA,"PSIP1","METTL17","ZNF683",NA,NA,NA,"CCDC117"
NA,"UCA1","GALNT4",NA,"NEURL4","RHOU","S100P",NA,NA,NA,"CCDC157"
NA,"AC020917.3","RNF170",NA,"TMEM167B","CFP","KYAT3",NA,NA,NA,"EIF4ENIF1"
NA,"AC010618.3","NBL1",NA,"BCR","TRNP1","AC023590.1",NA,NA,NA,"DNAL4"
NA,"TM6SF2","MIER2",NA,"TM2D3","CYP4F12","RBBP8",NA,NA,NA,"APOBEC3F"
NA,"ZNF254","SNHG22",NA,"RNF8","ERAP1","IGKV1-16",NA,NA,NA,"GRAP2"
NA,"LINC00662","NPFF",NA,"CLN8","BET1","ADAM8",NA,NA,NA,"MEI1"
NA,"SLC7A9","MGA",NA,"KALRN","EIF2AK3","RNF43",NA,NA,NA,"SHISA8"
NA,"ZNF461","LRRC15",NA,"TNFAIP8","RITA1","FAM200B",NA,NA,NA,"PHETA2"
NA,"ZNF585A","NIPBL",NA,"BBX","BCHE","AP1S1",NA,NA,NA,"ARHGAP8"
NA,"ZNF383","AL592148.3",NA,"ARID5B","MINPP1","TRIM69",NA,NA,NA,"FAM118A"
NA,"AC022144.1","GHDC",NA,"SCAF1","ELP1","OSGIN2",NA,NA,NA,"TAFA5"
NA,"ZNF526","GON4L",NA,"ATF7IP","ADA","AL391422.4",NA,NA,NA,"PANX2"
NA,"IGSF23","SNX29",NA,"OGFRL1","BOD1","CTDP1",NA,NA,NA,"AL022328.4"
NA,"NAPA-AS1","PRRX1",NA,"NSF","ME3","PRPS2",NA,NA,NA,"TBL1X"
NA,"DBP","SLC7A1",NA,"ARFGEF1","SNAPC4","LINC02591",NA,NA,NA,"WWC3"
NA,"FGF21","AC010198.2",NA,"SRSF1","ADAMTS4","C2CD4B",NA,NA,NA,"TCEANC"
NA,"AC026803.3","CCDC88A",NA,"PCIF1","INTS10","CDCA7L",NA,NA,NA,"PIGA"
NA,"ASPDH","LINC01011",NA,"MRPS31","CLCN6","TUT1",NA,NA,NA,"APOO"
NA,"C19orf48","DHX57",NA,"KDM6B","HEATR1","NEMP1",NA,NA,NA,"ZNF182"
NA,"ZNF614","NEMP1",NA,"EXOC5","TSPAN8","SPECC1L",NA,NA,NA,"SHROOM4"
NA,"ZNF468","HJURP",NA,"HERC4","CLASP2","STAG1",NA,NA,NA,"FGD1"
NA,"OSCAR","AP001469.3",NA,"HSPA2","BCAP29","GSPT2",NA,NA,NA,"TRO"
NA,"PTPRH","ORAI2",NA,"SLC35E2A","HDDC3","FHAD1",NA,NA,NA,"RRAGB"
NA,"ZNF304","BASP1",NA,"DHRS4L2","DAB2IP","TRIM13",NA,NA,NA,"KLF8"
NA,"ZNF547","RUNDC1",NA,"DIP2A","ABCA2","ZNF268",NA,NA,NA,"ZC4H2"
NA,"ZNF8","CTSD",NA,"ATG4B","MLLT10","PAX5",NA,NA,NA,"DLG3"
NA,"SLC52A3","UPF2",NA,"MS4A1","SUCO","NPHP3",NA,NA,NA,"HDX"
NA,"MCM8","TBC1D10B",NA,"GRAMD2B","ACSM3","MXD1",NA,NA,NA,"PWWP3B"
NA,"SPTLC3","SRGAP2",NA,"MTR","SNX33","TRG-AS1",NA,NA,NA,"CXorf56"
NA,"ISM1","NEAT1",NA,"DNAJC19","GAPVD1","SNCA",NA,NA,NA,"APLN"
NA,"NDUFAF5","APBB2",NA,"ENTPD4","RNF125","SMG6",NA,NA,NA,"UTP14A"
NA,"KIZ","TRIM24",NA,"RIPOR2","ZNF394","DALRD3",NA,NA,NA,"ELF4"
NA,"NANP","AC015871.1",NA,"RSBN1","KBTBD7","ING1",NA,NA,NA,"ENOX2"
NA,"PDRG1","TMEM119",NA,"RAPGEF5","PIAS4","MAK16",NA,NA,NA,"SMIM10"
NA,"TM9SF4","STMN2",NA,"PHF3","MIR4458HG","HPSE",NA,NA,NA,"CXorf40A"
NA,"CNBD2","SLC11A1",NA,"P2RX1","PPA2","PPP1R15B",NA,NA,NA,"LDLRAD2"
NA,"NDRG3","LPCAT2",NA,"MAT2A","SLC35F5","TREM1",NA,NA,NA,"PIGK"
NA,"BLCAP","SCO2",NA,"AASDHPPT","HGSNAT","AZIN1-AS1",NA,NA,NA,"YOD1"
NA,"SNHG11","MT-CO2",NA,"TBC1D10C","ADSS","NBPF15",NA,NA,NA,"ITGA6"
NA,"IFT52","AC027575.2",NA,"ALG1","SYT7","CSNK1G3",NA,NA,NA,"AC080013.1"
NA,"FITM2","ZBTB10",NA,"PNOC","JARID2","TMEM186",NA,NA,NA,"ANTXR2"
NA,"KCNK15","AC023157.3",NA,"NFYC","OSBPL2","FPR2",NA,NA,NA,"SLC9A3-AS1"
NA,"UBE2C","KANSL1L",NA,"CMC1","PID1","PRKD1",NA,NA,NA,"CENPK"
NA,"CSE1L","PFDN4",NA,"AC004687.1","DENND1A","CTSW",NA,NA,NA,"MRPL22"
NA,"LINC01270","LMCD1",NA,"KCNQ1","WDR36","IKBIP",NA,NA,NA,"CLK4"
NA,"RIPOR3","LAIR1",NA,"CDK14","ZBTB37","C6orf47",NA,NA,NA,"ZNF322"
NA,"ZFP64","CTHRC1",NA,"CCNG2","OSTM1","KIAA0895L",NA,NA,NA,"CCR6"
NA,"FAM209B","FRG1",NA,"ACOT8","FOPNL","SETD9",NA,NA,NA,"POT1"
NA,"LAMA5-AS1","C1orf35",NA,"STK35","LCMT1","ACOT2",NA,NA,NA,"ZNF786"
NA,"LINC00659","RAP2B",NA,"HVCN1","DGKQ","SOWAHD",NA,NA,NA,"AP3M2"
NA,"C20orf204","METTL1",NA,"NCF4","ADAMTS10","C12orf76",NA,NA,NA,"PLAG1"
NA,"FP565260.6","FCRL6",NA,"TSNAX","NDUFS4","TNFRSF17",NA,NA,NA,"TMEM64"
NA,"MRPL39","RNASE1",NA,"TNRC6C-AS1","ZNF672","ZNF697",NA,NA,NA,"OTUD6B-AS1"
NA,"ADAMTS5","COL23A1",NA,"ZNF687","ABHD6","CEP104",NA,NA,NA,"KCNQ3"
NA,"N6AMT1","CEP70",NA,"KCTD5","INPP5K","SH2D2A",NA,NA,NA,"CARD19"
NA,"MIS18A","AL139384.1",NA,"PAPLN","EIF1AY","SPDL1",NA,NA,NA,"UNC5B"
NA,"URB1","SCLT1",NA,"CTDSPL2","BLNK","ANO7",NA,NA,NA,"TMEM86A"
NA,"AP000692.2","MILR1",NA,"CD69","PYGO2","AC016747.1",NA,NA,NA,"AC073896.2"
NA,"PSMG1","FGR",NA,"MSC","COPS3","IPP",NA,NA,NA,"MAP3K9"
NA,"GET1","RGS11",NA,"LINC00342","EXOSC6","LILRB4",NA,NA,NA,"CKB"
NA,"AP001505.1","DENND4C",NA,"SFMBT1","GDF15","NHSL1",NA,NA,NA,"FBXL16"
NA,"CECR2","MANBA",NA,"UGCG","ENDOD1","AGO3",NA,NA,NA,"AC008915.2"
NA,"MN1","MMS19",NA,"TAGAP","SNX14","AC040169.1",NA,NA,NA,"SNHG30"
NA,"RFPL1","AC114980.1",NA,"YLPM1","UTP15","ALPK1",NA,NA,NA,"ETV4"
NA,"PDGFB","NSD3",NA,"DOCK4","DHRS4","DRG1",NA,NA,NA,"METTL23"
NA,"PMM1","RIF1",NA,"USP24","CAPN12","SUV39H1",NA,NA,NA,"RTN2"
NA,"CCDC134","TUBD1",NA,"NEIL1","CDH5","AC133681.1",NA,NA,NA,"GIPR"
NA,"NDUFA6-DT","ELAC1",NA,"BLMH","PAM16","ZNF213",NA,NA,NA,"ZNF528"
NA,"Z93241.1","ANKRD36C",NA,"POLDIP3","SMIM30","SSBP2",NA,NA,NA,"VAPB"
NA,"Z97192.3","ATP10D",NA,"GTF2H5","TPT1-AS1","FAM89B",NA,NA,NA,"HEPH"
NA,"KLHDC7B","FAM53C",NA,"BTN2A1","RTL10","DPY19L1",NA,NA,NA,"ARHGEF6"
NA,"DHRSX","HMMR",NA,"ARHGAP45","MRPS36","SPRYD7",NA,NA,NA,"BBS7"
NA,"GYG2","CHST14",NA,"LRRC45","STX8","RETN",NA,NA,NA,"HAND2-AS1"
NA,"PUDP","CCDC34",NA,"UBN1","VIRMA","ARMC1",NA,NA,NA,"RPL26L1"
NA,"SHROOM2","DOK1",NA,"MRFAP1L1","ERVK3-1","CACNA1H",NA,NA,NA,"DDAH2"
NA,"CLCN4","TMIGD3",NA,"NPLOC4","ZNF146","PTGS1",NA,NA,NA,"LRRC73"
NA,"REPS2","IGLC3",NA,"C19orf25","SMS","KITLG",NA,NA,NA,"TMEM243"
NA,"PHKA2","BICC1",NA,"PARP8","MAP4K4","RERGL",NA,NA,NA,"CHPF2"
NA,"ZNF41","PPM1N",NA,"FAM210B","LRP3","PGM2",NA,NA,NA,"SLC52A2"
NA,"ELK1","GBP1",NA,"SCARF1","EDC3","ZNF581",NA,NA,NA,"KLF4"
NA,"PPP1R3F","AC083843.3",NA,"SNHG7","ZMYM3","AK5",NA,NA,NA,"IFITM1"
NA,"PAGE4","AC025171.1",NA,"YES1","VARS2","FABP5",NA,NA,NA,"ANO4"
NA,"CLCN5","TMEM255B",NA,"AUTS2","CDH2","TBC1D2",NA,NA,NA,"STON2"
NA,"PFKFB1","IGHA1",NA,"PDCD11","PTPRU","FILIP1",NA,NA,NA,"DPEP3"
NA,"FAM104B","LPP",NA,"GIMAP4","ADORA2A","PIDD1",NA,NA,NA,"PROCA1"
NA,"ARHGEF9","MAP1B",NA,"RFTN1","DUSP2","AC006504.5",NA,NA,NA,"CRKL"
NA,"AMER1","NR2F1",NA,"GATA6","CYP2J2","VTI1B",NA,NA,NA,"ZNF630"
NA,"EDA2R","IGFBP5",NA,"MMP9","MATN2","CDIP1",NA,NA,NA,"AMPD1"
NA,"AR","ZNF417",NA,"WDR61","GCAT","SNN",NA,NA,NA,"AHCTF1"
NA,"FAM226B","NLRC3",NA,"HAPLN3","GSKIP","PRF1",NA,NA,NA,"ZFP62"
NA,"HMGN5","DTD1",NA,"POMT1","PHKG1","MSS51",NA,NA,NA,"RHOBTB1"
NA,"RPS6KA6","SLC16A10",NA,"TRPS1","EBF4","SPR",NA,NA,NA,"NCBP3"
NA,"TRMT2B","CCR1",NA,"ARHGAP15","EXT2","ICAM1",NA,NA,NA,"GINS1"
NA,"TIMM8A","STARD9",NA,"CBWD5","TTPAL","VPS45",NA,NA,NA,"ACTR5"
NA,"ZBTB33","HP1BP3",NA,"CCDC130","TAOK3","UBE2E2",NA,NA,NA,"SLC38A5"
NA,"TENM1","PPP1R3D",NA,"RNF141","TMEM254","SWAP70",NA,NA,NA,"CLDN2"
NA,"ZNF449","LRRFIP1",NA,"ARHGAP9","DDX19A","DIP2C",NA,NA,NA,"CH25H"
NA,"GABRE","MOK",NA,"ANKRD44","ZNF579","RDH10",NA,NA,NA,"GEMIN2"
NA,"TMEM187","APOC1",NA,"PCNX4","BRAT1","ADAMTSL4-AS1",NA,NA,NA,"SMURF2"
NA,"VAMP7","SEZ6L2",NA,"GRAMD4","EMP1","ULK1",NA,NA,NA,"SMIM5"
NA,"TTTY14","KLHL3",NA,"KPNA2","ZNF592","TACSTD2",NA,NA,NA,"POLI"
NA,"MT-ND6","STAB1",NA,"GRAMD1A","ABCF3","UBE2O",NA,NA,NA,"LRFN1"
NA,"AC011043.1","NPIPB5",NA,"ARHGAP18","KLB","NXPE3",NA,NA,NA,"MAPRE1"
NA,"CCDC28B","NPL",NA,"PIP4P1","MTRR","GSE1",NA,NA,NA,"IGKV1D-39"
NA,"C1orf50","GLUL",NA,"ZNF24","LONP1","MOCS3",NA,NA,NA,"SAYSD1"
NA,"DISP1","PRRT2",NA,"HSPH1","KIF13A","ZMAT5",NA,NA,NA,"ABHD13"
NA,"MTIF2","PELP1",NA,"CLDND1","UBE4B","ZNF274",NA,NA,NA,"WTIP"
NA,"SH3RF3","PAXBP1",NA,"RMND5B","CIDEB","MIR503HG",NA,NA,NA,"SIRPG"
NA,"SLC23A3","MARF1",NA,"PTPN7","NFAM1","CREB3L1",NA,NA,NA,"PCNX2"
NA,"ANKMY1","IGFN1",NA,"CD52","NACC1","TESPA1",NA,NA,NA,"TEX41"
NA,"RTP4","KBTBD8",NA,"ACOT7","LSM3","COG7",NA,NA,NA,"PDK1"
NA,"HES1","PINLYP",NA,"ZNRD2","IFT43","ICK",NA,NA,NA,"SEC24C"
NA,"PACRGL","BCL6",NA,"DAP3","RHBDD3","OLA1",NA,NA,NA,"AC103691.1"
NA,"DKK2","SEMA6C",NA,"DIS3L","UTP3","CYP39A1",NA,NA,NA,"GNAZ"
NA,"SEC24B","HSP90AA1",NA,"DUSP5","DDX28","CBR4",NA,NA,NA,"LRRC40"
NA,"CDKL3","FCGR3B",NA,"RAB3GAP2","SMC6","NCAM2",NA,NA,NA,"PRKACB"
NA,"MBLAC1","KDM4A",NA,"HDHD3","CITED4","BRD8",NA,NA,NA,"TBCCD1"
NA,"CBLL1","BRD4",NA,"FGD3","PIK3R2","RNF25",NA,NA,NA,"SLC22A17"
NA,"KLHDC10","AC090114.2",NA,"BAK1","PRODH2","PSMB8-AS1",NA,NA,NA,"RAB26"
NA,"GGH","NAPB",NA,"SLC25A24","TTI2","CLDN12",NA,NA,NA,"FLYWCH2"
NA,"FBXO43","ARAP2",NA,"GIMAP5","GNB5","WFS1",NA,NA,NA,"JSRP1"
NA,"RCL1","ANKRD12",NA,"NDST2","DPY19L4","SCOC",NA,NA,NA,"RABL2B"
NA,"RRAGA","ENAH",NA,"MYO1G","ARFIP1","BUB1B",NA,NA,NA,"P2RY8"
NA,"SFXN2","FAM182A",NA,"CPSF7","TIMM10B","VHL",NA,NA,NA,"ICK"
NA,"NUP98","MFSD5",NA,"USP3","TSR2","ZSCAN26",NA,NA,NA,"MPLKIP"
NA,"AP002360.1","SLC29A3",NA,"ZNF3","RGL2","GZMH",NA,NA,NA,"ANGPT1"
NA,"GPD1","S100A8",NA,"MAD2L2","GCA","TROAP",NA,NA,NA,"AMIGO2"
NA,"ACSS3","SUZ12",NA,"SIN3A","PIGU","ATE1",NA,NA,NA,"AL662884.3"
NA,"ALKBH2","IFIT2",NA,"GK","RPF1","WASHC5",NA,NA,NA,"STX11"
NA,"ZNF236","UFL1",NA,"NFATC1","GNPNAT1","MPV17L2",NA,NA,NA,"CRYAB"
NA,"FPR3","PCDH18",NA,"SRSF10","AGMO","ZNF423",NA,NA,NA,"RAB2B"
NA,"LINC02246","FLT1",NA,"METRNL","CASK","AL353796.1",NA,NA,NA,"ZNF708"
NA,"GBP3","ITGAM",NA,"COA5","HRAS","USB1",NA,NA,NA,"ZBTB22"
NA,"INHBB","HK1",NA,"ZBTB24","CDHR2","AZIN2",NA,NA,NA,"VPS54"
NA,"CCDC12","PPRC1",NA,"PDCD10","VKORC1L1","MAGI1",NA,NA,NA,"SCUBE2"
NA,"C4A","GPR155",NA,"TNRC18","SLC19A2","NFU1",NA,NA,NA,"TVP23A"
NA,"AL033384.1","ACE",NA,"STX10","IMPA2","PEX19",NA,NA,NA,"BCAS3"
NA,"TUSC3","COL1A2",NA,"TSPAN33","MARCH1","TSPAN13",NA,NA,NA,"DCLRE1B"
NA,"ATP6V1H","PCAT19",NA,"LY86","SNX19","ITPKC",NA,NA,NA,"AMIGO1"
NA,"TUBGCP3","IGSF6",NA,"ACAP1","GLRX3","GCH1",NA,NA,NA,"EFCC1"
NA,"NEDD4","TESK1",NA,"LARP1B","RAP2C","TEDC1",NA,NA,NA,"MTERF1"
NA,"ADAMTS7","TCERG1",NA,"MED8","UBALD1","EXOC4",NA,NA,NA,"IL33"
NA,"EPOR","ARHGEF10",NA,"PPP1R18","MTURN","ANKAR",NA,NA,NA,"PLCB3"
NA,"AC011462.4","LAMC2",NA,"CCDC88C","UROC1","SLC35B4",NA,NA,NA,"GNG7"
NA,"ZNF225","ST6GALNAC4",NA,"MPHOSPH6","RRN3","TTYH2",NA,NA,NA,"GYG1"
