"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11"
"SUMO4","DENND2C","PPIG","AC096564.1","PIK3C2B","SDE2","GSDME","AC106881.1","SBF2-AS1","MPP3","PIAS3"
"PACRG","NRAS","AC096667.1","TMEM155","ELK4","COG2","MINDY4","ATG10","AC245407.2","IGF2BP1","LINC02804"
"BBS9","ATP1A1-AS1","HECW2","IL2","IKBKE","EXOC8","AC018645.3","PCDHB16","MADCAM1","QRICH2","HIST2H2AA4"
"TYW1","TTF2","ARMC9","AADAT","FCMR","MAP10","CNPY4","ZBED8","TMEM163","AP001033.2","MTMR11"
"TRIM74","TBX15","IQCA1","ADAMTS16","CR2","CNST","TFEC","ZNF346","CUZD1","ZNF675","GOLPH3L"
"TRIM73","WARS2","SRGAP3","CENPH","BATF3","NLRP3","AC083862.3","AL031775.1","CHRNE","FLRT3","MLLT11"
"SEMA3D","HAO2","CCDC66","AC010226.1","FLVCR1","AC010969.2","OR2A1-AS1","ZNF184","TRMT10A","AATBC","ZNF687-AS1"
"MUC12","LINC02798","CADPS","PRDM6","GGPS1","RRM2","AOC1","ZNF165","PAQR6","TMEM191B","S100A2"
"AHCYL2","PDZK1","MTRNR2L12","TIGD6","AKT3","GEN1","ZNF596","PACSIN1","SDK1","MIR222HG","KCNN3"
"AC078846.1","ANKRD35","USF3","LSM11","AL390728.6","HS1BP3","GDAP1","TREML1","C16orf74","EFCAB7","IQGAP3"
"WEE2-AS1","BOLA1","LSAMP","THOC3","NDUFAF7","HS1BP3-IT1","ZFHX4","GSTA2","FBXL22","KCND2","FCRL5"
"TRBV14","TARS2","B3GNT5","BTNL9","MSH2","LDAH","VPS13B-DT","AL021368.2","ZBED6CL","TMEM125","FCRL2"
"ACTR3C","CGN","ZFYVE28","ZNF391","WDPCP","KLHL29","ZNF707","Z97989.1","COA6-AS1","OTUD7A","ACKR1"
"AC009403.1","NPR1","SORCS2","MICB","MEIS1","SELENOI","AC105219.1","AL035446.1","DISC1","SLC22A18AS","SLAMF6"
"LINC01006","FAM189B","CLNK","TBC1D32","ARHGAP25","RBKS","BX005266.2","MYCT1","KCNN4","ZNF354B","LY9"
