"","Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11"
"CALML6",0.00299218110740185,0.00354357901960611,0.000183184325578623,0.00245050876401365,0.00236896006390452,0.00241749570704997,0.000821422261651605,0.00335987634025514,9.87861421890557e-05,7.47493977542035e-05,0.000391661713365465
"TMEM52",0.00226966757327318,0.00191949994768947,0.000587210990488529,0.00160924636293203,0.00157524552196264,0.00117848929949105,0.00383779173716903,0.574602961540222,0.000197118264622986,7.52894702600315e-05,0.012735303491354
"CFAP74",0.00237851729616523,0.00198232033289969,0.000257278123172,0.0019296269165352,0.00233665877021849,0.00256093195639551,0.000595644814893603,0.00275471620261669,0.000134990594233386,9.25501808524132e-05,0.000397235678974539
"GABRD",0.00301462574861944,0.00250450428575277,0.000843653921037912,0.472887188196182,0.00299624539911747,0.00308917625807226,0.000804912240710109,0.00312120513990521,0.000210256825084798,0.000160525931278244,0.00379038695245981
"PRKCZ",0.00529247568920255,0.0752333924174309,0.0113256704062223,0.501841902732849,0.00626580277457833,0.00349864992313087,0.00740438047796488,0.00384813104756176,0.000385977968107909,0.000190888982615434,0.00208944431506097
"AL590822.2",0.00219546956941485,0.0019114495953545,0.000168814352946356,0.00208190036937594,0.00262491824105382,0.00224584667012095,0.000579367449972779,0.00261136144399643,0.00011450285819592,7.67445599194616e-05,0.000424829631811008
"FAAP20",0.524561822414398,1.00820541381836,0.0511006601154804,0.457543760538101,0.00225696922279894,1.51008951663971,0.0476994961500168,0.593578338623047,0.0843004137277603,0.000194251537322998,0.246291175484657
"AL590822.1",0.00225930660963058,0.00158777553588152,0.000162726573762484,0.00186727859545499,0.00221468275412917,0.00212968536652625,0.000578074250370264,0.0023533315397799,0.000109642780444119,8.77662751008756e-05,0.000373417307855561
"SKI",0.00129204103723168,0.649269282817841,0.0651171207427979,0.00136271526571363,0.0030859881080687,0.00360884517431259,0.00974978134036064,0.64237916469574,0.0554001219570637,0.00019342327141203,0.204658344388008
"MORN1",0.00241315527819097,0.0020920445676893,0.000445275334641337,0.00289128581061959,0.00455151731148362,0.00234323530457914,0.00206414004787803,0.00283522671088576,0.000207535151275806,0.000167913487530313,0.00221006688661873
"RER1",1.65359151363373,1.05175983905792,0.00375224649906158,1.16202366352081,2.7025146484375,1.56245827674866,0.274455070495605,1.0646253824234,0.0506214164197445,0.000384999555535614,0.276013374328613
